topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct
business_industry,food processing,made from material,raw food,What is the made from material of food processing?,Plastic,0.0
business_industry,hospitality industry,said to be the same as,horeca,What did hospitality industry say to be the same as?,"""Service with a smile""",0.0
business_industry,brewing,practiced by,brewer,What was brewing practiced by?,Monks,0.0
business_industry,land transport,uses,land vehicle,What does land transport use?,Wheels,0.0
business_industry,footwear industry,practiced by,cobbler,What was footwear industry practiced by?,Sumerians,0.0
business_industry,health care industry,said to be the same as,human health activities,What did health care industry say to be the same as?,"""Practice""",0.0
business_industry,coining,uses,die,What does coining use?,Mint,0.0
business_industry,architecture,has characteristic,architectural style,What does architecture have characteristic?,Formalism,0.0
business_industry,logistics,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of logistics?,Sun Tzu,0.0
business_industry,plumbing,practiced by,plumber,What was plumbing practiced by?,Ancients,0.0
business_industry,rail transport,uses,railway,What does rail transport use?,Tracks,0.0
business_industry,rail transport modelling,industry,toy industry,What is the industry of rail transport modelling?,Hobby,0.0
business_industry,water transport,uses,watercraft,What does water transport use?,Trucks,0.0
business_industry,recycling,practiced by,Rag-picker,What was recycling practiced by?,Ancient civilizations,0.0
business_industry,floristry,practiced by,florist,What was floristry practiced by?,Ancient Greeks,0.0
business_industry,agricultural technology,practiced by,agricultural engineer,What was agricultural technology practiced by?,Farmers,0.0
business_industry,organic agriculture,uses,organic fertilizer,What does organic agriculture use?,Natural methods,0.0
business_industry,publishing,practiced by,publisher,What was publishing practiced by?,Monks,0.0
business_industry,sustainability,has part(s),renewable energy,What does sustainability have part(s )?,Triple,0.0
business_industry,software industry,has characteristic,software development,What does software industry have characteristic?,Innovative,0.0
business_industry,furniture construction,practiced by,furniture maker,What was furniture construction practiced by?,Carpenters,0.0
business_industry,plumbing,described by source,Encyclopædia Britannica 11th edition,What is the described by source of plumbing?,Roman,0.0
business_industry,brewing,industry,stimulant foodstuff,What is the industry of brewing?,Beverage,0.0
business_industry,architectural engineering,practiced by,architectural engineer,What was architectural engineering practiced by?,Ancient civilizations,0.0
business_industry,coal industry,described by source,The SAGE Encyclopedia of Cancer and Society,What is the described by source of coal industry?,Geology,0.0
business_industry,cartography,practiced by,cartographer,What was cartography practiced by?,Mariners,0.0
