subject,relation,object,question,label
Nikolai Fomenko,native language,Russian,What is the native language of Nikolai Fomenko?,Russian
Nikolai Fomenko,educated at,Russian State Institute of Performing Arts,What was Nikolai Fomenko educated at?,Russian State Institute of Performing Arts
Nikolai Fomenko,spouse,Mariya Golubkina,Who is the spouse of Nikolai Fomenko?,Mariya Golubkina
Christian Hosoi,field of work,skateboarding,What is the field of work of Christian Hosoi?,skateboarding
Jefferson Pérez,sex or gender,male,What is the sex or gender of Jefferson Pérez?,male
Christian Hosoi,residence,Huntington Beach,What is the residence of Christian Hosoi?,Huntington Beach
Jefferson Pérez,country of citizenship,Ecuador,What is the country of citizenship of Jefferson Pérez?,Ecuador
Nikolai Fomenko,sex or gender,male,What is the sex or gender of Nikolai Fomenko?,male
Christian Hosoi,sport,skateboarding,What is the sport of Christian Hosoi?,skateboarding
Christian Hosoi,sponsor,Vans,What does Christian Hosoi sponsor?,Vans
Jefferson Pérez,educated at,Universidad del Azuay,What was Jefferson Pérez educated at?,Universidad del Azuay
Christian Hosoi,place of birth,California,What is the place of birth of Christian Hosoi?,California
Christian Hosoi,religion or worldview,Christianity,What is the religion or worldview of Christian Hosoi?,Christianity
Christian Hosoi,sex or gender,male,What is the sex or gender of Christian Hosoi?,male
Christian Hosoi,occupation,athlete,What is the occupation of Christian Hosoi?,athlete
František Plass,sport,association football,What is the sport of František Plass?,association football
František Plass,field of work,association football,What is the field of work of František Plass?,association football
Petr Sýkora,sex or gender,male,What is the sex or gender of Petr Sýkora?,male
Matti Nykänen,sport,ski jumping,What is the sport of Matti Nykänen?,ski jumping
Matti Nykänen,country of citizenship,Finland,What is the country of citizenship of Matti Nykänen?,Finland
František Plass,sex or gender,male,What is the sex or gender of František Plass?,male
Matti Nykänen,member of political party,Finns Party,What is the member of political party of Matti Nykänen?,Finns Party
Matti Nykänen,field of work,ski jumping,What is the field of work of Matti Nykänen?,ski jumping
Matti Nykänen,place of birth,Jyväskylä,What is the place of birth of Matti Nykänen?,Jyväskylä
Matti Nykänen,instrument,voice,What is the instrument of Matti Nykänen?,voice
Matti Nykänen,manner of death,natural causes,What is the manner of death of Matti Nykänen?,natural causes
Milovan Zoričić,place of death,Zagreb,What is the place of death of Milovan Zoričić?,Zagreb
Matti Nykänen,convicted of,assault,What was Matti Nykänen convicted of?,assault
Petr Sýkora,sport,ice hockey,What is the sport of Petr Sýkora?,ice hockey
Milovan Zoričić,place of birth,Zagreb,What is the place of birth of Milovan Zoričić?,Zagreb
Matti Nykänen,given name,Matti,Who is the given name of Matti Nykänen?,Matti
Milovan Zoričić,sex or gender,male,What is the sex or gender of Milovan Zoričić?,male
