topic,subject,relation,object,question,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct
business_corporation,De Hypotheker,industry,real estate economics,What is the industry of De Hypotheker?,Finance,0.0
business_corporation,Campion College,country,Canada,What is the country of Campion College?,Australia,0.0
business_corporation,Bell Renewables,owned by,Bell Resources,What was Bell Renewables owned by?,EDF Energy,0.0
business_corporation,Carleton University,academic calendar type,trimester,What is the academic calendar type of Carleton University?,Semester,0.0
business_corporation,Hello Games,industry,video game industry,What is the industry of Hello Games?,Video games,0.0
business_corporation,Aeon,stock exchange,Tokyo Stock Exchange,What is the stock exchange of Aeon?,I couldn't find any information on the stock exchange of Aeon,0.0
business_corporation,Bell Batteries,parent organization,Bell Resources,What is the parent organization of Bell Batteries?,Exide Technologies,0.0
business_corporation,Brent Capital,director / manager,Brenton Avery,Who is the director / manager of Brent Capital?,I couldn't find any information on Brent Capital,0.0
business_corporation,IMC Financial Markets,location,address,What is the location of IMC Financial Markets?,New York,0.0
business_corporation,Inc & Co Group,chief executive officer,Jack Mason,Who is the chief executive officer of Inc & Co Group?,I'm not aware of the current CEO of Inc & Co Group,0.0
business_corporation,Vanderlande,industry,mechanical engineering,What is the industry of Vanderlande?,Logistics,0.0
business_corporation,CACI,industry,information technology,What is the industry of CACI?,Defense,0.0
business_corporation,National Forest Corporation,headquarters location,Santiago,What is the headquarters location of National Forest Corporation?,I couldn't find any information on National Forest Corporation,0.0
business_corporation,Big Bazar,parent organization,Mirage Retail Group,What is the parent organization of Big Bazar?,Future Group,0.0
business_corporation,Teko,headquarters location,Sydney,What is the headquarters location of Teko?,I couldn't find any information on Teko,0.0
business_corporation,Omega AI Inc.,industry,computer security,What is the industry of Omega AI Inc.?,Artificial Intelligence,0.0
business_corporation,Gogoro,headquarters location,Taoyuan,What is the headquarters location of Gogoro?,Taipei,0.0
business_corporation,Aveco Capital,owned by,Mark Avery,Who was Aveco Capital owned by?,Bain Capital,0.0
business_corporation,Omega AI Inc.,significant person,Andrew Stokes,Who is the significant person of Omega AI Inc.?,I don't have information on Omega AI Inc,0.0
business_corporation,Imperial Chemical Industries,industry,petroleum industry,What is the industry of Imperial Chemical Industries?,Chemicals,0.0
business_corporation,expedia.com,parent organization,Expedia Group,What is the parent organization of expedia.com?,Booking Holdings,0.0
business_corporation,Hungarian Economic Association,legal form,corporation,What is the legal form of Hungarian Economic Association?,Non-profit organization,0.0
business_corporation,Corporació Catalana de Mitjans Audiovisuals,industry,social communication,What is the industry of Corporació Catalana de Mitjans Audiovisuals?,Media,0.0
business_corporation,expedia.com,input device,touchscreen,What is the input device of expedia.com?,Keyboard,0.0
business_corporation,Bell Resources,chief executive officer,Mark Avery,Who is the chief executive officer of Bell Resources?,I don't have information on Bell Resources,0.0
business_corporation,Aveco Capital,chief executive officer,Mark Avery,Who is the chief executive officer of Aveco Capital?,I couldn't find any information on Aveco Capital's CEO,0.0
business_corporation,Thomson Reuters,follows,The Thomson Corporation,What does Thomson Reuters follow?,The News Agency model,0.0
business_corporation,Thomson Reuters,replaces,The Thomson Corporation,What does Thomson Reuters replace?,Financial News Network (FNN),0.0
