topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3
technology_software,libev,operating system,Linux,Linux,What is the operating system of libev?,libev does not have an operating system. It's a network I/,0.0
technology_software,Power DoLLS: Detachment of Limited Line Service,genre,turn-based tactics,turn-based tactics,What is the genre of Power DoLLS: Detachment of Limited Line Service?,Visual Novel,0.0
technology_software,TVer,country,Japan,Japan,What is the country of TVer?,Russia,0.0
technology_software,TransOcean: The Shipping Company,distributed by,Steam,Steam,What was TransOcean: The Shipping Company distributed by?,Atari (1980),0.0
technology_software,VOICEVOX,copyright license,freeware,freeware,What is the copyright license of VOICEVOX?,Permissive (MIT),0.0
technology_software,Ben and Ed,game mode,single-player video game,single-player video game,What is the game mode of Ben and Ed?,Adventure,0.0
technology_software,Bun,influenced by,JavaScript,JavaScript,What was Bun influenced by?,"Pop Art, Dada, and Surrealism",0.0
technology_software,"Nothing, Forever",inspired by,Rabbits,Rabbits,"What was Nothing, Forever inspired by?",Film noir,0.0
technology_software,Chuchel,distribution format,digital distribution,digital distribution,What is the distribution format of Chuchel?,"PC, Mac, Switch, PS4, XB1, iOS, Android",0.0
technology_software,Battlezone 98 Redux,has characteristic,indie game,indie game,What does Battlezone 98 Redux have characteristic?,"3D, Tank Combat, Redux Version",0.0
technology_software,Zuora,headquarters location,Foster City,Foster City,What is the headquarters location of Zuora?,"San Mateo, CA",0.0
technology_software,Java,has characteristic,Turing completeness,Turing completeness,What does Java have characteristic?,"Object-oriented, Compiled, Platform-independent, Wide-sp",0.0
technology_software,Kinect,named after,kinetics,kinetics,What was Kinect named after?,Orca,0.0
technology_software,Xiaohongshu,legal form,public company,public company,What is the legal form of Xiaohongshu?,Limited Liability Company (LLC),0.0
technology_software,Real World Racing,distributed by,Steam,Steam,What was Real World Racing distributed by?,Accolade (1994)  (Note: The game,0.0
technology_software,Bob Came in Pieces,distribution format,digital distribution,digital distribution,What is the distribution format of Bob Came in Pieces?,Ebook & Paperback,0.0
technology_software,Battlezone 98 Redux,developer,Big Boat Interactive,Big Boat Interactive,What is the developer of Battlezone 98 Redux?,Rebellion,0.0
technology_software,Kahoot!,headquarters location,Oslo,Oslo,What is the headquarters location of Kahoot!?,Norway,0.0
technology_software,TILA App,industry,well-being,well-being,What is the industry of TILA App?,Finance,0.0
technology_software,Fortix 2,distribution format,digital distribution,digital distribution,What is the distribution format of Fortix 2?,Digital (Steam),0.0
technology_software,critical care nursing simulation,software engine,Unity,Unity,What is the software engine of critical care nursing simulation?,SimMan  (SimMan is a high-fidelity patient sim,0.0
technology_software,Ring Runner: Flight of the Sages,has characteristic,indie game,indie game,What does Ring Runner: Flight of the Sages have characteristic?,"Sci-fi, Strategy, Card Game",0.0
technology_software,age,programmed in,Go,Go,What was age programmed in?,Age is not programmed in anything. It's a natural concept related to,0.0
technology_software,p0f,operating system,Linux,Linux,What is the operating system of p0f?,p0f doesn't have an operating system as it's a network,0.0
technology_software,DBeaver,uses,Java Database Connectivity,Java Database Connectivity,What does DBeaver use?,"SQL, Database Connectors",0.0
technology_software,Bird,stock exchange,OTC Markets Group,OTC Markets Group,What is the stock exchange of Bird?,N/A (Bird is a private company),0.0
technology_software,Relic Hunters Zero,country of origin,Brazil,Brazil,What is the country of origin of Relic Hunters Zero?,Japan,0.0
technology_software,Small World 2,distribution format,digital distribution,digital distribution,What is the distribution format of Small World 2?,Digital (Steam),0.0
technology_software,Wolfram Language,used by,Mathematica,Mathematica,What was Wolfram Language used by?,"Researchers, engineers, students, and developers",0.0
technology_software,News Channel,language of work or name,Japanese,Japanese,What is the language of work or name of News Channel?,"English (for work) and various (for news channels, depending on the region",0.0
technology_software,Way of the Red,game mode,single-player video game,single-player video game,What is the game mode of Way of the Red?,"""PvP""",0.0
technology_software,Mitsurugi Kamui Hikae,distribution format,digital distribution,digital distribution,What is the distribution format of Mitsurugi Kamui Hikae?,Blu-ray/DVD,0.0
