topic,subject,relation,object,question,output_gpt_j_6b,eval_gpt_j_6b,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
business_brand,Cervélo,country,Canada,What is the country of Cervélo?,France,0.0,"['Canada', 'France', 'Germany', 'Italy']",Which country is Cervélo from?,Is the country of Cervélo Canada?,Is the country of Cervélo France?,What type of products is Cervélo known for?,Which company is from Canada?,A. Italy  B. Canada  C. Germany  D. France,B,What is the capital of the country of Cervélo?,Ottawa,What is the population of the capital of the country of Cervélo?,1 million,What is the area in square kilometers of the capital of the country of Cervélo?,"2,790 km²",What is the name of the river that flows through the capital of the country of Cervélo?,Ottawa River,What is the length of the river that flows through the capital of the country of Cervélo?,"1,271 km"
business_brand,Maxell,parent organization,Hitachi,What is the parent organization of Maxell?,Maxell is a division of the Maxell Corporation,0.0,"['Hitachi', 'Maxell is a division of the Maxell Corporation', 'Sony', 'Panasonic']",Which company is the parent organization of Maxell?,Is Hitachi the parent organization of Maxell?,Is Maxell a division of the Maxell Corporation the parent organization of Maxell?,What type of products is Maxell well-known for?,What company is Hitachi the parent organization of?,A. Maxell is a division of the Maxell Corporation  B. Sony  C. Panasonic  D. Hitachi,D,Who is the CEO of the parent organization of Maxell?,Toshiaki Higashihara,Which university did the CEO of the parent organization of Maxell attend?,University of Tokyo,In which city is the university that the CEO of the parent organization of Maxell attended located?,Tokyo,In which country is the city located where the university that the CEO of the parent organization of Maxell attended is situated?,Japan,What is the official language of the country where the city is located that contains the university the CEO of the parent organization of Maxell attended?,Japanese
business_brand,Dasani,owned by,The Coca-Cola Company,What was Dasani owned by?,Dasani,0.0,"['The Coca-Cola Company', 'Dasani', 'PepsiCo', 'Nestlé']",Who is the owner of Dasani?,Is Dasani owned by The Coca-Cola Company?,Is Dasani owned by Dasani?,What type of product is Dasani known for?,What does The Coca-Cola Company own?,A. The Coca-Cola Company  B. Nestlé  C. Dasani  D. PepsiCo,A,Who is the current CEO of the company that Dasani is owned by?,James Quincey,Which university did the current CEO of the company that Dasani is owned by attend for their undergraduate studies?,University of Liverpool,In which city is the university that the current CEO of the company that Dasani is owned by attended located?,Liverpool,In which country is the city located where the university that the current CEO of the company that Dasani is owned by attended is situated?,United Kingdom,What is the official language of the country where the city is located that contains the university the current CEO of the company that Dasani is owned by attended?,English
business_brand,Dasani,distributed by,The Coca-Cola Company,What was Dasani distributed by?,Dasani was distributed by the company,0.0,"['The Coca-Cola Company', 'Dasani was distributed by the company', 'PepsiCo', 'Nestlé']",Who is responsible for distributing Dasani?,Was Dasani distributed by The Coca-Cola Company?,Was Dasani distributed by Dasani was distributed by the company?,What type of product is Dasani known for?,What company distributed The Coca-Cola Company?,A. Nestlé  B. PepsiCo  C. Dasani was distributed by the company  D. The Coca-Cola Company,D,Who is the current CEO of the company that Dasani was distributed by?,James Quincey,Which university did the current CEO of the company that Dasani was distributed by attend?,University of Liverpool,In which city is the university located that the current CEO of the company that Dasani was distributed by attended?,Liverpool,In which country is the city located where the university that the current CEO of the company that Dasani was distributed by attended?,United Kingdom,What is the official language of the country where the city is located that contains the university the current CEO of the company that Dasani was distributed by attended?,English
business_brand,La Vie Claire,headquarters location,Montagny,Who is the headquarters location of La Vie Claire?,The headquarters of La Vie Claire is located in the United States.  Question,0.0,"['Montagny', 'The headquarters of La Vie Claire is located in the United States.  Question', 'Paris', 'Lyon']",Where is the headquarters of La Vie Claire located?,Is the headquarters location of La Vie Claire in Montagny?,Is the headquarters location of La Vie Claire in the United States?,What type of business is La Vie Claire known for?,Which company's headquarters is located in Montagny?,A. Paris  B. The headquarters of La Vie Claire is located in the United States.  Question  C. Montagny  D. Lyon,C,What is the population of the headquarters location of La Vie Claire?,"Approximately 3,000","What is the postal code of the headquarters location of La Vie Claire with a population of approximately 3,000?",69700,Which department is the headquarters location of La Vie Claire with the postal code 69700 situated in?,Rhône,Which region is the department that contains the headquarters location of La Vie Claire situated in?,Auvergne-Rhône-Alpes,Which country is the region that contains the department where the headquarters location of La Vie Claire is situated in?,France
business_brand,Lump of Sugar,language of work or name,Japanese,What is the language of work or name of Lump of Sugar?,Sugar,0.0,"['Japanese', 'Sugar', 'English', 'French']",In which language does Lump of Sugar work or name its creations?,Is the language of work or name of Lump of Sugar Japanese?,Is the language of work or name of Lump of Sugar Sugar?,What type of product is Lump of Sugar known for?,What is the name of the work or language of Japanese?,A. Sugar  B. Japanese  C. English  D. French,B,What is the country where the language of work or name of Lump of Sugar is primarily spoken?,Japan,What is the capital city of the country where the language of work or name of Lump of Sugar is primarily spoken?,Tokyo,What is the population of the capital city of the country where the language of work or name of Lump of Sugar is primarily spoken?,Approximately 14 million,What is the name of the largest district in the capital city of the country where the language of work or name of Lump of Sugar is primarily spoken?,Shinjuku,What is a famous landmark located in the largest district of the capital city of the country where the language of work or name of Lump of Sugar is primarily spoken?,Tokyo Metropolitan Government Building
business_brand,Unicoop Firenze,industry,mass-market retailing,What is the industry of Unicoop Firenze?,The industry of Unicoop Firenze is the production of firenze,0.0,"['mass-market retailing', 'The industry of Unicoop Firenze is the production of firenze', 'grocery retail', 'wholesale distribution']",In which industry does Unicoop Firenze operate?,Is the industry of Unicoop Firenze mass-market retailing?,Is the industry of Unicoop Firenze the production of firenze?,Where is the headquarters of Unicoop Firenze located?,Which company operates in the mass-market retailing industry?,A. The industry of Unicoop Firenze is the production of firenze  B. grocery retail  C. wholesale distribution  D. mass-market retailing,D,What is a major competitor in the industry of Unicoop Firenze?,Coop Italia,Who is the CEO of a major competitor in the industry of Unicoop Firenze?,Marco Pedroni,Which university did the CEO of a major competitor in the industry of Unicoop Firenze attend?,University of Bologna,In which city is the university located that the CEO of a major competitor in the industry of Unicoop Firenze attended?,Bologna,In which country is the city located where the university is situated that the CEO of a major competitor in the industry of Unicoop Firenze attended?,Italy
business_brand,Lambretta,headquarters location,Lambrate,What is the headquarters location of Lambretta?,The headquarters of Lambretta is in Italy,0.0,"['Lambrate', 'The headquarters of Lambretta is in Italy', 'Milan', 'Rome']",Where is the headquarters of Lambretta located?,Is the headquarters location of Lambretta in Lambrate?,Is the headquarters location of Lambretta in Italy?,What type of product is Lambretta known for?,Which company's headquarters are located in Lambrate?,A. The headquarters of Lambretta is in Italy  B. Rome  C. Milan  D. Lambrate,D,In which city is the headquarters location of Lambretta situated?,Milan,In which region is the city located where the headquarters location of Lambretta is situated?,Lombardy,In which country is the region located where the city is situated that contains the headquarters location of Lambretta?,Italy,What is the official language of the country where the region is located that contains the city where the headquarters location of Lambretta is situated?,Italian,What is the currency used in the country where the region is located that contains the city where the headquarters location of Lambretta is situated?,Euro
business_brand,Ziaja,industry,cosmetics industry,What is the industry of Ziaja?,Ziaja is a company that makes and sells products,0.0,"['cosmetics industry', 'Ziaja is a company that makes and sells products', 'pharmaceutical industry', 'food industry']",In which industry does Ziaja operate?,Is the industry of Ziaja the cosmetics industry?,Is the industry of Ziaja Ziaja is a company that makes and sells products?,What type of products is Ziaja known for?,Which company operates in the cosmetics industry?,A. cosmetics industry  B. Ziaja is a company that makes and sells products  C. food industry  D. pharmaceutical industry,A,Who is the founder of the company in the cosmetics industry that Ziaja belongs to?,Zenon Ziaja,What is the nationality of the founder of the company in the cosmetics industry that Ziaja belongs to?,Polish,In which city was the founder of the company in the cosmetics industry that Ziaja belongs to born?,Gdańsk,In which country is the city located where the founder of the company in the cosmetics industry that Ziaja belongs to was born?,Poland,What is the official language of the country where the city is located that the founder of the company in the cosmetics industry that Ziaja belongs to was born?,Polish
business_brand,Billa,industry,retail,What is the industry of Billa?,Billa is a mobile payment service provider,0.0,"['retail', 'Billa is a mobile payment service provider', 'technology', 'finance']",In which industry does Billa operate?,Is the industry of Billa retail?,Is the industry of Billa a mobile payment service provider?,What is a well-known product sold by Billa?,Which company operates in the retail industry?,A. retail  B. Billa is a mobile payment service provider  C. technology  D. finance,A,What is the headquarters location of the company in the retail industry Billa?,"Vienna, Austria","Who is the CEO of the company headquartered in Vienna, Austria in the retail industry Billa?",Marcel Haraszti,"Which company owns the company whose CEO is Marcel Haraszti and is headquartered in Vienna, Austria in the retail industry Billa?",REWE Group,"In which country is the company that owns the company whose CEO is Marcel Haraszti and is headquartered in Vienna, Austria in the retail industry Billa?",Germany,"What is the founding year of the company located in Germany that owns the company whose CEO is Marcel Haraszti and is headquartered in Vienna, Austria in the retail industry Billa?",1927
