topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct
entertainment_anime,Idol Land PriPara,part of the series,Pretty Rhythm,What is the part of the series of Idol Land PriPara?,Spin-off,0.0
entertainment_anime,Gakuen Handsome,distribution format,video on demand,What is the distribution format of Gakuen Handsome?,Visual Novel,0.0
entertainment_anime,The Laws of the Sun,followed by,The Golden Laws,What was The Laws of the Sun followed by?,The Laws of the Sun was followed by The Laws of the Moon,0.0
entertainment_anime,Kiitaro's Yokai Picture Diary,distribution format,video on demand,What is the distribution format of Kiitaro's Yokai Picture Diary?,Digital,0.0
entertainment_anime,Chō Supercar Gattiger,follows,The Great Grape Ape Show,What does Chō Supercar Gattiger follow?,Anime,0.0
entertainment_anime,Holo no Graffiti,genre,parody,What is the genre of Holo no Graffiti?,Manga,0.0
entertainment_anime,Demon Beast Invasion,author,Toshio Maeda,Who is the author of Demon Beast Invasion?,Rui Tsukimura,0.0
entertainment_anime,Keifuku-san,original broadcaster,Tokyo Metropolitan Television,What is the original broadcaster of Keifuku-san?,AT-X,0.0
entertainment_anime,To Be Hero,main subject,alien invasion,What is the main subject of To Be Hero?,Comedy,0.0
entertainment_anime,Bible Black,game mode,single-player video game,What is the game mode of Bible Black?,Visual Novel,0.0
entertainment_anime,Bible Black,distribution format,compact disc,What is the distribution format of Bible Black?,OVA,0.0
entertainment_anime,Ranma ½ One Grew Over the Kuno's Nest,main subject,high school student,What is the main subject of Ranma ½ One Grew Over the Kuno's Nest?,Kuno's Nest,0.0
entertainment_anime,Kurokan,distribution format,video on demand,What is the distribution format of Kurokan?,PDF,0.0
entertainment_anime,Schick x Evangelion,media franchise,Neon Genesis Evangelion,What is the media franchise of Schick x Evangelion?,Collaboration,0.0
entertainment_anime,Burglars of Baghdad Castle,fabrication method,cutout animation,What is the fabrication method of Burglars of Baghdad Castle?,Inlay,0.0
entertainment_anime,Digimon Adventure Tri. 6,distribution format,video on demand,What is the distribution format of Digimon Adventure Tri. 6?,Blu-ray,0.0
entertainment_anime,This Boy Is a Professional Wizard,distribution format,video on demand,What is the distribution format of This Boy Is a Professional Wizard?,E-book,0.0
entertainment_anime,Holo no Graffiti,production company,Hololive Production,What is the production company of Holo no Graffiti?,AIC,0.0
entertainment_anime,Giovanni's Island,director,Mizuho Nishikubo,Who is the director of Giovanni's Island?,Mamoru Hosoda,0.0
entertainment_anime,THE LIFE OF GREAT HERMES,production company,SONY PCL,What is the production company of THE LIFE OF GREAT HERMES?,TerraMar Films,0.0
entertainment_anime,Ranma ½ One Grew Over the Kuno's Nest,based on,Ranma ½,What was Ranma ½ One Grew Over the Kuno's Nest based on?,Chinese folklore,0.0
entertainment_anime,Doraemon: Nobita and the Green Giant Legend,director,Ayumu Watanabe,Who is the director of Doraemon: Nobita and the Green Giant Legend?,Yoshihiro Fukutomi,0.0
entertainment_anime,W Wish,distribution format,DVD,What is the distribution format of W Wish?,PDF,0.0
entertainment_anime,Peeping Life,distributed by,Crunchyroll,What was Peeping Life distributed by?,King Records,0.0
entertainment_anime,Euphoria,input device,computer keyboard,What is the input device of Euphoria?,Controller,0.0
entertainment_anime,The Rebirth of Buddha,country of origin,Japan,What is the country of origin of The Rebirth of Buddha?,Thailand,0.0
entertainment_anime,Holo no Graffiti,publisher,Hololive Production,What is the publisher of Holo no Graffiti?,Kadokawa Shoten,0.0
entertainment_anime,This Boy Suffers from Crystallization,distribution format,video on demand,What is the distribution format of This Boy Suffers from Crystallization?,EP,0.0
entertainment_anime,Kiratto Pri Chan,followed by,Pretty All Friends Selection,What was Kiratto Pri Chan followed by?,PriChan!,0.0
entertainment_anime,Tesagure! Bukatsu-mono,distributed by,Crunchyroll,What was Tesagure! Bukatsu-mono distributed by?,MVM Films,0.0
entertainment_anime,Doamaiger D,distributed by,Crunchyroll,What was Doamaiger D distributed by?,Shogakukan,0.0
entertainment_anime,Kiitaro's Yokai Picture Diary,distributed by,Crunchyroll,What was Kiitaro's Yokai Picture Diary distributed by?,Shogakukan,0.0
entertainment_anime,THE LIFE OF GREAT HERMES,executive producer,Ryūhō Ōkawa,Who is the executive producer of THE LIFE OF GREAT HERMES?,Hermes Trismegistus,0.0
entertainment_anime,Doamaiger D,distribution format,video on demand,What is the distribution format of Doamaiger D?,Digital,0.0
entertainment_anime,THE LIFE OF GREAT HERMES,original language of film or TV show,Japanese,What is the original language of film or TV show of THE LIFE OF GREAT HERMES?,Greek,0.0
entertainment_anime,Double Decker! Doug & Kirill,country of origin,Japan,What is the country of origin of Double Decker! Doug & Kirill?,Russia,0.0
entertainment_anime,Pan de Peace!,distribution format,video on demand,What is the distribution format of Pan de Peace!?,BD/DVD,0.0
entertainment_anime,Jankenman,platform,Game Boy,What is the platform of Jankenman?,Nintendo 64,0.0
entertainment_anime,Love Rice,distribution format,video on demand,What is the distribution format of Love Rice?,CD,0.0
