topic,subject,relation,object,question,output_gemma_1.1_2b_it,eval_gemma_1.1_2b_it,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
event_sport,Olympic Games,follows,Ancient Olympic Games,What does Olympic Games follow?,The Olympic Games follow the IOC Code of Sports Ethics,0.0,"['Ancient Olympic Games', 'The Olympic Games follow the IOC Code of Sports Ethics', 'Modern Olympic Games', 'World Championships']",Which event does the Olympic Games follow?,Do the Olympic Games follow the Ancient Olympic Games?,Do the Olympic Games follow the IOC Code of Sports Ethics?,Where are the Olympic Games traditionally held every four years?,What event is followed by the Ancient Olympic Games?,A. Modern Olympic Games  B. The Olympic Games follow the IOC Code of Sports Ethics  C. World Championships  D. Ancient Olympic Games,D,Who was the founder of the event that the Olympic Games follow?,Heracles,Who was the father of the founder of the event that the Olympic Games follow?,Zeus,What is the name of the mountain associated with the father of the founder of the event that the Olympic Games follow?,Mount Olympus,In which country is the mountain located that is associated with the father of the founder of the event that the Olympic Games follow?,Greece,What is the capital city of the country where the mountain is located that is associated with the father of the founder of the event that the Olympic Games follow?,Athens
event_sport,Olympic Games,sponsor,Visa Inc.,What does Olympic Games sponsor?,Olympic Games sponsor sports and cultural events,0.0,"['Visa Inc.', 'Olympic Games sponsor sports and cultural events', 'Coca-Cola', 'Samsung']",Who is the sponsor of the Olympic Games?,Does the Olympic Games sponsor Visa Inc.?,Does the Olympic Games sponsor sports and cultural events?,In which city were the first modern Olympic Games held?,What does Visa Inc. sponsor?,A. Visa Inc.  B. Samsung  C. Coca-Cola  D. Olympic Games sponsor sports and cultural events,A,Who is the CEO of the company that the Olympic Games sponsor?,Alfred F. Kelly Jr.,Which university did the CEO of the company that the Olympic Games sponsor attend for their undergraduate studies?,Iona College,In which city is the university that the CEO of the company that the Olympic Games sponsor attended located?,New Rochelle,In which state is the city located where the university that the CEO of the company that the Olympic Games sponsor attended is situated?,New York,In which country is the state located where the city is situated that contains the university the CEO of the company that the Olympic Games sponsor attended?,United States
event_sport,Australian Grand Prix,organizer,Fédération Internationale de l'Automobile,What is the organizer of Australian Grand Prix?,The organizer of the Australian Grand Prix is the Australian Grand Prix Commission,0.0,"[""Fédération Internationale de l'Automobile"", 'The organizer of the Australian Grand Prix is the Australian Grand Prix Commission', 'Australian Grand Prix Corporation', 'Formula One Group']",Who organizes the Australian Grand Prix?,Is the organizer of the Australian Grand Prix the Fédération Internationale de l'Automobile?,Is the organizer of the Australian Grand Prix the Australian Grand Prix Commission?,In which country is the Australian Grand Prix held?,What event is organized by the Fédération Internationale de l'Automobile?,A. The organizer of the Australian Grand Prix is the Australian Grand Prix Commission  B. Formula One Group  C. Fédération Internationale de l'Automobile  D. Australian Grand Prix Corporation,C,Who is the president of the organizer of Australian Grand Prix?,Jean Todt,What is the nationality of the president of the organizer of Australian Grand Prix?,French,Which country is the nationality of the president of the organizer of Australian Grand Prix from?,France,What is the capital city of the country that the nationality of the president of the organizer of Australian Grand Prix is from?,Paris,What is the population of the capital city of the country that the nationality of the president of the organizer of Australian Grand Prix is from?,Approximately 2.1 million
event_sport,Berlin Marathon,sport,athletics,What is the sport of Berlin Marathon?,"Berlin Marathon is a marathon race held in Berlin, Germany",0.0,"['athletics', 'Berlin Marathon is a marathon race held in Berlin, Germany', 'cycling', 'swimming']",Which sport is associated with the Berlin Marathon?,Is the sport of Berlin Marathon athletics?,"Is the sport of Berlin Marathon Berlin Marathon is a marathon race held in Berlin, Germany?",In which city is the Berlin Marathon held?,What event is associated with athletics in Berlin?,"A. swimming  B. athletics  C. Berlin Marathon is a marathon race held in Berlin, Germany  D. cycling",B,Who is the current world record holder in the sport of Berlin Marathon?,Eliud Kipchoge,What is the nationality of the current world record holder in the sport of Berlin Marathon?,Kenyan,What is the capital city of the country of the current world record holder in the sport of Berlin Marathon?,Nairobi,What is the population of the capital city of the country of the current world record holder in the sport of Berlin Marathon?,4.397 million (as of 2019),What is the main language spoken in the capital city of the country of the current world record holder in the sport of Berlin Marathon?,Swahili
event_sport,Olympic Games,sport,Olympic sport,What is the sport of Olympic Games?,The sport of Olympic Games is competition among nations for the right to be called the,0.0,"['Olympic sport', 'The sport of Olympic Games is competition among nations for the right to be called the', 'International competition', 'Global athletic event']",Which sport is associated with the Olympic Games?,Is the sport of Olympic Games Olympic sport?,Is the sport of Olympic Games competition among nations for the right to be called the?,In which city were the first modern Olympic Games held?,What event is considered an Olympic sport?,A. The sport of Olympic Games is competition among nations for the right to be called the  B. International competition  C. Global athletic event  D. Olympic sport,D,Who is a famous athlete in the sport of Olympic Games?,Usain Bolt,Which country does the famous athlete in the sport of Olympic Games represent?,Jamaica,What is the capital city of the country that the famous athlete in the sport of Olympic Games represents?,Kingston,What is the population of the capital city of the country that the famous athlete in the sport of Olympic Games represents?,"Approximately 670,000",What is the main language spoken in the capital city of the country that the famous athlete in the sport of Olympic Games represents?,English
event_sport,Berlin Marathon,country,Germany,What is the country of Berlin Marathon?,Berlin,0.0,"['Germany', 'Berlin', 'France', 'Italy']",Which country hosts the Berlin Marathon?,Is Germany the country of the Berlin Marathon?,Is Berlin the country of the Berlin Marathon?,In which city is the Berlin Marathon held?,What marathon is held in Germany?,A. Germany  B. Berlin  C. Italy  D. France,A,What is the capital of the country of Berlin Marathon?,Berlin,What is the population of the capital of the country of Berlin Marathon?,Approximately 3.6 million,What is the area in square kilometers of the capital of the country of Berlin Marathon?,891.8 square kilometers,What is the name of the river that flows through the capital of the country of Berlin Marathon?,Spree,What is the length of the river that flows through the capital of the country of Berlin Marathon?,400 kilometers
event_sport,Berlin Marathon,sponsor,BMW,What does Berlin Marathon sponsor?,"Berlin Marathon sponsors health, sports, and social causes",0.0,"['BMW', 'Berlin Marathon sponsors health, sports, and social causes', 'Adidas', 'Nike']",Who is the sponsor of the Berlin Marathon?,Does the Berlin Marathon sponsor BMW?,"Does the Berlin Marathon sponsor health, sports, and social causes?",In which city is the Berlin Marathon held?,What event is sponsored by BMW?,"A. BMW  B. Berlin Marathon sponsors health, sports, and social causes  C. Adidas  D. Nike",A,What is the headquarters location of the company that Berlin Marathon sponsors?,"Munich, Germany","Who is the CEO of the company headquartered in Munich, Germany that Berlin Marathon sponsors?",Oliver Zipse,"Which university did the CEO of the company headquartered in Munich, Germany that Berlin Marathon sponsors attend?",Technische Universität Darmstadt,"In which city is the university located that the CEO of the company headquartered in Munich, Germany that Berlin Marathon sponsors attended?",Darmstadt,"In which state is the city located where the university is situated that the CEO of the company headquartered in Munich, Germany that Berlin Marathon sponsors attended?",Hesse
event_sport,Nemean Games,time period,classical antiquity,What is the time period of Nemean Games?,Nemean Games lasted for seven days,0.0,"['classical antiquity', 'Nemean Games lasted for seven days', 'medieval period', 'modern era']",During which era did the Nemean Games take place?,Is the time period of Nemean Games classical antiquity?,Is the time period of Nemean Games Nemean Games lasted for seven days?,Where were the Nemean Games held?,What event took place during classical antiquity?,A. Nemean Games lasted for seven days  B. medieval period  C. classical antiquity  D. modern era,C,What was a major event that took place during the time period of Nemean Games?,The Olympic Games,Where were the Olympic Games held during the time period of Nemean Games?,"Olympia, Greece",Which god was worshipped at the location where the Olympic Games were held during the time period of Nemean Games?,Zeus,What was the primary temple dedicated to the god worshipped at the location where the Olympic Games were held during the time period of Nemean Games?,Temple of Zeus,What famous statue was housed in the primary temple dedicated to the god worshipped at the location where the Olympic Games were held during the time period of Nemean Games?,Statue of Zeus at Olympia
event_sport,Nemean Games,culture,Ancient Greece,What is the culture of Nemean Games?,"Nemean Games are renowned for their athleticism, spectacle, and reverence for victory",0.0,"['Ancient Greece', 'Nemean Games are renowned for their athleticism, spectacle, and reverence for victory', 'Roman Empire', 'Medieval Europe']",Which culture is associated with the Nemean Games?,Is the culture of Nemean Games Ancient Greece?,"Is the culture of Nemean Games Nemean Games are renowned for their athleticism, spectacle, and reverence for victory?",In which region were the Nemean Games held?,What games are associated with the culture of Ancient Greece?,"A. Ancient Greece  B. Roman Empire  C. Nemean Games are renowned for their athleticism, spectacle, and reverence for victory  D. Medieval Europe",A,What is a famous event associated with the culture of Nemean Games?,Nemean lion hunt,Who is the hero associated with the famous event related to the culture of Nemean Games?,Heracles,What is the name of the father of the hero associated with the famous event related to the culture of Nemean Games?,Zeus,What is the name of the mother of the hero's father associated with the famous event related to the culture of Nemean Games?,Rhea,Who is the consort of the mother of the hero's father associated with the famous event related to the culture of Nemean Games?,Cronus
event_sport,London Marathon,month of the year,April,When is the month of the year of London Marathon?,March,0.0,"['April', 'March', 'May', 'June']",In which month does the London Marathon take place?,Is the London Marathon held in April?,Is the London Marathon held in March?,In which city is the London Marathon held?,Which event takes place in April?,A. June  B. April  C. March  D. May,B,What is the average temperature in the month of the year of the London Marathon?,11°C (52°F),What is the average rainfall in the month with the average temperature of 11°C (52°F) during the London Marathon?,45 mm,What is the average number of rainy days in the month with the average rainfall of 45 mm during the London Marathon?,10 days,What is the average humidity in the month with the average number of rainy days of 10 during the London Marathon?,75%,What is the average wind speed in the month with the average humidity of 75% during the London Marathon?,15 km/h (9 mph)
