topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct
art_sculpture,Manneken Pis,creator,Hiëronymus Duquesnoy the Elder,Who is the creator of Manneken Pis?,Jerome Duquesnoy,0.0
art_sculpture,Madurodam,legal form,privately held company,What is the legal form of Madurodam?,Foundation,0.0
art_sculpture,Trevi Fountain,genre,public art,What is the genre of Trevi Fountain?,Architecture,0.0
art_sculpture,Bartholdi Fountain,genre,public art,What is the genre of Bartholdi Fountain?,Neoclassical,0.0
art_sculpture,Marine Corps War Memorial,significant event,dedication,What is the significant event of Marine Corps War Memorial?,Iwo Jima,0.0
art_sculpture,Apoxyomenos,made from material,marble,What is the made from material of Apoxyomenos?,Bronze,0.0
art_sculpture,Temperance Fountain,located in the administrative territorial entity,"Washington, D.C.",What is the located in the administrative territorial entity of Temperance Fountain?,Fresno,0.0
art_sculpture,The Lone Sailor,located in the administrative territorial entity,"Washington, D.C.",What is the located in the administrative territorial entity of The Lone Sailor?,Texas,0.0
art_sculpture,Chindit Memorial,country,United Kingdom,What is the country of Chindit Memorial?,Myanmar,0.0
art_sculpture,Washington Monument,genre,public art,What is the genre of Washington Monument?,Architecture,0.0
art_sculpture,Cloud Gate,genre,public art,What is the genre of Cloud Gate?,Contemporary dance,0.0
art_sculpture,Chindit Memorial,genre,public art,What is the genre of Chindit Memorial?,Historical Fiction,0.0
art_sculpture,Royal Marines Memorial,made from material,bronze,What is the made from material of Royal Marines Memorial?,Granite,0.0
art_sculpture,Stravinsky Fountain,architect,Jean Tinguely,Who does Stravinsky Fountain architect?,Jean-Michel Othello,0.0
art_sculpture,Unisphere,inspired by,armillary sphere,What was Unisphere inspired by?,Eiffel Tower,0.0
art_sculpture,Hermannsdenkmal,located in the administrative territorial entity,Detmold,What is the located in the administrative territorial entity of Hermannsdenkmal?,Germany,0.0
art_sculpture,Dante Alighieri,made from material,bronze,What is the made from material of Dante Alighieri?,Paper,0.0
art_sculpture,Apollo and Daphne,genre,group of sculptures,What is the genre of Apollo and Daphne?,Mythology,0.0
art_sculpture,The Kiss,genre,group of sculptures,What is the genre of The Kiss?,Romance,0.0
art_sculpture,Dupont Circle Fountain,located in the administrative territorial entity,"Washington, D.C.",What is the located in the administrative territorial entity of Dupont Circle Fountain?,Washington D.C,0.0
art_sculpture,Bocca della Verità,fabrication method,relief sculpture,What is the fabrication method of Bocca della Verità?,Casting,0.0
art_sculpture,Royal Marines Memorial,commemorates,Royal Marines,What does Royal Marines Memorial commemorate?,WWII,0.0
art_sculpture,Commodus as Hercules,genre,bust,What is the genre of Commodus as Hercules?,Historical drama,0.0
art_sculpture,The Kiss,made from material,marble,What is the made from material of The Kiss?,Glass,0.0
art_sculpture,Stephenson Grand Army of the Republic Memorial,located in the administrative territorial entity,"Washington, D.C.",What is the located in the administrative territorial entity of Stephenson Grand Army of the Republic Memorial?,Chicago,0.0
art_sculpture,statue of Sacred Heart of Jesus Christ,diocese,Roman Catholic Diocese of Roermond,What is the diocese of statue of Sacred Heart of Jesus Christ?,Kottayam,0.0
art_sculpture,Riace bronzes,genre,Ancient Greece,What is the genre of Riace bronzes?,Greek,0.0
art_sculpture,National Submarine War Memorial,creator,Frederick Brook Hitch,Who is the creator of National Submarine War Memorial?,Kazuo Agematsu,0.0
art_sculpture,The Kiss,significant event,order,What is the significant event of The Kiss?,Armistice,0.0
art_sculpture,The Bex Eagle,donated by,National Wildlife Federation,What was The Bex Eagle donated by?,The Bex Eagle was donated by the Bex family,0.0
art_sculpture,Angel of the North,location,Lamesley,What is the location of Angel of the North?,Gateshead,0.0
art_sculpture,Lion Monument Lucerne,genre,public art,What is the genre of Lion Monument Lucerne?,Monumental,0.0
art_sculpture,Madonna with Glass Eyes,movement,Gothic sculpture,What is the movement of Madonna with Glass Eyes?,Vogue,0.0
art_sculpture,Lion Monument Lucerne,depicts,lion,What does Lion Monument Lucerne depict?,Swiss mercenaries,0.0
art_sculpture,Pasquino,genre,public art,What is the genre of Pasquino?,Comedy,0.0
art_sculpture,Unisphere,depicts,Earth,What does Unisphere depict?,Peace Through Understanding,0.0
art_sculpture,Moses,genre,sculpture,What is the genre of Moses?,Biography,0.0
art_sculpture,Moses,movement,High Renaissance,What is the movement of Moses?,Exodus,0.0
art_sculpture,Lion Monument Lucerne,located in the administrative territorial entity,Lucerne,What is the located in the administrative territorial entity of Lion Monument Lucerne?,Switzerland,0.0
art_sculpture,Goya memorial,genre,public art,What is the genre of Goya memorial?,Surrealism,0.0
