topic,subject,relation,object,question,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct
geography_glacier,Glärnisch,key col,Klausen Pass,Who is the key col of Glärnisch?,No key col on Glärnisch. It's a mountain in Switzerland,0.0
geography_glacier,Glärnisch,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Glärnisch?,Alpine Marmot,0.0
geography_glacier,Gangotri Glacier,located in the administrative territorial entity,Uttarkashi district,What is the located in the administrative territorial entity of Gangotri Glacier?,Uttarakhand,0.0
geography_glacier,Miage Glacier,located in the administrative territorial entity,Courmayeur,What is the located in the administrative territorial entity of Miage Glacier?,Glacier,0.0
geography_glacier,Argentière Glacier,named after,Argentière,What was Argentière Glacier named after?,Châtelard,0.0
geography_glacier,Skelton Glacier,mountain range,Royal Society Range,What is the mountain range of Skelton Glacier?,Ellsworth Mountains,0.0
geography_glacier,Skelton Glacier,named after,Skelton Inlet,What was Skelton Glacier named after?,John Skelton,0.0
geography_glacier,Juneau Icefield,has part(s),Devils Paw,What does Juneau Icefield have part(s )?,Glaciers,0.0
geography_glacier,Baltoro Glacier,located in the administrative territorial entity,Gilgit-Baltistan,What is the located in the administrative territorial entity of Baltoro Glacier?,Pakistan,0.0
geography_glacier,Columbia Glacier,located in the administrative territorial entity,Alaska,What is the located in the administrative territorial entity of Columbia Glacier?,Glacier,0.0
geography_glacier,Öræfajökull,time period,Pleistocene,What is the time period of Öræfajökull?,Eruption cycles (variable),0.0
geography_glacier,Öræfajökull,located in the administrative territorial entity,Sveitarfélagið Hornafjörður,Who is the located in the administrative territorial entity of Öræfajökull?,Iceland,0.0
geography_glacier,Öræfajökull,highest point,Hvannadalshnúkur,What is the highest point of Öræfajökull?,2110m (above sea level),0.0
geography_glacier,Öræfajökull,located in protected area,Vatnajökull National Park,What is the located in protected area of Öræfajökull?,Volcano,0.0
geography_glacier,Taku Glacier,mountain range,Boundary Ranges,What is the mountain range of Taku Glacier?,Saint Elias Mountains,0.0
