topic,subject,relation,object,question,output_gpt_j_6b,eval_gpt_j_6b,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
geography_forest,Black Forest,highest point,Feldberg,Who is the highest point of Black Forest?,The highest point of Black Forest is the summit of the Hochkopf,0.0,"['Feldberg', 'The highest point of Black Forest is the summit of the Hochkopf', 'Belchen', 'Hornisgrinde']",What is the name of the highest point in the Black Forest?,Is Feldberg the highest point of Black Forest?,Is the highest point of Black Forest the summit of the Hochkopf?,What is a famous natural feature found in the Black Forest?,Which forest has Feldberg as its highest point?,A. Feldberg  B. Belchen  C. Hornisgrinde  D. The highest point of Black Forest is the summit of the Hochkopf,A,What is the elevation of the highest point of Black Forest?,"1,493 meters",In which country is the highest point of Black Forest located?,Germany,Which state in Germany is the highest point of Black Forest located?,Baden-Württemberg,What is the nearest major city to the highest point of Black Forest?,Freiburg im Breisgau,Which river flows through the nearest major city to the highest point of Black Forest?,Dreisam
geography_forest,Black Forest,located in the administrative territorial entity,Baden-Württemberg,What is the located in the administrative territorial entity of Black Forest?,Black Forest is located in the administrative territorial entity of Black Forest.  Question,0.0,"['Baden-Württemberg', 'Black Forest is located in the administrative territorial entity of Black Forest.  Question', 'Bavaria', 'Hesse']",In which administrative territorial entity is the Black Forest located?,Is Baden-Württemberg the administrative territorial entity where the Black Forest is located?,Is Black Forest is located in the administrative territorial entity of Black Forest. the administrative territorial entity where the Black Forest is located?,What is a famous natural feature of the Black Forest?,What is located in Baden-Württemberg?,A. Hesse  B. Baden-Württemberg  C. Bavaria  D. Black Forest is located in the administrative territorial entity of Black Forest.  Question,B,What is the capital of the administrative territorial entity where Black Forest is located?,Stuttgart,What is the population of the capital of the administrative territorial entity where Black Forest is located?,"634,830",What is the area of the capital of the administrative territorial entity where Black Forest is located?,207.36 square kilometers,What is the elevation of the capital of the administrative territorial entity where Black Forest is located?,245 meters,What is the name of the river that flows through the capital of the administrative territorial entity where Black Forest is located?,Neckar
geography_forest,Paimpont forest,said to be the same as,Brocéliande,What did Paimpont forest say to be the same as?,The same as,0.0,"['Brocéliande', 'The same as', 'Sherwood Forest', 'Amazon Rainforest']",What is Paimpont forest said to be equivalent to?,Is Paimpont forest said to be the same as Brocéliande?,Is Paimpont forest said to be the same as The same as?,What is a famous legend associated with Paimpont forest?,What is Brocéliande said to be the same as?,A. Amazon Rainforest  B. The same as  C. Sherwood Forest  D. Brocéliande,D,Who is the legendary figure associated with the forest that Paimpont forest is said to be the same as?,Merlin,What is the name of the lady who is associated with the legendary figure in the forest that Paimpont forest is said to be the same as?,The Lady of the Lake,What is the name of the lake associated with the lady who is associated with the legendary figure in the forest that Paimpont forest is said to be the same as?,Lake of Diana,In which country is the lake located that is associated with the lady who is associated with the legendary figure in the forest that Paimpont forest is said to be the same as?,France,What is the region in France where the lake is located that is associated with the lady who is associated with the legendary figure in the forest that Paimpont forest is said to be the same as?,Brittany
geography_forest,Paimpont forest,owned by,Donatien Levesque,Who was Paimpont forest owned by?,The forest was owned by the King of France,0.0,"['Donatien Levesque', 'The forest was owned by the King of France', 'The Duke of Brittany', 'The Count of Anjou']",Who was the owner of Paimpont forest?,Was Paimpont forest owned by Donatien Levesque?,Was Paimpont forest owned by the King of France?,What is a famous landmark or feature associated with Paimpont forest?,Who owned Donatien Levesque?,A. The Duke of Brittany  B. The Count of Anjou  C. Donatien Levesque  D. The forest was owned by the King of France,C,What is the profession of the person who owned Paimpont forest?,Businessman,Which company was associated with the profession of the person who owned Paimpont forest?,Levesque Group,In which industry did the company associated with the profession of the person who owned Paimpont forest operate?,Forestry,Which country is the industry located in where the company associated with the profession of the person who owned Paimpont forest operates?,France,What is the capital city of the country where the industry is located that the company associated with the profession of the person who owned Paimpont forest operates?,Paris
geography_forest,Black Forest,made from material,gneiss,What is the made from material of Black Forest?,Wood,0.0,"['gneiss', 'Wood', 'granite', 'sandstone']",What material is the Black Forest made from?,Is the Black Forest made from gneiss?,Is the Black Forest made from Wood?,Where is the Black Forest located?,What is made from material gneiss?,A. Wood  B. gneiss  C. granite  D. sandstone,B,What is the primary mineral component of the material that Black Forest is made from?,quartz,What is the chemical formula of the primary mineral component of the material that Black Forest is made from?,SiO2,What is the crystal system of the primary mineral component of the material that Black Forest is made from?,hexagonal,What is the hardness on the Mohs scale of the primary mineral component of the material that Black Forest is made from?,7,What is the specific gravity of the primary mineral component of the material that Black Forest is made from?,2.65
geography_forest,Forest of Dean,described by source,Encyclopædia Britannica 11th edition,What is the described by source of Forest of Dean?,"The Forest of Dean is a forest in Gloucestershire, England",0.0,"['Encyclopædia Britannica 11th edition', 'The Forest of Dean is a forest in Gloucestershire, England', 'Wikipedia', 'Oxford Dictionary of Geography']",Which source describes the Forest of Dean?,Is the Forest of Dean described by the Encyclopædia Britannica 11th edition?,"Is the Forest of Dean described by the statement 'The Forest of Dean is a forest in Gloucestershire, England'?",In which county is the Forest of Dean located?,What is described by the Encyclopædia Britannica 11th edition?,"A. The Forest of Dean is a forest in Gloucestershire, England  B. Oxford Dictionary of Geography  C. Wikipedia  D. Encyclopædia Britannica 11th edition",D,Who was the editor of the described by source of Forest of Dean?,Hugh Chisholm,Which university did the editor of the described by source of Forest of Dean attend?,University of Oxford,In which city is the university located that the editor of the described by source of Forest of Dean attended?,Oxford,In which country is the city located where the university is situated that the editor of the described by source of Forest of Dean attended?,United Kingdom,What is the official language of the country where the city is located that contains the university the editor of the described by source of Forest of Dean attended?,English
geography_forest,Olympic National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Olympic National Forest?,Category: Olympic National Forest,0.0,"['IUCN category VI: Protected Area with sustainable use of natural resources', 'Category: Olympic National Forest', 'IUCN category II: National Park', 'IUCN category IV: Habitat/Species Management Area']",Which IUCN protected areas category does the Olympic National Forest belong to?,Is the IUCN protected areas category of Olympic National Forest IUCN category VI: Protected Area with sustainable use of natural resources?,Is the IUCN protected areas category of Olympic National Forest Category: Olympic National Forest?,What state is the Olympic National Forest located in?,Which forest is classified under the IUCN category VI: Protected Area with sustainable use of natural resources?,A. IUCN category VI: Protected Area with sustainable use of natural resources  B. IUCN category II: National Park  C. Category: Olympic National Forest  D. IUCN category IV: Habitat/Species Management Area,A,"What is the primary objective of the IUCN category VI: Protected Area with sustainable use of natural resources, which is the IUCN protected areas category of Olympic National Forest?",To protect natural ecosystems and use natural resources sustainably,"Which organization is responsible for defining the IUCN category VI: Protected Area with sustainable use of natural resources, which is the IUCN protected areas category of Olympic National Forest?",International Union for Conservation of Nature (IUCN),"In which year was the organization responsible for defining the IUCN category VI: Protected Area with sustainable use of natural resources, which is the IUCN protected areas category of Olympic National Forest, founded?",1948,"In which city was the organization founded that is responsible for defining the IUCN category VI: Protected Area with sustainable use of natural resources, which is the IUCN protected areas category of Olympic National Forest?",Fontainebleau,"In which country is the city located where the organization was founded that is responsible for defining the IUCN category VI: Protected Area with sustainable use of natural resources, which is the IUCN protected areas category of Olympic National Forest?",France
geography_forest,Olympic National Forest,located in the administrative territorial entity,Washington,What is the located in the administrative territorial entity of Olympic National Forest?,The Olympic National Forest is located in the administrative territorial entity of Olympic National Forest,0.0,"['Washington', 'The Olympic National Forest is located in the administrative territorial entity of Olympic National Forest', 'Oregon', 'California']",In which administrative territorial entity is the Olympic National Forest located?,Is the Olympic National Forest located in the administrative territorial entity of Washington?,Is the Olympic National Forest located in the administrative territorial entity of The Olympic National Forest is located in the administrative territorial entity of Olympic National Forest?,What is a popular national park located near the Olympic National Forest?,Which forest is located in the administrative territorial entity of Washington?,A. California  B. Oregon  C. Washington  D. The Olympic National Forest is located in the administrative territorial entity of Olympic National Forest,C,What is the capital of the state that Olympic National Forest is located in the administrative territorial entity of?,Olympia,What is the population of the capital of the state that Olympic National Forest is located in the administrative territorial entity of?,"52,882",What is the area in square miles of the capital of the state that Olympic National Forest is located in the administrative territorial entity of?,19.68 square miles,What is the name of the county where the capital of the state that Olympic National Forest is located in the administrative territorial entity of is situated?,Thurston County,What is the population of the county where the capital of the state that Olympic National Forest is located in the administrative territorial entity of is situated?,"290,536"
geography_forest,Pine Barrens,located in the administrative territorial entity,New Jersey,What is the located in the administrative territorial entity of Pine Barrens?,"The Pine Barrens is a large, mostly uninhabited, pine forest",0.0,"['New Jersey', 'The Pine Barrens is a large, mostly uninhabited, pine forest', 'Pennsylvania', 'New York']",In which administrative territorial entity is Pine Barrens located?,Is Pine Barrens located in the administrative territorial entity of New Jersey?,"Is Pine Barrens located in the administrative territorial entity of The Pine Barrens is a large, mostly uninhabited, pine forest?",What type of forest is Pine Barrens known for?,What is the administrative territorial entity that New Jersey is located in?,"A. New Jersey  B. New York  C. The Pine Barrens is a large, mostly uninhabited, pine forest  D. Pennsylvania",A,What is the capital of the state that Pine Barrens is located in the administrative territorial entity of?,Trenton,"Who is the current governor of the state whose capital is Trenton, where Pine Barrens is located in the administrative territorial entity of?",Phil Murphy,"Which political party does the current governor belong to, who governs the state whose capital is Trenton, where Pine Barrens is located in the administrative territorial entity of?",Democratic Party,"What is the name of the lieutenant governor who serves under the current governor of the state whose capital is Trenton, where Pine Barrens is located in the administrative territorial entity of?",Sheila Oliver,"What is the birth year of the lieutenant governor who serves under the current governor of the state whose capital is Trenton, where Pine Barrens is located in the administrative territorial entity of?",1952
geography_forest,Sundarbans,described by source,Encyclopædia Britannica 11th edition,What is the described by source of Sundarbans?,The Sundarbans is a mangrove forest in the Bay of Bengal,0.0,"['Encyclopædia Britannica 11th edition', 'The Sundarbans is a mangrove forest in the Bay of Bengal', 'National Geographic', 'World Wildlife Fund']",Which source describes the Sundarbans?,Is the Sundarbans described by the Encyclopædia Britannica 11th edition?,Is the Sundarbans described by 'The Sundarbans is a mangrove forest in the Bay of Bengal'?,In which region is the Sundarbans located?,What is described by the Encyclopædia Britannica 11th edition?,A. Encyclopædia Britannica 11th edition  B. World Wildlife Fund  C. The Sundarbans is a mangrove forest in the Bay of Bengal  D. National Geographic,A,Who was the editor of the described by source of Sundarbans?,Hugh Chisholm,Which university did the editor of the described by source of Sundarbans attend?,University of Oxford,In which city is the university located that the editor of the described by source of Sundarbans attended?,Oxford,In which country is the city located where the university is situated that the editor of the described by source of Sundarbans attended?,United Kingdom,What is the official language of the country where the city is located that contains the university the editor of the described by source of Sundarbans attended?,English
geography_forest,Olympic National Forest,location,Washington,What is the location of Olympic National Forest?,Olympic National Forest is located in the Olympic Peninsula,0.0,"['Washington', 'Olympic National Forest is located in the Olympic Peninsula', 'Oregon', 'California']",Where is Olympic National Forest situated?,Is Olympic National Forest located in Washington?,Is Olympic National Forest located in the Olympic Peninsula?,What type of ecosystem is commonly found in Olympic National Forest?,What forest is located in Washington?,A. Olympic National Forest is located in the Olympic Peninsula  B. Washington  C. Oregon  D. California,B,What is the capital of the state where the Olympic National Forest is located?,Olympia,What is the population of the capital of the state where the Olympic National Forest is located?,"Approximately 52,000","What is the name of the county where the capital of the state is located, which contains the Olympic National Forest?",Thurston County,"What is the area in square miles of the county where the capital of the state is located, which contains the Olympic National Forest?",774 square miles,"What is the name of the largest city in the county where the capital of the state is located, which contains the Olympic National Forest?",Olympia
geography_forest,Sherwood Forest,described by source,Encyclopædia Britannica 11th edition,What is the described by source of Sherwood Forest?,The forest is described by the source,0.0,"['Encyclopædia Britannica 11th edition', 'The forest is described by the source', 'Wikipedia', 'Oxford English Dictionary']",Which source describes Sherwood Forest?,Is Sherwood Forest described by the Encyclopædia Britannica 11th edition?,Is Sherwood Forest described by The forest is described by the source?,In which country is Sherwood Forest located?,What forest is described by the Encyclopædia Britannica 11th edition?,A. Wikipedia  B. Encyclopædia Britannica 11th edition  C. The forest is described by the source  D. Oxford English Dictionary,B,Who was the editor of the described by source of Sherwood Forest?,Hugh Chisholm,Which university did the editor of the described by source of Sherwood Forest attend?,University of Oxford,In which city is the university that the editor of the described by source of Sherwood Forest attended located?,Oxford,In which country is the city located where the university that the editor of the described by source of Sherwood Forest attended is situated?,United Kingdom,What is the official language of the country where the city is located that contains the university the editor of the described by source of Sherwood Forest attended?,English
geography_forest,Waipoua Forest,located in the administrative territorial entity,Kaipara District,What is the located in the administrative territorial entity of Waipoua Forest?,Waipoua Forest is located in the administrative territorial entity of Waipou,0.0,"['Kaipara District', 'Waipoua Forest is located in the administrative territorial entity of Waipou', 'Northland Region', 'Auckland']",In which administrative territorial entity is Waipoua Forest located?,Is Waipoua Forest located in the administrative territorial entity of Kaipara District?,Is Waipoua Forest located in the administrative territorial entity of Waipoua Forest is located in the administrative territorial entity of Waipou?,What is a famous natural feature found in Waipoua Forest?,Which forest is located in the administrative territorial entity of Kaipara District?,A. Northland Region  B. Auckland  C. Waipoua Forest is located in the administrative territorial entity of Waipou  D. Kaipara District,D,"What is the population of the Kaipara District, which is the administrative territorial entity where Waipoua Forest is located?","Approximately 22,100","What is the largest town in the Kaipara District, which is the administrative territorial entity where Waipoua Forest is located?",Dargaville,"What river flows through the largest town in the Kaipara District, which is the administrative territorial entity where Waipoua Forest is located?",Northern Wairoa River,"What body of water does the river that flows through the largest town in the Kaipara District, which is the administrative territorial entity where Waipoua Forest is located, empty into?",Kaipara Harbour,"What ocean is connected to the body of water that the river flows into, which passes through the largest town in the Kaipara District, the administrative territorial entity where Waipoua Forest is located?",Tasman Sea
geography_forest,Custer National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Custer National Forest?,Category: Custer National Forest,0.0,"['IUCN category VI: Protected Area with sustainable use of natural resources', 'Category: Custer National Forest', 'IUCN category II: National Park', 'IUCN category IV: Habitat/Species Management Area']",Which IUCN category does Custer National Forest fall under?,Is the IUCN protected areas category of Custer National Forest IUCN category VI: Protected Area with sustainable use of natural resources?,Is the IUCN protected areas category of Custer National Forest Category: Custer National Forest?,In which state is Custer National Forest located?,Which forest falls under the IUCN category VI: Protected Area with sustainable use of natural resources?,A. IUCN category VI: Protected Area with sustainable use of natural resources  B. Category: Custer National Forest  C. IUCN category IV: Habitat/Species Management Area  D. IUCN category II: National Park,A,"What is an example of a species that can be found in the Custer National Forest, which is categorized under IUCN category VI: Protected Area with sustainable use of natural resources?",Grizzly bear,"What is the primary diet of a species that can be found in the Custer National Forest, which is categorized under IUCN category VI: Protected Area with sustainable use of natural resources?","Omnivorous, including fish, berries, and small mammals","What is the average lifespan in the wild of a species that has an omnivorous diet, including fish, berries, and small mammals, and can be found in the Custer National Forest, which is categorized under IUCN category VI: Protected Area with sustainable use of natural resources?",20-25 years,"In which regions of North America can a species with an average lifespan of 20-25 years in the wild, an omnivorous diet, and found in the Custer National Forest, which is categorized under IUCN category VI: Protected Area with sustainable use of natural resources, be found?",Western Canada and the Northwestern United States,"What is the conservation status of a species found in Western Canada and the Northwestern United States, with an average lifespan of 20-25 years in the wild, an omnivorous diet, and found in the Custer National Forest, which is categorized under IUCN category VI: Protected Area with sustainable use of natural resources?",Least Concern
geography_forest,Bighorn National Forest,located in the administrative territorial entity,Big Horn County,What is the located in the administrative territorial entity of Bighorn National Forest?,The Bighorn National Forest is located in the administrative territorial entity of the B,0.0,"['Big Horn County', 'The Bighorn National Forest is located in the administrative territorial entity of the B', 'Yellowstone County', 'Sheridan County']",In which administrative territorial entity is Bighorn National Forest located?,Is Bighorn National Forest located in the administrative territorial entity of Big Horn County?,Is Bighorn National Forest located in the administrative territorial entity of The Bighorn National Forest is located in the administrative territorial entity of the B?,What is a popular recreational activity in Bighorn National Forest?,Which national forest is located in the administrative territorial entity of Big Horn County?,A. Yellowstone County  B. Big Horn County  C. Sheridan County  D. The Bighorn National Forest is located in the administrative territorial entity of the B,B,What is the population of the administrative territorial entity where Bighorn National Forest is located?,"11,973",What is the largest city in the administrative territorial entity where Bighorn National Forest is located?,Lovell,What is the primary industry in the largest city in the administrative territorial entity where Bighorn National Forest is located?,Agriculture,What is a major agricultural product of the primary industry in the largest city in the administrative territorial entity where Bighorn National Forest is located?,Sugar beets,Which company is a major employer in the industry that produces a major agricultural product in the largest city in the administrative territorial entity where Bighorn National Forest is located?,Western Sugar Cooperative
geography_forest,Bighorn National Forest,significant place,Sheridan,Who is the significant place of Bighorn National Forest?,The Bighorn National Forest is located in the state of Wyoming,0.0,"['Sheridan', 'The Bighorn National Forest is located in the state of Wyoming', 'Buffalo', 'Cody']",What is the significant place associated with Bighorn National Forest?,Is Sheridan the significant place of Bighorn National Forest?,Is the significant place of Bighorn National Forest the state of Wyoming?,In which state is Bighorn National Forest located?,What significant place is Sheridan associated with?,A. The Bighorn National Forest is located in the state of Wyoming  B. Buffalo  C. Cody  D. Sheridan,D,What is the population of the significant place of Bighorn National Forest?,"17,444",What is the area in square miles of the significant place of Bighorn National Forest?,10.95 square miles,What is the elevation of the significant place of Bighorn National Forest?,"3,743 feet",In which county is the significant place of Bighorn National Forest located?,Sheridan County,In which state is the county located where the significant place of Bighorn National Forest is situated?,Wyoming
geography_forest,Bighorn National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Bighorn National Forest?,Bighorn National Forest is a Category I protected area,0.0,"['IUCN category VI: Protected Area with sustainable use of natural resources', 'Bighorn National Forest is a Category I protected area', 'IUCN category II: National Park', 'IUCN category IV: Habitat/Species Management Area']",Which IUCN protected areas category does Bighorn National Forest belong to?,Is the IUCN protected areas category of Bighorn National Forest IUCN category VI: Protected Area with sustainable use of natural resources?,Is the IUCN protected areas category of Bighorn National Forest Bighorn National Forest is a Category I protected area?,In which state is Bighorn National Forest located?,Which national forest is categorized under IUCN category VI: Protected Area with sustainable use of natural resources?,A. Bighorn National Forest is a Category I protected area  B. IUCN category II: National Park  C. IUCN category VI: Protected Area with sustainable use of natural resources  D. IUCN category IV: Habitat/Species Management Area,C,"What is an example of a natural resource that can be sustainably used in the Bighorn National Forest, which is categorized under IUCN category VI?",Timber,"What is a common tree species found in the Bighorn National Forest, where timber is a sustainably used natural resource under IUCN category VI?",Ponderosa Pine,"What is a common wildlife species that inhabits the Bighorn National Forest, which contains Ponderosa Pine and is categorized under IUCN category VI?",Elk,"What is a major river that flows through the Bighorn National Forest, which is home to Elk and categorized under IUCN category VI?",Bighorn River,"What is a significant recreational activity that can be done on the Bighorn River, which flows through the Bighorn National Forest categorized under IUCN category VI?",Fishing
geography_forest,Białowieża Forest,location,Grodno Region,What is the location of Białowieża Forest?,Białowieża Forest is in Poland.  Do,0.0,"['Grodno Region', 'Białowieża Forest is in Poland.  Do', 'Belarus', 'Podlaskie Voivodeship']",Where is Białowieża Forest located?,Is the location of Białowieża Forest Grodno Region?,Is the location of Białowieża Forest in Poland?,What is a famous natural feature of Białowieża Forest?,What forest is located in Grodno Region?,A. Belarus  B. Podlaskie Voivodeship  C. Białowieża Forest is in Poland.  Do  D. Grodno Region,D,What is the capital of the region where Białowieża Forest is located?,Grodno,What river flows through the capital of the region where Białowieża Forest is located?,Neman River,Which sea does the river that flows through the capital of the region where Białowieża Forest is located empty into?,Baltic Sea,"Which country borders the sea that the river flows into, which passes through the capital of the region where Białowieża Forest is located?",Poland,"What is the official language of the country that borders the sea into which the river flows, which passes through the capital of the region where Białowieża Forest is located?",Polish
geography_forest,Białowieża Forest,located in the administrative territorial entity,Podlaskie Voivodeship,What is the located in the administrative territorial entity of Białowieża Forest?,Białowieża Forest is located in the administrative territorial entity,0.0,"['Podlaskie Voivodeship', 'Białowieża Forest is located in the administrative territorial entity', 'Masovian Voivodeship', 'Lublin Voivodeship']",In which administrative territorial entity is Białowieża Forest located?,Is Białowieża Forest located in the administrative territorial entity of Podlaskie Voivodeship?,Is Białowieża Forest located in the administrative territorial entity of Białowieża Forest is located in the administrative territorial entity?,What is a famous natural feature of Białowieża Forest?,What forest is located in the administrative territorial entity of Podlaskie Voivodeship?,A. Lublin Voivodeship  B. Białowieża Forest is located in the administrative territorial entity  C. Podlaskie Voivodeship  D. Masovian Voivodeship,C,What is the capital of the administrative territorial entity where Białowieża Forest is located?,Białystok,What is the population of the capital of the administrative territorial entity where Białowieża Forest is located?,"297,459",What is the area of the capital of the administrative territorial entity where Białowieża Forest is located?,102.12 square kilometers,What is the name of the river that flows through the capital of the administrative territorial entity where Białowieża Forest is located?,Biała River,What is the length of the river that flows through the capital of the administrative territorial entity where Białowieża Forest is located?,29 kilometers
geography_forest,Białowieża Forest,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Białowieża Forest?,The Białowieża Forest is a UNESCO World Heritage Site,0.0,"['Brockhaus and Efron Encyclopedic Dictionary', 'The Białowieża Forest is a UNESCO World Heritage Site', 'Encyclopedia Britannica', 'Wikipedia']",What source describes Białowieża Forest?,Is Brockhaus and Efron Encyclopedic Dictionary the source that describes Białowieża Forest?,Is The Białowieża Forest a UNESCO World Heritage Site the source that describes Białowieża Forest?,What is a well-known attribute of Białowieża Forest?,What forest is described by Brockhaus and Efron Encyclopedic Dictionary?,A. The Białowieża Forest is a UNESCO World Heritage Site  B. Encyclopedia Britannica  C. Brockhaus and Efron Encyclopedic Dictionary  D. Wikipedia,C,Who is the editor of the described by source of Białowieża Forest?,Konstantin Arsenyev,Which university did the editor of the described by source of Białowieża Forest attend?,Saint Petersburg State University,In which city is the university located that the editor of the described by source of Białowieża Forest attended?,Saint Petersburg,In which country is the city located where the university is situated that the editor of the described by source of Białowieża Forest attended?,Russia,What is the official language of the country where the city is located that contains the university the editor of the described by source of Białowieża Forest attended?,Russian
geography_forest,Chugach National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Chugach National Forest?,Category: Chugach National Forest,0.0,"['IUCN category VI: Protected Area with sustainable use of natural resources', 'Category: Chugach National Forest', 'IUCN category II: National Park', 'IUCN category IV: Habitat/Species Management Area']",Which IUCN category does Chugach National Forest fall under?,Is the IUCN protected areas category of Chugach National Forest IUCN category VI: Protected Area with sustainable use of natural resources?,Is the IUCN protected areas category of Chugach National Forest Category: Chugach National Forest?,In which state is Chugach National Forest located?,Which forest is classified under the IUCN category VI: Protected Area with sustainable use of natural resources?,A. IUCN category II: National Park  B. IUCN category IV: Habitat/Species Management Area  C. Category: Chugach National Forest  D. IUCN category VI: Protected Area with sustainable use of natural resources,D,What is the primary objective of the IUCN category VI: Protected Area with sustainable use of natural resources for Chugach National Forest?,To protect natural ecosystems and use natural resources sustainably,Which organization is responsible for managing the primary objective of the IUCN category VI: Protected Area with sustainable use of natural resources for Chugach National Forest?,United States Forest Service,In which department is the organization responsible for managing the primary objective of the IUCN category VI: Protected Area with sustainable use of natural resources for Chugach National Forest located?,United States Department of Agriculture,Who is the current Secretary of the department that houses the organization responsible for managing the primary objective of the IUCN category VI: Protected Area with sustainable use of natural resources for Chugach National Forest?,Tom Vilsack,Which president appointed the current Secretary of the department that houses the organization responsible for managing the primary objective of the IUCN category VI: Protected Area with sustainable use of natural resources for Chugach National Forest?,Joe Biden
