topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
human_scientist,John Paul Wild,sex or gender,male,male,What is the sex or gender of John Paul Wild?,Not specified in the provided information,0.0,"['male', 'Not specified in the provided information', 'female', 'non-binary']",What gender does John Paul Wild identify as?,A. male  B. Not specified in the provided information  C. female  D. non-binary,A,Is the sex or gender of John Paul Wild male?,Is the sex or gender of John Paul Wild not specified in the provided information?,What is John Paul Wild known for in the field of astronomy?,Who is male in terms of sex or gender?,Who is the spouse of John Paul Wild?,Margaret Wild,What is the profession of the spouse of John Paul Wild?,Author,What is the title of a notable book written by the spouse of John Paul Wild?,Fox,Which award did the notable book written by the spouse of John Paul Wild win?,CBCA Picture Book of the Year,In which year did the notable book written by the spouse of John Paul Wild win the CBCA Picture Book of the Year award?,2001
human_scientist,Andrea Prader,doctoral student,Werner Stützle,Werner Stützle,Who is the doctoral student of Andrea Prader?,Prader's student information is not publicly available,0.0,"['Werner Stützle', ""Prader's student information is not publicly available"", 'Hans Müller', 'Klaus Schmidt']",Who studied under Andrea Prader as a doctoral student?,A. Prader's student information is not publicly available  B. Klaus Schmidt  C. Werner Stützle  D. Hans Müller,C,Is Werner Stützle the doctoral student of Andrea Prader?,Is Prader's student information not publicly available the doctoral student of Andrea Prader?,What is a well-known contribution of Andrea Prader in the field of endocrinology?,Who is the doctoral advisor of Werner Stützle?,Who was the doctoral student of Andrea Prader?,Urs Eiholzer,What is the field of study of the doctoral student of Andrea Prader?,Pediatric Endocrinology,Which institution is associated with the field of study of the doctoral student of Andrea Prader?,University Children's Hospital Zurich,In which city is the institution located that is associated with the field of study of the doctoral student of Andrea Prader?,Zurich,In which country is the city located where the institution associated with the field of study of the doctoral student of Andrea Prader is situated?,Switzerland
human_scientist,Abraham von Humbert,country of citizenship,Germany,Germany,What is the country of citizenship of Abraham von Humbert?,Austria,0.0,"['Germany', 'Austria', 'Switzerland', 'Netherlands']",Which country is Abraham von Humbert a citizen of?,A. Switzerland  B. Germany  C. Netherlands  D. Austria,B,Is the country of citizenship of Abraham von Humbert Germany?,Is the country of citizenship of Abraham von Humbert Austria?,What is a well-known historical event associated with Abraham von Humbert?,Who is a citizen of Germany?,Who is a notable political figure from the country of citizenship of Abraham von Humbert?,Angela Merkel,Which university did the notable political figure from the country of citizenship of Abraham von Humbert attend?,University of Leipzig,In which city is the university located that the notable political figure from the country of citizenship of Abraham von Humbert attended?,Leipzig,In which state is the city located where the university attended by the notable political figure from the country of citizenship of Abraham von Humbert is situated?,Saxony,In which country is the state located where the city is situated that contains the university attended by the notable political figure from the country of citizenship of Abraham von Humbert?,Germany
human_scientist,Salvador Macip i Maresma,place of birth,Blanes,Blanes,Who is the place of birth of Salvador Macip i Maresma?,Barcelona,0.0,"['Blanes', 'Barcelona', 'Madrid', 'Valencia']",Where was Salvador Macip i Maresma born?,A. Valencia  B. Madrid  C. Barcelona  D. Blanes,D,Is Blanes the place of birth of Salvador Macip i Maresma?,Is Barcelona the place of birth of Salvador Macip i Maresma?,What is Salvador Macip i Maresma known for?,Who was born in Blanes?,What is the capital city of the country where Salvador Macip i Maresma was born?,Madrid,What is the population of the capital city of the country where Salvador Macip i Maresma was born?,Approximately 3.3 million,What is the name of the river that flows through the capital city of the country where Salvador Macip i Maresma was born?,Manzanares River,What is the length of the river that flows through the capital city of the country where Salvador Macip i Maresma was born?,92 km,Into which body of water does the river that flows through the capital city of the country where Salvador Macip i Maresma was born eventually flow?,Tagus River
human_scientist,Enid Mumford,place of death,Warrington,Warrington,What is the place of death of Enid Mumford?,Hospice,0.0,"['Warrington', 'Hospice', 'Manchester', 'Liverpool']",Where did Enid Mumford pass away?,A. Hospice  B. Warrington  C. Manchester  D. Liverpool,B,Did Enid Mumford die in Warrington?,Did Enid Mumford die in a Hospice?,What field is Enid Mumford known for?,Who died in Warrington?,What is the country of the place where Enid Mumford died?,United Kingdom,What is the capital city of the country where the place Enid Mumford died is located?,London,Which river flows through the capital city of the country where the place Enid Mumford died is located?,River Thames,What is the length of the river that flows through the capital city of the country where the place Enid Mumford died?,215 miles,In which sea does the river that flows through the capital city of the country where the place Enid Mumford died empty?,North Sea
human_scientist,Alberto Granado,second family name in Spanish name,Romero,Romero,Who is the second family name in Spanish name of Alberto Granado?,Granado,0.0,"['Romero', 'Granado', 'García', 'Martínez']",What is the second surname in the Spanish name of Alberto Granado?,A. Granado  B. Martínez  C. García  D. Romero,D,Is Romero the second family name in the Spanish name of Alberto Granado?,Is Granado the second family name in the Spanish name of Alberto Granado?,What was Alberto Granado's profession?,Whose second family name in Spanish name is Romero?,What is the second family name in the Spanish name of Alberto Granado?,Jiménez,What is the profession of the person with the second family name Jiménez in the Spanish name of Alberto Granado?,Biochemist,Which famous revolutionary was a close friend of the biochemist with the second family name Jiménez in the Spanish name of Alberto Granado?,Che Guevara,In which country was the famous revolutionary who was a close friend of the biochemist with the second family name Jiménez in the Spanish name of Alberto Granado born?,Argentina,What is the capital city of the country where the famous revolutionary who was a close friend of the biochemist with the second family name Jiménez in the Spanish name of Alberto Granado was born?,Buenos Aires
human_scientist,Claus Köpcke,employer,Royal Saxon State Railways,Royal Saxon State Railways,What is the employer of Claus Köpcke?,BMW Group,0.0,"['Royal Saxon State Railways', 'BMW Group', 'Deutsche Bahn', 'Siemens']",Who employs Claus Köpcke?,A. Siemens  B. BMW Group  C. Deutsche Bahn  D. Royal Saxon State Railways,D,Is the employer of Claus Köpcke the Royal Saxon State Railways?,Is the employer of Claus Köpcke the BMW Group?,What is Claus Köpcke known for besides his employer?,Who is employed by the Royal Saxon State Railways?,Who is the CEO of the company that employs Claus Köpcke?,John Doe,What is the headquarters location of the company whose CEO is John Doe?,New York City,Which state is the headquarters of the company located in that employs Claus Köpcke?,New York,What is the population of the state where the headquarters of the company that employs Claus Köpcke is located?,19.45 million,What is the GDP of the state with a population of 19.45 million where the headquarters of the company that employs Claus Köpcke is located?,1.7 trillion USD
human_scientist,Leon Kass,spouse,Amy A. Kass,Amy A. Kass,Who is the spouse of Leon Kass?,Amy Kass,0.0,"['Amy A. Kass', 'Amy Kass', 'Jane Doe', 'Emily Smith']",Who is married to Leon Kass?,A. Amy Kass  B. Emily Smith  C. Jane Doe  D. Amy A. Kass,D,Is Amy A. Kass the spouse of Leon Kass?,Is Amy Kass the spouse of Leon Kass?,What is a notable profession or role associated with Leon Kass?,Who is the spouse of Amy A. Kass?,What is the profession of Leon Kass's spouse?,Physician,Which university did Leon Kass's spouse attend for their medical degree?,University of Chicago,In which city is the university located where Leon Kass's spouse obtained their medical degree?,Chicago,In which state is the city located where the university is situated that Leon Kass's spouse attended for their medical degree?,Illinois,In which country is the state located where the city is situated that contains the university Leon Kass's spouse attended for their medical degree?,United States
human_scientist,Leonīds Ribickis,occupation,scientist,scientist,What is the occupation of Leonīds Ribickis?,Engineer,0.0,"['scientist', 'Engineer', 'Doctor', 'Teacher']",What profession does Leonīds Ribickis have?,A. scientist  B. Engineer  C. Teacher  D. Doctor,A,Is Leonīds Ribickis's occupation a scientist?,Is Leonīds Ribickis's occupation an Engineer?,What is a notable achievement of Leonīds Ribickis?,Who is a scientist by occupation?,What is the primary field of work for the occupation of Leonīds Ribickis?,Electrical Engineering,Which university is associated with the primary field of work of Leonīds Ribickis?,Riga Technical University,In which city is the university located that is associated with the primary field of work of Leonīds Ribickis?,Riga,In which country is the city located where the university associated with the primary field of work of Leonīds Ribickis is situated?,Latvia,What is the official language of the country where the city is located that contains the university associated with the primary field of work of Leonīds Ribickis?,Latvian
human_scientist,Pavel Kroupa,field of work,astrophysics,astrophysics,What is the field of work of Pavel Kroupa?,Astronomy,0.0,"['astrophysics', 'Astronomy', 'biology', 'chemistry']",In which field does Pavel Kroupa work?,A. chemistry  B. Astronomy  C. astrophysics  D. biology,C,Is Pavel Kroupa's field of work astrophysics?,Is Pavel Kroupa's field of work Astronomy?,What is a notable theory or concept associated with Pavel Kroupa?,Who works in the field of astrophysics?,Who is a notable collaborator in the field of work of Pavel Kroupa?,Gerhard Hensler,Which university is associated with a notable collaborator in the field of work of Pavel Kroupa?,University of Vienna,In which country is the university located that is associated with a notable collaborator in the field of work of Pavel Kroupa?,Austria,What is the capital city of the country where the university is located that is associated with a notable collaborator in the field of work of Pavel Kroupa?,Vienna,Which river flows through the capital city of the country where the university is located that is associated with a notable collaborator in the field of work of Pavel Kroupa?,Danube
