subjectLabel,relation,objectLabel
Kiratto Pri Chan,original language of film or TV show,Japanese
Macross Delta the Movie: Passionate Walküre,composer,Saeko Suzuki
Kiratto Pri Chan,followed by,Pretty All Friends Selection
Kiratto Pri Chan,developer,Syn Sophia
Kiratto Pri Chan,publisher,T-ARTS
Macross Delta the Movie: Passionate Walküre,original language of film or TV show,Japanese
Kiratto Pri Chan,production company,Tatsunoko Production
Digimon Adventure Tri. 5,country of origin,Japan
Macross Delta the Movie: Passionate Walküre,production company,Satelight
Macross Delta the Movie: Passionate Walküre,voice actor,Nozomi Nishida
Kiratto Pri Chan,director,Hiroshi Ikehata
Kiratto Pri Chan,country of origin,Japan
Macross Delta the Movie: Passionate Walküre,voice actor,Nao Tōyama
Macross Delta the Movie: Passionate Walküre,voice actor,Kiyono Yasuno
Macross Delta the Movie: Passionate Walküre,voice actor,Ami Koshimizu
Macross Delta the Movie: Passionate Walküre,director,Shōji Kawamori
Macross Delta the Movie: Passionate Walküre,language of work or name,Japanese
Macross Delta the Movie: Passionate Walküre,voice actor,Yuma Uchida
Macross Delta the Movie: Passionate Walküre,form of creative work,feature film
Macross Delta the Movie: Passionate Walküre,composer,Mina Kubota
Macross Delta the Movie: Passionate Walküre,screenwriter,Shōji Kawamori
Macross Delta the Movie: Passionate Walküre,voice actor,Minori Suzuki
Macross Delta the Movie: Passionate Walküre,voice actor,Asami Seto
Digimon Adventure Tri. 5,distributed by,Microsoft Store
Digimon Adventure Tri. 5,distribution format,video on demand
Digimon Adventure Tri. 5,original language of film or TV show,Japanese
Macross Delta the Movie: Passionate Walküre,based on,Macross Delta
Kiratto Pri Chan,language of work or name,Japanese
Digimon Adventure Tri. 5,distributed by,iTunes
Digimon Adventure Tri. 5,distributed by,Steam
Digimon Adventure Tri. 5,distributed by,Fandango at Home
Digimon Adventure Tri. 5,part of the series,Digimon Adventure tri.
Digimon Adventure Tri. 3,country of origin,Japan
Digimon Adventure Tri. 3,distributed by,iTunes
Macross Delta the Movie: Passionate Walküre,country of origin,Japan
Digimon Adventure Tri. 5,follows,Digimon Adventure Tri. 4
Macross Delta the Movie: Passionate Walküre,genre,mecha
Digimon Adventure Tri. 5,followed by,Digimon Adventure Tri. 6
Digimon Adventure Tri. 3,original language of film or TV show,Japanese
Digimon Adventure Tri. 3,part of the series,Digimon Adventure tri.
Digimon Adventure Tri. 3,distributed by,Microsoft Store
Digimon Adventure Tri. 3,distributed by,Fandango at Home
Digimon Adventure Tri. 3,director,Keitarō Motonaga
Digimon Adventure Tri. 3,distributed by,Steam
Digimon Adventure Tri. 3,distribution format,video on demand
Digimon Adventure Tri. 3,follows,Digimon Adventure Tri. 2
Digimon Adventure Tri. 3,followed by,Digimon Adventure Tri. 4
Keifuku-san,country of origin,Japan
Double Decker! Doug & Kirill,country of origin,Japan
Digimon Adventure Tri. 6,original language of film or TV show,Japanese
Double Decker! Doug & Kirill,original language of film or TV show,Japanese
Double Decker! Doug & Kirill,character designer,Masakazu Katsura
Keifuku-san,original language of film or TV show,Japanese
Double Decker! Doug & Kirill,distributed by,Crunchyroll
Digimon Adventure Tri. 6,follows,Digimon Adventure Tri. 5
Digimon Adventure Tri. 6,part of the series,Digimon Adventure tri.
Keifuku-san,original broadcaster,Tokyo Metropolitan Television
Digimon Adventure Tri. 6,distributed by,iTunes
