topic,subject,relation,object,question,output_gemma_1.1_2b_it,eval_gemma_1.1_2b_it,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
business_industry,television,practiced by,announcer,What was television practiced by?,Television was practiced by humans for entertainment and information dissemination,0.0,"['announcer', 'Television was practiced by humans for entertainment and information dissemination', 'actor', 'director']",Who practiced television?,Was television practiced by an announcer?,Was television practiced by humans for entertainment and information dissemination?,What is a common role associated with television?,What did the announcer practice?,A. announcer  B. Television was practiced by humans for entertainment and information dissemination  C. actor  D. director,A,What is the profession of the person who practiced television?,broadcasting,What is a major network associated with the profession of the person who practiced television?,NBC,What is a popular show aired on the major network associated with the profession of the person who practiced television?,Saturday Night Live,Who is a famous host of the popular show aired on the major network associated with the profession of the person who practiced television?,Lorne Michaels,Which country is the famous host of the popular show aired on the major network associated with the profession of the person who practiced television originally from?,Canada
business_industry,biotechnology,practiced by,biotechnologist,What was biotechnology practiced by?,"Biotechnology was practiced by researchers in various fields, including medicine, agriculture, and",0.0,"['biotechnologist', 'Biotechnology was practiced by researchers in various fields, including medicine, agriculture, and', 'scientist', 'engineer']",Who practices biotechnology?,Is biotechnology practiced by biotechnologists?,"Is biotechnology practiced by researchers in various fields, including medicine, agriculture, and?",What is a common application of biotechnology?,Who practices biotechnologist?,"A. Biotechnology was practiced by researchers in various fields, including medicine, agriculture, and  B. biotechnologist  C. engineer  D. scientist",B,What is the primary field of study of the biotechnologist who practiced biotechnology?,Biology,Which university is known for having a strong program in the primary field of study of the biotechnologist who practiced biotechnology?,Harvard University,In which city is the university located that is known for having a strong program in the primary field of study of the biotechnologist who practiced biotechnology?,Cambridge,In which state is the city located where the university is situated that is known for having a strong program in the primary field of study of the biotechnologist who practiced biotechnology?,Massachusetts,In which country is the state located where the city is situated that contains the university known for having a strong program in the primary field of study of the biotechnologist who practiced biotechnology?,United States
business_industry,technology,practiced by,technologist,What was technology practiced by?,"Technology was practiced by various groups of people, including engineers, scientists, inventors,",0.0,"['technologist', 'Technology was practiced by various groups of people, including engineers, scientists, inventors,', 'engineer', 'scientist']",Who practiced technology?,Was technology practiced by a technologist?,"Was technology practiced by various groups of people, including engineers, scientists, inventors?",What is a common tool used in technology?,What did a technologist practice?,"A. technologist  B. Technology was practiced by various groups of people, including engineers, scientists, inventors,  C. engineer  D. scientist",A,What is the field of study of the technologist who practiced technology?,Information Technology,What is a major company in the field of study of the technologist who practiced technology?,Microsoft,Who is the founder of a major company in the field of study of the technologist who practiced technology?,Bill Gates,What is the name of the philanthropic foundation established by the founder of a major company in the field of study of the technologist who practiced technology?,Bill & Melinda Gates Foundation,In which year was the philanthropic foundation established by the founder of a major company in the field of study of the technologist who practiced technology founded?,2000
business_industry,technology,is the study of,technique,What does technology be the study of?,Technology is the study of human-made systems and processes,0.0,"['technique', 'Technology is the study of human-made systems and processes', 'science', 'innovation']",What is technology the study of?,Is technology the study of technique?,Is technology the study of human-made systems and processes?,What is a common application of technology in modern society?,What is the study of technique?,A. innovation  B. technique  C. science  D. Technology is the study of human-made systems and processes,B,What is an example of a technique that technology is the study of?,Programming,What is a popular language used in the example of a technique that technology is the study of?,Python,Who created the popular language used in the example of a technique that technology is the study of?,Guido van Rossum,Which company did the creator of the popular language used in the example of a technique that technology is the study of work for?,Google,In which year did the creator of the popular language used in the example of a technique that technology is the study of start working for the company?,2005
business_industry,technology,uses,technique,What does technology use?,"Technology uses data, information, and communication systems to process, store, and transmit",0.0,"['technique', 'Technology uses data, information, and communication systems to process, store, and transmit', 'method', 'procedure']",What is utilized by technology?,Does technology use technique?,"Does technology use data, information, and communication systems to process, store, and transmit?",What is a common application of technology in modern society?,What uses technique?,"A. Technology uses data, information, and communication systems to process, store, and transmit  B. method  C. procedure  D. technique",D,What is an example of a technique that technology uses?,Algorithm,Who developed the example of a technique that technology uses?,Ada Lovelace,What is the nationality of the person who developed the example of a technique that technology uses?,British,In which century did the person who developed the example of a technique that technology uses live?,19th century,What is the name of the mathematical concept that the person who developed the example of a technique that technology uses is associated with?,Analytical Engine
business_industry,technology,has characteristic,technological singularity,What does technology have characteristic?,Technology has a characteristic of facilitating rapid information exchange and communication,0.0,"['technological singularity', 'Technology has a characteristic of facilitating rapid information exchange and communication', 'automation', 'digital transformation']",What characteristic does technology possess?,Does technology have the characteristic of technological singularity?,Does technology have the characteristic of facilitating rapid information exchange and communication?,What is a common use of technology in modern society?,What has the characteristic of technological singularity?,A. technological singularity  B. automation  C. digital transformation  D. Technology has a characteristic of facilitating rapid information exchange and communication,A,Who proposed the concept that technology has the characteristic of technological singularity?,John von Neumann,Which field of study was the person who proposed the concept that technology has the characteristic of technological singularity associated with?,Mathematics,Which university did the person associated with mathematics who proposed the concept that technology has the characteristic of technological singularity work at?,Princeton University,In which city is the university located where the person associated with mathematics who proposed the concept that technology has the characteristic of technological singularity worked?,Princeton,In which state is the city located where the university is situated that the person associated with mathematics who proposed the concept that technology has the characteristic of technological singularity worked?,New Jersey
business_industry,financial audit,practiced by,statutory auditor,What was financial audit practiced by?,Financial audit was practiced by accountants and auditors,0.0,"['statutory auditor', 'Financial audit was practiced by accountants and auditors', 'internal auditor', 'external consultant']",Who conducts a financial audit?,Is a financial audit practiced by a statutory auditor?,Is a financial audit practiced by accountants and auditors?,What is a common requirement for a financial audit?,What does a statutory auditor practice?,A. internal auditor  B. statutory auditor  C. Financial audit was practiced by accountants and auditors  D. external consultant,B,What is the primary responsibility of the statutory auditor who practiced financial audit?,To provide an independent opinion on the financial statements of an organization,Which organization sets the standards for the primary responsibility of the statutory auditor who practiced financial audit?,International Auditing and Assurance Standards Board (IAASB),In which country is the organization located that sets the standards for the primary responsibility of the statutory auditor who practiced financial audit?,United States,What is the parent organization of the organization that sets the standards for the primary responsibility of the statutory auditor who practiced financial audit?,International Federation of Accountants (IFAC),In which year was the parent organization of the organization that sets the standards for the primary responsibility of the statutory auditor who practiced financial audit established?,1977
business_industry,mass media,practiced by,media profession,What was mass media practiced by?,"Mass media was practiced by various groups and institutions, including governments, corporations, and",0.0,"['media profession', 'Mass media was practiced by various groups and institutions, including governments, corporations, and', 'journalists', 'broadcasting companies']",Who practiced mass media?,Was mass media practiced by media profession?,"Was mass media practiced by various groups and institutions, including governments, corporations, and?",What is a common form of mass media?,What profession practiced mass media?,"A. Mass media was practiced by various groups and institutions, including governments, corporations, and  B. broadcasting companies  C. media profession  D. journalists",C,What is a notable example of a media profession that mass media was practiced by?,Journalism,Who is a famous person in the notable example of a media profession that mass media was practiced by?,Walter Cronkite,Which network did the famous person in the notable example of a media profession that mass media was practiced by work for?,CBS,What is a well-known program on the network that the famous person in the notable example of a media profession that mass media was practiced by worked for?,CBS Evening News,Who was a notable anchor of the well-known program on the network that the famous person in the notable example of a media profession that mass media was practiced by worked for?,Dan Rather
business_industry,dairy industry,field of work,dairying,What is the field of work of dairy industry?,"The field of work of the dairy industry involves the production, processing, and distribution",0.0,"['dairying', 'The field of work of the dairy industry involves the production, processing, and distribution', 'agriculture', 'food production']",In which field does the dairy industry operate?,Is the field of work of the dairy industry dairying?,"Is the field of work of the dairy industry the production, processing, and distribution?",What type of products are typically produced by the dairy industry?,Which industry works in the field of dairying?,"A. dairying  B. agriculture  C. The field of work of the dairy industry involves the production, processing, and distribution  D. food production",A,What is a common product produced in the field of work of the dairy industry?,Milk,What is a popular beverage made from the common product produced in the field of work of the dairy industry?,Chocolate milk,Which company is known for producing a popular beverage made from the common product produced in the field of work of the dairy industry?,Nesquik,In which country is the company known for producing a popular beverage made from the common product produced in the field of work of the dairy industry headquartered?,Switzerland,What is the capital city of the country where the company known for producing a popular beverage made from the common product produced in the field of work of the dairy industry is headquartered?,Bern
business_industry,land transport,uses,land vehicle,What does land transport use?,"Land transport uses roads, railways, and waterways to move goods and people",0.0,"['land vehicle', 'Land transport uses roads, railways, and waterways to move goods and people', 'aircraft', 'watercraft']",What is utilized by land transport?,Does land transport use land vehicle?,"Does land transport use roads, railways, and waterways to move goods and people?",What is a common infrastructure used by land transport?,What uses land vehicle?,"A. Land transport uses roads, railways, and waterways to move goods and people  B. aircraft  C. watercraft  D. land vehicle",D,What is a common type of land vehicle that land transport uses?,car,What is a popular brand of the common type of land vehicle that land transport uses?,Toyota,In which country is the headquarters of the popular brand of the common type of land vehicle that land transport uses located?,Japan,What is the capital city of the country where the headquarters of the popular brand of the common type of land vehicle that land transport uses is located?,Tokyo,What is a famous landmark in the capital city of the country where the headquarters of the popular brand of the common type of land vehicle that land transport uses is located?,Tokyo Tower
