topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3
geography_volcano,Antofalla,continent,Americas,Americas,What is the continent of Antofalla?,"Antofalla is not a continent, it's a town in Argentina",0.0
geography_volcano,Avachinsky,described by source,Brockhaus and Efron Encyclopedic Dictionary,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Avachinsky?,Volcano,0.0
geography_volcano,Cerro Macá,continent,Americas,Americas,What is the continent of Cerro Macá?,South America,0.0
geography_volcano,Mount Kirishima,highest point,Mount Karakuni,Mount Karakuni,What is the highest point of Mount Kirishima?,Kurodake,0.0
geography_volcano,San Cristóbal Volcano,made from material,andesite,andesite,What is the made from material of San Cristóbal Volcano?,Basalt,0.0
geography_volcano,Tromen,continent,Americas,Americas,What is the continent of Tromen?,Tromen is not a recognized continent. It's a fictional location,0.0
geography_volcano,Momotombo,described by source,Brockhaus and Efron Encyclopedic Dictionary,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Momotombo?,Volcano,0.0
geography_volcano,Klyuchevskaya Sopka,volcano observatory,Institute of Volcanology and Seismology,Institute of Volcanology and Seismology,What is the volcano observatory of Klyuchevskaya Sopka?,Observatory of Klyuchevskaya Sopka is a vol,0.0
geography_volcano,Golovnin,located in the administrative territorial entity,Yuzhno-Kurilsky District,Yuzhno-Kurilsky District,What is the located in the administrative territorial entity of Golovnin?,Krasnoyarsk,0.0
geography_volcano,Volcán Tolimán,continent,Americas,Americas,What is the continent of Volcán Tolimán?,Central America,0.0
geography_volcano,Mount Sanbe,located in protected area,Daisen-Oki National Park,Daisen-Oki National Park,What is the located in protected area of Mount Sanbe?,Hot Springs,0.0
geography_volcano,Volcán de Agua,volcano observatory,"Instituto Nacional de Sismología, Vulcanología, Meteorología e Hidrología","Instituto Nacional de Sismología, Vulcanología, Meteorología e Hidrología",What is the volcano observatory of Volcán de Agua?,Monitoring station,0.0
geography_volcano,Tecuamburro,continent,Americas,Americas,What is the continent of Tecuamburro?,"Tecuamburro is not a continent, it's a vol",0.0
geography_volcano,Galeras,located in the administrative territorial entity,Nariño Department,Nariño Department,What is the located in the administrative territorial entity of Galeras?,Volcano,0.0
geography_volcano,Mauna Ulu,located in/on physical feature,Hawaii,Hawaii,What is the located in/on physical feature of Mauna Ulu?,Lava flow,0.0
geography_volcano,Ankaratra,made from material,trachyte,trachyte,What is the made from material of Ankaratra?,Basalt,0.0
