topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
places_country,Eritrea,located in/on physical feature,East Africa,East Africa,What is the located in/on physical feature of Eritrea?,Red Sea,0.0,"['East Africa', 'Red Sea', 'West Africa', 'North Africa']",Where is Eritrea situated geographically?,A. West Africa  B. Red Sea  C. North Africa  D. East Africa,D,Is Eritrea located in East Africa?,Is Eritrea located in the Red Sea?,What is the capital city of Eritrea?,Which country is located in East Africa?,What is the name of the sea that Eritrea is located on?,Red Sea,Which major city is located on the coast of the sea that Eritrea is located on?,Jeddah,In which country is the major city located that is on the coast of the sea that Eritrea is located on?,Saudi Arabia,What is the official language of the country where the major city is located that is on the coast of the sea that Eritrea is located on?,Arabic,What is the predominant religion in the country where the major city is located that is on the coast of the sea that Eritrea is located on?,Islam
places_country,Sri Lanka,head of government,Ranil Wickremesinghe,Ranil Wickremesinghe,Who is the head of government of Sri Lanka?,"President Gotabaya Rajapaksa (Executive President, not head of",0.0,"['Ranil Wickremesinghe', 'President Gotabaya Rajapaksa', 'Mahinda Rajapaksa', 'Maithripala Sirisena']",Who serves as the head of government in Sri Lanka?,"A. Maithripala Sirisena  B. Mahinda Rajapaksa  C. Ranil Wickremesinghe  D. President Gotabaya Rajapaksa (Executive President, not head of",C,Is Ranil Wickremesinghe the head of government of Sri Lanka?,Is President Gotabaya Rajapaksa the head of government of Sri Lanka?,What is the capital city of Sri Lanka?,Who is Ranil Wickremesinghe the head of government of?,Who is the spouse of the head of government of Sri Lanka?,Maithree Wickremesinghe,Which university did the spouse of the head of government of Sri Lanka attend for their undergraduate studies?,University of Colombo,In which city is the university that the spouse of the head of government of Sri Lanka attended located?,Colombo,In which province is the city located where the university that the spouse of the head of government of Sri Lanka attended is situated?,Western Province,In which country is the province located where the city is situated that contains the university the spouse of the head of government of Sri Lanka attended?,Sri Lanka
places_country,Slovenia,history of topic,history of Slovenia,history of Slovenia,What is the history of topic of Slovenia?,History (of Slovenia),0.0,"['history of Slovenia', 'History (of Slovenia)', 'Slovenian culture', 'Geography of Slovenia']",What is the historical background of Slovenia?,A. History (of Slovenia)  B. Geography of Slovenia  C. Slovenian culture  D. history of Slovenia,D,Is the history of topic of Slovenia the history of Slovenia?,Is the history of topic of Slovenia History (of Slovenia)?,What is the capital city of Slovenia?,What country has the history of Slovenia as its history of topic?,Who was the first president in the history of Slovenia?,Milan Kučan,In which year did the first president in the history of Slovenia take office?,1991,Which significant event in the history of Slovenia occurred in the same year the first president took office?,Slovenian Independence,From which country did Slovenia gain independence in the year the first president took office?,Yugoslavia,What was the capital of the country from which Slovenia gained independence?,Belgrade
places_country,Algeria,anthem,Kassaman,Kassaman,What does Algeria anthem?,"""Proudly, 'Qassam Allah, Al-Ham",0.0,"['Kassaman', ""Proudly, 'Qassam Allah, Al-Ham"", 'Algeria, My Beloved', 'The Land of the Free']",What is the anthem of Algeria?,"A. ""Proudly, 'Qassam Allah, Al-Ham  B. Algeria, My Beloved  C. Kassaman  D. The Land of the Free",C,Is Kassaman the anthem of Algeria?,"Is Proudly, 'Qassam Allah, Al-Ham the anthem of Algeria?",What is the capital city of Algeria?,Which country's anthem is Kassaman?,Who composed the anthem of Algeria?,Mohamed Fawzi,In which country was the composer of the anthem of Algeria born?,Egypt,What is the capital city of the country where the composer of the anthem of Algeria was born?,Cairo,Which river flows through the capital city of the country where the composer of the anthem of Algeria was born?,Nile,Into which sea does the river that flows through the capital city of the country where the composer of the anthem of Algeria was born empty?,Mediterranean Sea
places_country,Sweden,studied in,Scandinavian studies,Scandinavian studies,What was Sweden studied in?,History (or Swedish History),0.0,"['Scandinavian studies', 'History', 'Political Science', 'Economics']",In what field did Sweden conduct its studies?,A. History (or Swedish History)  B. Political Science  C. Economics  D. Scandinavian studies,D,Was Sweden studied in Scandinavian studies?,Was Sweden studied in History?,What is the capital city of Sweden?,Who studied in Scandinavian studies?,Who is a famous person that studied in Sweden?,Greta Thunberg,What is the name of the school where the famous person who studied in Sweden attended?,Franska Skolan,In which city is the school located where the famous person who studied in Sweden attended?,Stockholm,What is the population of the city where the school is located that the famous person who studied in Sweden attended?,"Approximately 975,000",What is the name of the country where the city is located that contains the school attended by the famous person who studied in Sweden?,Sweden
places_country,East Timor,head of state,José Ramos-Horta,José Ramos-Horta,Who is the head of state of East Timor?,President Francisco Guterres (Lú-Olo),0.0,"['José Ramos-Horta', 'President Francisco Guterres (Lú-Olo)', 'Xanana Gusmão', 'Taur Matan Ruak']",Who serves as the head of state for East Timor?,A. President Francisco Guterres (Lú-Olo)  B. Taur Matan Ruak  C. Xanana Gusmão  D. José Ramos-Horta,D,Is José Ramos-Horta the head of state of East Timor?,Is President Francisco Guterres (Lú-Olo) the head of state of East Timor?,What is the capital city of East Timor?,Which country has José Ramos-Horta as its head of state?,Who is the spouse of the head of state of East Timor?,Isabel da Costa Ferreira,Which university did the spouse of the head of state of East Timor attend for their undergraduate studies?,University of Lisbon,In which city is the university that the spouse of the head of state of East Timor attended located?,Lisbon,In which country is the city located where the university that the spouse of the head of state of East Timor attended is situated?,Portugal,What is the official language of the country where the city is located that contains the university the spouse of the head of state of East Timor attended?,Portuguese
places_country,Ethiopia,located in/on physical feature,East Africa,East Africa,What is the located in/on physical feature of Ethiopia?,Rift Valley,0.0,"['East Africa', 'Rift Valley', 'West Africa', 'North Africa']",Where is Ethiopia situated geographically?,A. West Africa  B. Rift Valley  C. East Africa  D. North Africa,C,Is Ethiopia located in East Africa?,Is Ethiopia located in the Rift Valley?,What is the capital city of Ethiopia?,Which country is located in East Africa?,Which river is Ethiopia located on?,Blue Nile,Which major dam is located on the river that Ethiopia is located on?,Grand Ethiopian Renaissance Dam,In which region of Ethiopia is the major dam located on the river that Ethiopia is located on?,Benishangul-Gumuz,What is the capital city of the region where the major dam on the river that Ethiopia is located on is situated?,Asosa,What is the population of the capital city of the region where the major dam on the river that Ethiopia is located on is situated?,"20,226"
places_country,Italy,head of government,Giorgia Meloni,Giorgia Meloni,Who is the head of government of Italy?,Draghi (as of my last update),0.0,"['Giorgia Meloni', 'Draghi', 'Matteo Renzi', 'Giuseppe Conte']",Who serves as the head of government in Italy?,A. Draghi (as of my last update)  B. Giuseppe Conte  C. Giorgia Meloni  D. Matteo Renzi,C,Is Giorgia Meloni the head of government of Italy?,Is Draghi the head of government of Italy?,What is the capital city of Italy?,Of which country is Giorgia Meloni the head of government?,Who is the spouse of the head of government of Italy?,Emanuela Mauro,What is the profession of the spouse of the head of government of Italy?,Architect,Which university did the spouse of the head of government of Italy attend?,Sapienza University of Rome,In which city is the university located that the spouse of the head of government of Italy attended?,Rome,In which country is the city located where the university that the spouse of the head of government of Italy attended is situated?,Italy
places_country,Belarus,railway traffic side,right,right,What is the railway traffic side of Belarus?,Eastward,0.0,"['right', 'Eastward', 'left', 'Westward']",On which side does railway traffic operate in Belarus?,A. right  B. left  C. Eastward  D. Westward,A,Is the railway traffic side of Belarus right?,Is the railway traffic side of Belarus Eastward?,What is the capital city of Belarus?,In which country is the railway traffic side right?,Which country has the same railway traffic side as Belarus?,Russia,What is the capital city of the country that has the same railway traffic side as Belarus?,Moscow,Which river flows through the capital city of the country that has the same railway traffic side as Belarus?,Moskva River,What is the length of the river that flows through the capital city of the country that has the same railway traffic side as Belarus?,502 km,Into which larger body of water does the river that flows through the capital city of the country with the same railway traffic side as Belarus eventually drain?,Oka River
places_country,Benin,head of government,Patrice Talon,Patrice Talon,Who is the head of government of Benin?,Prime Minister Lionel Zinsou (as of 2016),0.0,"['Patrice Talon', 'Prime Minister Lionel Zinsou (as of 2016)', 'Thomas Boni Yayi', 'Yayi Boni']",Who serves as the head of government in Benin?,A. Thomas Boni Yayi  B. Yayi Boni  C. Patrice Talon  D. Prime Minister Lionel Zinsou (as of 2016),C,Is Patrice Talon the head of government of Benin?,Is Prime Minister Lionel Zinsou (as of 2016) the head of government of Benin?,What is the official language spoken in Benin?,Who is the head of government that Patrice Talon leads?,Who is the spouse of the head of government of Benin?,Claudine Talon,Which university did the spouse of the head of government of Benin attend?,University of Abomey-Calavi,In which city is the university that the spouse of the head of government of Benin attended located?,Abomey-Calavi,In which department is the city located where the university that the spouse of the head of government of Benin attended is situated?,Atlantique Department,In which country is the department located where the city is situated that contains the university the spouse of the head of government of Benin attended?,Benin
