topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct
entertainment_music_genre,dubstep,influenced by,dub music,What was dubstep influenced by?,Jungle,0.0
entertainment_music_genre,passion,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of passion?,Bach,0.0
entertainment_music_genre,vocal music,has cause,singing,What does vocal music have cause?,Harmony,0.0
entertainment_music_genre,trap metal,influenced by,metal music,What was trap metal influenced by?,Hip-Hop,0.0
entertainment_music_genre,city pop,named after,city,What was city pop named after?,Yuppies,0.0
entertainment_music_genre,music of Germany,country,Germany,What is the country of music of Germany?,Oompah,0.0
entertainment_music_genre,Christian hymn,studied in,hymnology,What was Christian hymn studied in?,Lutheran,0.0
entertainment_music_genre,clausula,said to be the same as,cadence,What did clausula say to be the same as?,"""Nullum""",0.0
entertainment_music_genre,J-pop,named after,J-Wave,What was J-pop named after?,Japanese,0.0
entertainment_music_genre,plainsong,described by source,Encyclopædia Britannica 11th edition,What is the described by source of plainsong?,Gregorian,0.0
entertainment_music_genre,music of Africa,has part(s),music of North Africa,What does music of Africa have part(s )?,Rhythms,0.0
entertainment_music_genre,military music,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of military music?,John Philip Sousa,0.0
entertainment_music_genre,folk punk,country of origin,United Kingdom,What is the country of origin of folk punk?,USA,0.0
entertainment_music_genre,furniture music,significant person,Erik Satie,Who is the significant person of furniture music?,Brian Eno,0.0
entertainment_music_genre,vocal music,practiced by,singer,What was vocal music practiced by?,Monks,0.0
entertainment_music_genre,choral music,practiced by,choir director,What was choral music practiced by?,Monks,0.0
entertainment_music_genre,ballata,movement,ars nova,What is the movement of ballata?,Largo,0.0
entertainment_music_genre,intermezzo,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of intermezzo?,Debussy,0.0
entertainment_music_genre,music of Japan,location,Japan,What is the location of music of Japan?,Tokyo,0.0
entertainment_music_genre,canzona,said to be the same as,canzone,What did canzona say to be the same as?,"""Harmony""",0.0
entertainment_music_genre,riot grrrl,described by source,Girl Culture: An Encyclopedia,What is the described by source of riot grrrl?,Kathleen Hanna,0.0
entertainment_music_genre,cantata,language of work or name,Italian,What is the language of work or name of cantata?,German,0.0
entertainment_music_genre,highlife,location,Greater Accra Region,What is the location of highlife?,Ghana,0.0
entertainment_music_genre,zouk,country of origin,French West Indies,What is the country of origin of zouk?,Martinique,0.0
entertainment_music_genre,Christian hymn,practiced by,hymnwriter,What was Christian hymn practiced by?,Lutherans,0.0
entertainment_music_genre,jota,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of jota?,Wolverhampton Wanderers,0.0
entertainment_music_genre,Celtic rock,country of origin,Celtic nations,What is the country of origin of Celtic rock?,Wales,0.0
entertainment_music_genre,bolero,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of bolero?,Ravel,0.0
entertainment_music_genre,romance,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of romance?,Cupid,0.0
entertainment_music_genre,light music,said to be the same as,salon music,What did light music say to be the same as?,Mood,0.0
entertainment_music_genre,music of Azerbaijan,country,Azerbaijan,What is the country of music of Azerbaijan?,Mugham,0.0
entertainment_music_genre,estampie,form of creative work,poem,What is the form of creative work of estampie?,Song,0.0
entertainment_music_genre,divertimento,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of divertimento?,Wolfgang Amadeus Mozart,0.0
entertainment_music_genre,écossaise,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of écossaise?,Mozart,0.0
entertainment_music_genre,Christmas music,main subject,Christmas,When is the main subject of Christmas music?,Jesus,0.0
entertainment_music_genre,hymn,studied in,hymnology,What was hymn studied in?,Bible,0.0
entertainment_music_genre,programme music,described by source,Encyclopædia Britannica 11th edition,What is the described by source of programme music?,Literature,0.0
entertainment_music_genre,music of Japan,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of music of Japan?,Enka,0.0
entertainment_music_genre,swing music,movement,neoclassicism,What is the movement of swing music?,Swing,0.0
entertainment_music_genre,Carnatic music,country of origin,Karnataka,What is the country of origin of Carnatic music?,India,0.0
entertainment_music_genre,drone metal,influenced by,drone music,What was drone metal influenced by?,Noise,0.0
entertainment_music_genre,march,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of march?,César Chavez,0.0
entertainment_music_genre,Gregorian chant,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Gregorian chant?,Pope Gregory,0.0
entertainment_music_genre,Latin pop,has part(s),Latin ballad,What does Latin pop have part(s )?,Rhythm,0.0
entertainment_music_genre,carol,described by source,Encyclopædia Britannica 11th edition,What is the described by source of carol?,Alfred,0.0
entertainment_music_genre,sertanejo,named after,Sertão,What was sertanejo named after?,Sertanejo,0.0
entertainment_music_genre,country music,practiced by,country musician,What was country music practiced by?,Whites,0.0
entertainment_music_genre,dirge,described by source,Encyclopædia Britannica 11th edition,What is the described by source of dirge?,Hades,0.0
entertainment_music_genre,electronic body music,named by,Ralf Hütter,Who was electronic body music named by?,Kraftwerk,0.0
entertainment_music_genre,stride piano,movement,Harlem Renaissance,What is the movement of stride piano?,Impressionism,0.0
entertainment_music_genre,pìobaireachd,described by source,Encyclopædia Britannica 11th edition,What is the described by source of pìobaireachd?,Ceòl Mòr,0.0
entertainment_music_genre,a cappella,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of a cappella?,Barry McGuire,0.0
entertainment_music_genre,reel,described by source,Encyclopædia Britannica 11th edition,What is the described by source of reel?,Film,0.0
entertainment_music_genre,jungle,country of origin,United Kingdom,What is the country of origin of jungle?,India,0.0
entertainment_music_genre,hymn,practiced by,hymnwriter,What was hymn practiced by?,Catholics,0.0
entertainment_music_genre,glam metal,follows,glam rock,What does glam metal follow?,Punk,0.0
