topic,subject,relation,object,question,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct
geography_volcano,Antofalla,continent,Americas,What is the continent of Antofalla?,"Antofalla is not a continent, it's a town in Argentina",0.0
geography_volcano,Avachinsky,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Avachinsky?,Volcano,0.0
geography_volcano,Cerro Macá,continent,Americas,What is the continent of Cerro Macá?,South America,0.0
geography_volcano,Mount Kirishima,highest point,Mount Karakuni,What is the highest point of Mount Kirishima?,Kurodake,0.0
geography_volcano,San Cristóbal Volcano,made from material,andesite,What is the made from material of San Cristóbal Volcano?,Basalt,0.0
geography_volcano,Tromen,continent,Americas,What is the continent of Tromen?,Tromen is not a recognized continent. It's a fictional location,0.0
geography_volcano,Momotombo,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Momotombo?,Volcano,0.0
geography_volcano,Klyuchevskaya Sopka,volcano observatory,Institute of Volcanology and Seismology,What is the volcano observatory of Klyuchevskaya Sopka?,Observatory of Klyuchevskaya Sopka is a vol,0.0
geography_volcano,Golovnin,located in the administrative territorial entity,Yuzhno-Kurilsky District,What is the located in the administrative territorial entity of Golovnin?,Krasnoyarsk,0.0
geography_volcano,Volcán Tolimán,continent,Americas,What is the continent of Volcán Tolimán?,Central America,0.0
geography_volcano,Mount Sanbe,located in protected area,Daisen-Oki National Park,What is the located in protected area of Mount Sanbe?,Hot Springs,0.0
geography_volcano,Volcán de Agua,volcano observatory,"Instituto Nacional de Sismología, Vulcanología, Meteorología e Hidrología",What is the volcano observatory of Volcán de Agua?,Monitoring station,0.0
geography_volcano,Tecuamburro,continent,Americas,What is the continent of Tecuamburro?,"Tecuamburro is not a continent, it's a vol",0.0
geography_volcano,Galeras,located in the administrative territorial entity,Nariño Department,What is the located in the administrative territorial entity of Galeras?,Volcano,0.0
geography_volcano,Mauna Ulu,located in/on physical feature,Hawaii,What is the located in/on physical feature of Mauna Ulu?,Lava flow,0.0
geography_volcano,Ankaratra,made from material,trachyte,What is the made from material of Ankaratra?,Basalt,0.0
geography_volcano,Mount Norikura,located in protected area,Chūbu-Sangaku National Park,What is the located in protected area of Mount Norikura?,Volcano,0.0
geography_volcano,Silay,made from material,andesite,What is the made from material of Silay?,Glass,0.0
geography_volcano,Gorely,mountain range,Eastern Range,What is the mountain range of Gorely?,"Gorely is a volcano, not a mountain range",0.0
geography_volcano,Santiago Island,country,Ecuador,What is the country of Santiago Island?,Cape Verde,0.0
geography_volcano,Akita-Komagatake,location,Akita Prefecture,What is the location of Akita-Komagatake?,Japan,0.0
geography_volcano,Taapaca,made from material,andesite,What is the made from material of Taapaca?,Wood,0.0
geography_volcano,Chaitén,made from material,rhyolite,What is the made from material of Chaitén?,Basaltic andesite,0.0
geography_volcano,Gorely,volcano observatory,Institute of Volcanology and Seismology,What is the volcano observatory of Gorely?,Gorely Observatory,0.0
geography_volcano,Atlasov Island,named after,Vladimir Atlasov,Who was Atlasov Island named after?,Kolchak,0.0
geography_volcano,Mount Haku,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Mount Haku?,Aspen tree,0.0
geography_volcano,Avachinsky,mountain range,Sredinny Range,Who is the mountain range of Avachinsky?,Kamchatka,0.0
geography_volcano,Sumaco,located in the administrative territorial entity,Napo Province,What is the located in the administrative territorial entity of Sumaco?,"Sumaco is a volcano, not an administrative territorial entity. It",0.0
geography_volcano,Mount Unzen,named after,onsen,What was Mount Unzen named after?,Shimabara,0.0
geography_volcano,Kelut,volcano observatory,Volcanological Survey of Indonesia,What is the volcano observatory of Kelut?,Kelut Volcano Observatory,0.0
geography_volcano,San José,continent,Americas,What is the continent of San José?,Central America,0.0
geography_volcano,Concepción,country,Nicaragua,What is the country of Concepción?,Chile,0.0
geography_volcano,Sotará,made from material,andesite,What is the made from material of Sotará?,Wood,0.0
geography_volcano,Mutnovsky,volcano observatory,Institute of Volcanology and Seismology,What is the volcano observatory of Mutnovsky?,Mutnovsky Volcano Observatory,0.0
geography_volcano,Akita-Komagatake,located in protected area,Towada-Hachimantai National Park,What is the located in protected area of Akita-Komagatake?,Volcano,0.0
geography_volcano,Mount Taftan,located in the administrative territorial entity,Sistan and Baluchestan Province,What is the located in the administrative territorial entity of Mount Taftan?,Iran,0.0
geography_volcano,Merelava,located in/on physical feature,Banks Islands,What is the located in/on physical feature of Merelava?,Swamp,0.0
geography_volcano,Lonquimay,located in the administrative territorial entity,Malleco Province,What is the located in the administrative territorial entity of Lonquimay?,Volcano,0.0
geography_volcano,Beerenberg,located in the administrative territorial entity,Jan Mayen,Who is the located in the administrative territorial entity of Beerenberg?,Pitcairn Island,0.0
geography_volcano,Izalco,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Izalco?,Volcano,0.0
geography_volcano,Koryaksky,mountain range,Sredinny Range,Who is the mountain range of Koryaksky?,Siberian,0.0
geography_volcano,Puracé,continent,Americas,What is the continent of Puracé?,"Puracé is not a continent, it's a volcano located",0.0
geography_volcano,Mocho-Choshuenco,continent,Americas,What is the continent of Mocho-Choshuenco?,Chile,0.0
geography_volcano,Öræfajökull,time period,Pleistocene,What is the time period of Öræfajökull?,Eruption cycles (variable),0.0
geography_volcano,Mount Kirishima,located in protected area,Kirishima-Kinkōwan National Park,What is the located in protected area of Mount Kirishima?,Ebino Plum Garden,0.0
geography_volcano,Alaid,located in/on physical feature,Atlasov Island,What is the located in/on physical feature of Alaid?,Volcano,0.0
geography_volcano,Momotombo,located in the administrative territorial entity,León Department,What is the located in the administrative territorial entity of Momotombo?,Nicaragua,0.0
geography_volcano,Cerro Macá,made from material,basalt,What is the made from material of Cerro Macá?,Granite,0.0
geography_volcano,Koryaksky,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Koryaksky?,Volcano,0.0
