topic,subject,relation,object,question,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct
technology_software,Ideco ICS,operating system,Linux,What is the operating system of Ideco ICS?,Ideco ICS does not specify an operating system. It's a hardware,0.0
technology_software,News Channel,language of work or name,Japanese,What is the language of work or name of News Channel?,"English (for work) and various (for news channels, depending on the region",0.0
technology_software,BIRD Internet Routing Daemon,copyright license,GNU General Public License,What is the copyright license of BIRD Internet Routing Daemon?,BSD,0.0
technology_software,Open 3D Engine,replaces,Amazon Lumberyard,What does Open 3D Engine replace?,Replaces proprietary game engines or custom solutions for game development,0.0
technology_software,Bun,programmed in,Zig,What was Bun programmed in?,Go,0.0
technology_software,TVer,country,Japan,What is the country of TVer?,Russia,0.0
technology_software,"Nothing, Forever",broadcast by,Twitch,"What was Nothing, Forever broadcast by?",BBC Radio 4 Extra,0.0
technology_software,Mailchimp,chief executive officer,Ben Chestnut,Who is the chief executive officer of Mailchimp?,Dan Kurzius,0.0
technology_software,Pixel Game Maker MV,distribution format,digital distribution,What is the distribution format of Pixel Game Maker MV?,.zip,0.0
technology_software,Ben and Ed,software engine,Unreal Engine 4,What is the software engine of Ben and Ed?,Unity,0.0
technology_software,Google Arts & Culture,used by,National Portrait Gallery,What was Google Arts & Culture used by?,"Museums, galleries, archives, and cultural institutions",0.0
technology_software,EiskaltDC++,GUI toolkit or framework,Qt,What is the GUI toolkit or framework of EiskaltDC++?,wxWidgets,0.0
technology_software,Cannon Brawl,has characteristic,indie game,What does Cannon Brawl have characteristic?,"Multiplayer, Tower Defense, Real-Time Strategy",0.0
technology_software,Nextcloud,founded by,Frank Karlitschek,Who was Nextcloud founded by?,"Frisch, Joseph and Dubois, Friedger",0.0
technology_software,Webtoon,industry,webcomic,What is the industry of Webtoon?,Entertainment,0.0
technology_software,Two Worlds II Castle Defense,game mode,single-player video game,What is the game mode of Two Worlds II Castle Defense?,Castle Defense,0.0
technology_software,Smugglers V,distribution format,digital distribution,What is the distribution format of Smugglers V?,PDF,0.0
technology_software,BioPerl,copyright license,Artistic License,What is the copyright license of BioPerl?,GPL,0.0
technology_software,Real World Racing,distributed by,Steam,What was Real World Racing distributed by?,Accolade (1994)  (Note: The game,0.0
technology_software,Juno,industry,information technology,What is the industry of Juno?,Space,0.0
technology_software,The Hat Man: Shadow Ward,distribution format,digital distribution,What is the distribution format of The Hat Man: Shadow Ward?,Digital (Steam),0.0
technology_software,Contraption Maker,has characteristic,indie game,What does Contraption Maker have characteristic?,"Puzzle-based, Physics-based, Sandbox, Construction",0.0
technology_software,Tower Wars,software engine,Torque,What is the software engine of Tower Wars?,Unity,0.0
technology_software,Deep Dungeons of Doom,developer,Bossa Studios,What is the developer of Deep Dungeons of Doom?,Cre Cre  (Note: Cre Cre is a game development studio based in,0.0
technology_software,stalonetray,named after,Stand-alone shell,What was stalonetray named after?,After a character from a book or movie,0.0
technology_software,Visual Components,country,Finland,What is the country of Visual Components?,Sweden,0.0
technology_software,Java Database Connectivity,platform,Java Virtual Machine,What is the platform of Java Database Connectivity?,JDBC,0.0
technology_software,Bun,influenced by,JavaScript,What was Bun influenced by?,"Pop Art, Dada, and Surrealism",0.0
technology_software,Battlezone 98 Redux,has characteristic,indie game,What does Battlezone 98 Redux have characteristic?,"3D, Tank Combat, Redux Version",0.0
technology_software,GameSpy,owned by,IGN,What was GameSpy owned by?,Glu Mobile (until its closure),0.0
technology_software,age,programmed in,Go,What was age programmed in?,Age is not programmed in anything. It's a natural concept related to,0.0
technology_software,Super Puzzle Platformer Deluxe,has characteristic,indie game,What does Super Puzzle Platformer Deluxe have characteristic?,"Puzzles, Platforming, Deluxe Edition",0.0
technology_software,Bird,stock exchange,OTC Markets Group,What is the stock exchange of Bird?,N/A (Bird is a private company),0.0
technology_software,Nintendo Switch Online,platform,Nintendo Switch,What is the platform of Nintendo Switch Online?,Online,0.0
technology_software,SentiOne,chief operating officer,Bartosz Baziński,Who is the chief operating officer of SentiOne?,I don't have real-time data. Please check the latest information online,0.0
technology_software,NIKO: Through The Dream,has characteristic,indie game,What does NIKO: Through The Dream have characteristic?,"Ambient, Experimental",0.0
technology_software,Hieroglyphika,platform,Microsoft Windows,What is the platform of Hieroglyphika?,Parchment,0.0
technology_software,Zen,developer,Yandex,What is the developer of Zen?,Thich Nhat Hanh,0.0
technology_software,Uber,owned by,Morgan Stanley,What was Uber owned by?,"Uber is a privately held company, not owned by another entity",0.0
technology_software,NetEase Cloud Music,owned by,NetEase,What was NetEase Cloud Music owned by?,Alibaba Group,0.0
technology_software,p0f,operating system,Linux,What is the operating system of p0f?,p0f doesn't have an operating system as it's a network,0.0
technology_software,The Marvellous Miss Take,genre,stealth game,What is the genre of The Marvellous Miss Take?,Comedy,0.0
technology_software,Wartile,has characteristic,indie game,What does Wartile have characteristic?,"Tactics, Turn-based, Miniatures",0.0
technology_software,Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay,distribution format,digital distribution,What is the distribution format of Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay?,"Digital (Download or Disc) - PC, Mac, PS3, Xbox",0.0
technology_software,News Channel,country,Japan,What is the country of News Channel?,"USA (for example, CNN, Fox News) or UK (for example,",0.0
technology_software,Google+,chief executive officer,Bradley Horowitz,Who is the chief executive officer of Google+?,Google+ does not have a CEO as it was shut down in 20,0.0
technology_software,FAAC,writable file format,Advanced Audio Coding,What is the writable file format of FAAC?,WAV,0.0
technology_software,Zen,copyright license,freeware,What is the copyright license of Zen?,MIT License,0.0
technology_software,KuGou,platform,iOS,What is the platform of KuGou?,Music,0.0
technology_software,Way of the Red,language of work or name,English,What is the language of work or name of Way of the Red?,Way of the Red (also known as Leng in some sources) is a,0.0
technology_software,Plotly,operating system,cross-platform,What is the operating system of Plotly?,"Plotly is a web-based graphing library, not an operating system",0.0
