topic,subject,relation,object,question,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct
event_sport,Olympic Games,follows,Ancient Olympic Games,What does Olympic Games follow?,Summer/Winter (depending on the event),0.0
event_sport,Olympic Games,sponsor,Visa Inc.,What does Olympic Games sponsor?,Sponsors provide financial support,0.0
event_sport,Berlin Marathon,located in the administrative territorial entity,Berlin,What is the located in the administrative territorial entity of Berlin Marathon?,Germany,0.0
event_sport,Australian Grand Prix,organizer,Fédération Internationale de l'Automobile,What is the organizer of Australian Grand Prix?,Formula 1 Australian Grand Prix Pty Ltd,0.0
event_sport,Olympic Games,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Olympic Games?,Pierre de Coubertin,0.0
event_sport,Dakar Rally,location,Saudi Arabia,What is the location of Dakar Rally?,Africa,0.0
event_sport,Australian Grand Prix,location,Albert Park Circuit,What is the location of Australian Grand Prix?,Melbourne,0.0
event_sport,Dakar Rally,country,Saudi Arabia,What is the country of Dakar Rally?,Senegal,0.0
event_sport,Copa Libertadores,winner,Sociedade Esportiva Palmeiras,What is the winner of Copa Libertadores?,Palmeiras (2021),0.0
event_sport,Highland games,country,United Kingdom,What is the country of Highland games?,Scotland,0.0
event_sport,Elfstedentocht,month of the year,January,When is the month of the year of Elfstedentocht?,"Elfstedentocht occurs in various months, depending on the ice conditions",0.0
event_sport,Pythian Games,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Pythian Games?,Apollo,0.0
event_sport,Billie Jean King Cup,director / manager,Katrina Adams,Who is the director / manager of Billie Jean King Cup?,The director of the Billie Jean King Cup is not specified at the moment,0.0
event_sport,Rugby World Cup,month of the year,September,When is the month of the year of Rugby World Cup?,October (usually),0.0
event_sport,Six Nations Championship,sponsor,Guinness,What does Six Nations Championship sponsor?,HSBC (bank),0.0
event_sport,World Baseball Classic,organizer,Major League Baseball,What is the organizer of World Baseball Classic?,World Baseball Classic (WBC) Organizing Committee,0.0
event_sport,Masters Tournament,location,Augusta National Golf Club,What is the location of Masters Tournament?,"Augusta, GA",0.0
event_sport,Rally Sweden,sport,motorsport,What is the sport of Rally Sweden?,Rally,0.0
event_sport,Rally Sweden,organizer,Fédération Internationale de l'Automobile,What is the organizer of Rally Sweden?,Swedish Autosport Federation (SAF),0.0
event_sport,Boston Marathon,sport,marathon,What is the sport of Boston Marathon?,Running,0.0
event_sport,Anarchy Rulz,sport,professional wrestling,What is the sport of Anarchy Rulz?,Anarchy Rulz is not a recognized sport,0.0
event_sport,Living Dangerously,sport,professional wrestling,What is the sport of Living Dangerously?,BASE Jumping,0.0
event_sport,Japan International Birdman Rally,country of origin,Japan,What is the country of origin of Japan International Birdman Rally?,New Zealand,0.0
event_sport,Japan International Birdman Rally,original broadcaster,Yomiuri Telecasting Corporation,What is the original broadcaster of Japan International Birdman Rally?,NHK (Japan Broadcasting Corporation),0.0
event_sport,Japan International Birdman Rally,sport,air racing,What is the sport of Japan International Birdman Rally?,Rally (or Competition),0.0
event_sport,Japan International Birdman Rally,organizer,Yomiuri Telecasting Corporation,What is the organizer of Japan International Birdman Rally?,RNZCUVS (Rotorua New Zealand Canoe Union Veter,0.0
event_sport,Japan International Birdman Rally,sponsor,Iwatani Corporation,What does Japan International Birdman Rally sponsor?,Red Bull,0.0
event_sport,Imatranajo,located in the administrative territorial entity,Imatra,What is the located in the administrative territorial entity of Imatranajo?,Finland,0.0
event_sport,International Four Days Marches Nijmegen,sport,hiking,What is the sport of International Four Days Marches Nijmegen?,Walking,0.0
event_sport,PGA Tour,organizer,Professional Golfers' Association of America,What is the organizer of PGA Tour?,PGA Tour (Professional Golfers' Association) organizes itself,0.0
event_sport,Invictus Games,participant,disabled veteran,What is the participant of Invictus Games?,Athlete,0.0
event_sport,Vendée Globe,sport,sailing,What is the sport of Vendée Globe?,Solo around-the-world yacht race,0.0
event_sport,Panathenaic Games,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Panathenaic Games?,Athena,0.0
event_sport,Vendée Globe,organizer,World Sailing,What is the organizer of Vendée Globe?,SMA (Organizing Authority),0.0
event_sport,ludi,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of ludi?,Gods (or deities),0.0
