topic,subject,relation,object,question,output_vicuna_7b_v1.5,eval_vicuna_7b_v1.5,multiple_choices,paraphrased_question,multiple_choice_with_letters,multiple_choice_labels,yes_question,no_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
event_sport,Olympic Games,sponsor,Visa Inc.,What does Olympic Games sponsor?,Olympic Games sponsorship is a marketing strategy where companies pay to associate their,0.0,"['Visa Inc.', 'Olympic Games sponsorship is a marketing strategy where companies pay to associate their', 'Coca-Cola', 'Samsung']",Who is the sponsor of the Olympic Games?,A. Olympic Games sponsorship is a marketing strategy where companies pay to associate their  B. Coca-Cola  C. Samsung  D. Visa Inc.,D,Does Visa Inc. sponsor the Olympic Games?,Is Olympic Games sponsorship a marketing strategy where companies pay to associate their the sponsor of the Olympic Games?,Where are the Olympic Games held every four years?,What event does Visa Inc. sponsor?,Which company is a major sponsor of the Olympic Games?,Coca-Cola,Who is the current CEO of the company that is a major sponsor of the Olympic Games?,James Quincey,Which university did the current CEO of the company that is a major sponsor of the Olympic Games attend?,University of Liverpool,In which city is the university located that the current CEO of the company sponsoring the Olympic Games attended?,Liverpool,In which country is the city located where the university attended by the current CEO of the company sponsoring the Olympic Games is situated?,United Kingdom
event_sport,Australian Grand Prix,organizer,Fédération Internationale de l'Automobile,What is the organizer of Australian Grand Prix?,The organizer of the Australian Grand Prix is the Australian Grand Prix Corporation,0.0,"[""Fédération Internationale de l'Automobile"", 'The organizer of the Australian Grand Prix is the Australian Grand Prix Corporation', 'Formula One Management', 'Australian Racing Group']",Who organizes the Australian Grand Prix?,A. Australian Racing Group  B. The organizer of the Australian Grand Prix is the Australian Grand Prix Corporation  C. Fédération Internationale de l'Automobile  D. Formula One Management,C,Is the organizer of the Australian Grand Prix the Fédération Internationale de l'Automobile?,Is the organizer of the Australian Grand Prix the Australian Grand Prix Corporation?,In which country is the Australian Grand Prix held?,What event is organized by the Fédération Internationale de l'Automobile?,Who is the president of the organization that organizes the Australian Grand Prix?,Andrew Westacott,Which university did the president of the organization that organizes the Australian Grand Prix attend?,University of Melbourne,In which city is the university located that the president of the organization that organizes the Australian Grand Prix attended?,Melbourne,In which state is the city located where the university that the president of the organization that organizes the Australian Grand Prix attended is situated?,Victoria,In which country is the state located where the city is situated that contains the university the president of the organization that organizes the Australian Grand Prix attended?,Australia
event_sport,Berlin Marathon,sport,athletics,What is the sport of Berlin Marathon?,The Berlin Marathon is a long-distance running event that takes place in Berlin,0.0,"['athletics', 'The Berlin Marathon is a long-distance running event that takes place in Berlin', 'cycling', 'swimming']",Which sport is associated with the Berlin Marathon?,A. The Berlin Marathon is a long-distance running event that takes place in Berlin  B. athletics  C. cycling  D. swimming,B,Is the sport of the Berlin Marathon athletics?,Is the sport of the Berlin Marathon a long-distance running event that takes place in Berlin?,In which city does the Berlin Marathon take place?,What marathon is associated with athletics?,Who is the current world record holder in the sport associated with the Berlin Marathon?,Eliud Kipchoge,Which country is the current world record holder in the sport associated with the Berlin Marathon from?,Kenya,What is the capital city of the country that the current world record holder in the sport associated with the Berlin Marathon is from?,Nairobi,Which river flows through the capital city of the country that the current world record holder in the sport associated with the Berlin Marathon is from?,Nairobi River,Into which larger body of water does the river that flows through the capital city of the country that the current world record holder in the sport associated with the Berlin Marathon is from eventually drain?,Indian Ocean
event_sport,Australian Grand Prix,sport,motorsport,What is the sport of Australian Grand Prix?,The sport of Australian Grand Prix is Formula One racing,0.0,"['motorsport', 'Formula One racing', 'cricket', 'rugby']",Which sport is associated with the Australian Grand Prix?,A. cricket  B. rugby  C. The sport of Australian Grand Prix is Formula One racing  D. motorsport,D,Is the sport of the Australian Grand Prix motorsport?,Is the sport of the Australian Grand Prix Formula One racing?,In which country is the Australian Grand Prix held?,Which event is associated with the sport motorsport?,Who won the Australian Grand Prix in 2021?,N/A (The 2021 Australian Grand Prix was canceled),Which team did the winner of the 2020 Australian Grand Prix drive for?,Mercedes,Who is the principal of the team that the winner of the 2020 Australian Grand Prix drove for?,Toto Wolff,Which country is the principal of the team that the winner of the 2020 Australian Grand Prix drove for from?,Austria,What is the capital city of the country that the principal of the team that the winner of the 2020 Australian Grand Prix drove for is from?,Vienna
event_sport,Berlin Marathon,sponsor,BMW,What does Berlin Marathon sponsor?,"Berlin Marathon is sponsored by various companies, including Adidas, SAP",0.0,"['BMW', 'Berlin Marathon is sponsored by various companies, including Adidas, SAP', 'Nike', 'Mercedes-Benz']",Who is the sponsor of the Berlin Marathon?,"A. Mercedes-Benz  B. Nike  C. Berlin Marathon is sponsored by various companies, including Adidas, SAP  D. BMW",D,Does the Berlin Marathon sponsor BMW?,"Does the Berlin Marathon sponsor Berlin Marathon is sponsored by various companies, including Adidas, SAP?",In which city is the Berlin Marathon held?,What event is sponsored by BMW?,What is the primary product of the sponsor of the Berlin Marathon?,Athletic apparel,Which company is known for producing athletic apparel and is the sponsor of the Berlin Marathon?,Adidas,In which country is the headquarters of the company that sponsors the Berlin Marathon located?,Germany,In which city in Germany is the headquarters of the company that sponsors the Berlin Marathon located?,Herzogenaurach,Which river flows through the city where the headquarters of the company that sponsors the Berlin Marathon is located?,Aurach
event_sport,Nemean Games,time period,classical antiquity,What is the time period of Nemean Games?,"The Nemean Games were held every four years in ancient Greece, starting from",0.0,"['classical antiquity', 'The Nemean Games were held every four years in ancient Greece, starting from', 'medieval period', 'modern era']",During which era were the Nemean Games held?,"A. medieval period  B. The Nemean Games were held every four years in ancient Greece, starting from  C. modern era  D. classical antiquity",D,Were the Nemean Games held during classical antiquity?,"Were the Nemean Games held every four years in ancient Greece, starting from?",What type of event were the Nemean Games?,Which games were held during classical antiquity?,Who was the ruler during the time period of the Nemean Games?,Philip II of Macedon,Who was the father of the ruler during the time period of the Nemean Games?,Amyntas III of Macedon,Who was the predecessor of the father of the ruler during the time period of the Nemean Games?,Alexander II of Macedon,Who was the mother of the predecessor of the father of the ruler during the time period of the Nemean Games?,Eurydice I of Macedon,Who was the husband of the mother of the predecessor of the father of the ruler during the time period of the Nemean Games?,Amyntas III of Macedon
event_sport,Nemean Games,culture,Ancient Greece,What is the culture of Nemean Games?,The culture of the Nemean Games was a celebration of athleticism,0.0,"['Ancient Greece', 'The culture of the Nemean Games was a celebration of athleticism', 'Rome', 'Egypt']",Which culture is associated with the Nemean Games?,A. Egypt  B. Ancient Greece  C. Rome  D. The culture of the Nemean Games was a celebration of athleticism,B,Is the culture of the Nemean Games Ancient Greece?,Is the culture of the Nemean Games a celebration of athleticism?,What type of events were held at the Nemean Games?,What games are associated with Ancient Greece?,Which ancient civilization is associated with the culture of the Nemean Games?,Ancient Greece,Which god was honored in the culture of the Nemean Games in Ancient Greece?,Zeus,In which region of Ancient Greece was the sanctuary of the god honored in the culture of the Nemean Games located?,Nemea,Which modern country contains the region where the sanctuary of the god honored in the culture of the Nemean Games was located?,Greece,What is the capital city of the modern country that contains the region where the sanctuary of the god honored in the culture of the Nemean Games was located?,Athens
event_sport,Dakar Rally,location,Saudi Arabia,What is the location of Dakar Rally?,Dakar Rally is an annual rally raid racing event that takes place,0.0,"['Saudi Arabia', 'Dakar Rally is an annual rally raid racing event that takes place', 'Argentina', 'Morocco']",Where is the Dakar Rally held?,A. Saudi Arabia  B. Argentina  C. Dakar Rally is an annual rally raid racing event that takes place  D. Morocco,A,Is the location of the Dakar Rally Saudi Arabia?,Is the location of the Dakar Rally Dakar Rally is an annual rally raid racing event that takes place?,What type of event is the Dakar Rally known for?,What event takes place in Saudi Arabia?,Which country is the location of the Dakar Rally?,Saudi Arabia,What is the capital city of the country where the Dakar Rally is located?,Riyadh,What is the population of the capital city of the country where the Dakar Rally is located?,Approximately 7.6 million,What is the name of the largest airport in the capital city of the country where the Dakar Rally is located?,King Khalid International Airport,Which airline has its hub at the largest airport in the capital city of the country where the Dakar Rally is located?,Saudia
event_sport,Australian Grand Prix,location,Albert Park Circuit,What is the location of Australian Grand Prix?,The location of the Australian Grand Prix is Albert Park in Melbourne,0.0,"['Albert Park Circuit', 'The location of the Australian Grand Prix is Albert Park in Melbourne', 'Silverstone Circuit', 'Monaco Circuit']",Where is the Australian Grand Prix held?,A. The location of the Australian Grand Prix is Albert Park in Melbourne  B. Albert Park Circuit  C. Monaco Circuit  D. Silverstone Circuit,B,Is the location of the Australian Grand Prix Albert Park Circuit?,Is the location of the Australian Grand Prix The location of the Australian Grand Prix is Albert Park in Melbourne?,What is a famous feature of the Australian Grand Prix?,Which event takes place at Albert Park Circuit?,What is the capital city of the country where the Australian Grand Prix is located?,Canberra,Which major landmark is located in the capital city of the country where the Australian Grand Prix is held?,Parliament House,Who is the architect of the major landmark located in the capital city of the country where the Australian Grand Prix is held?,Romaldo Giurgola,Which country was the architect of the major landmark in the capital city of the country where the Australian Grand Prix is held born in?,Italy,What is the capital city of the country where the architect of the major landmark in the capital city of the country where the Australian Grand Prix is held was born?,Rome
event_sport,Dakar Rally,country,Saudi Arabia,What is the country of Dakar Rally?,Dakar Rally is an annual rally raid racing event that takes place,0.0,"['Saudi Arabia', 'Dakar Rally is an annual rally raid racing event that takes place', 'France', 'Argentina']",Which country hosts the Dakar Rally?,A. Dakar Rally is an annual rally raid racing event that takes place  B. Argentina  C. Saudi Arabia  D. France,C,Is Saudi Arabia the country where the Dakar Rally is held?,Is Dakar Rally is an annual rally raid racing event that takes place the country of the Dakar Rally?,In which continent is the Dakar Rally primarily held?,Which event is held in Saudi Arabia?,What is the capital of the country where the Dakar Rally originated?,Dakar,Which ocean is the capital of the country where the Dakar Rally originated located near?,Atlantic Ocean,What is the name of the major river that flows through the country where the Dakar Rally originated?,Senegal River,Which country does the major river that flows through the country where the Dakar Rally originated also pass through?,Mali,What is the capital of the country that the major river flowing through the country where the Dakar Rally originated also passes through?,Bamako
event_sport,Dakar Rally,creator,Thierry Sabine,Who is the creator of Dakar Rally?,"The Dakar Rally is created by the French company, ASO (A",0.0,"['Thierry Sabine', 'The Dakar Rally is created by the French company, ASO', 'Jean Todt', 'David Richards']",Who founded the Dakar Rally?,"A. Jean Todt  B. Thierry Sabine  C. David Richards  D. The Dakar Rally is created by the French company, ASO (A",B,Is Thierry Sabine the creator of Dakar Rally?,"Is the Dakar Rally created by the French company, ASO?",In which year was the first Dakar Rally held?,Who was created by Thierry Sabine?,What is the nationality of the creator of the Dakar Rally?,French,What is the capital city of the country where the creator of the Dakar Rally is from?,Paris,Which famous landmark is located in the capital city of the country where the creator of the Dakar Rally is from?,Eiffel Tower,Who designed the famous landmark located in the capital city of the country where the creator of the Dakar Rally is from?,Gustave Eiffel,In which year was the designer of the famous landmark in the capital city of the country where the creator of the Dakar Rally is from born?,1832
