topic,subject,relation,object,question,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct
business_industry,property management,has part(s),real estate management,What does property management have part(s )?,Maintenance,0.0
business_industry,screen printing,has part(s),sensitization,What does screen printing have part(s )?,Screen,0.0
business_industry,water transport,uses,watercraft,What does water transport use?,Canals,0.0
business_industry,leather crafting,practiced by,leatherworker,What was leather crafting practiced by?,Ancient civilizations,0.0
business_industry,life sciences,history of topic,history of biology,What is the history of topic of life sciences?,Ancient,0.0
business_industry,aerospace engineering,history of topic,history of aviation,What is the history of topic of aerospace engineering?,Ancient Greece,0.0
business_industry,publishing,said to be the same as,publishing industry,What did publishing say to be the same as?,"""Publishing"" is said to be the same as ""Printing""",0.0
business_industry,artificial intelligence,model item,machine learning,What is the model item of artificial intelligence?,Turing Machine,0.0
business_industry,technology,has characteristic,technological singularity,What does technology have characteristic?,Innovative,0.0
business_industry,water transport,practiced by,sailor,What was water transport practiced by?,Ancient civilizations,0.0
business_industry,fur trade,object class of occurrence,fur,What is the object class of occurrence of fur trade?,Event,0.0
business_industry,mechanical engineering,practiced by,mechanical engineer,What was mechanical engineering practiced by?,Ancient civilizations,0.0
business_industry,food processing,made from material,raw food,What is the made from material of food processing?,Stainless steel,0.0
business_industry,architectural firm,industry,architecture,What is the industry of architectural firm?,Construction,0.0
business_industry,fishing,practiced by,fisher,What was fishing practiced by?,Ancient civilizations,0.0
business_industry,publishing,practiced by,publisher,What was publishing practiced by?,Ancient civilizations,0.0
business_industry,software industry,has characteristic,software development,What does software industry have characteristic?,Innovative,0.0
business_industry,electronics,practiced by,electrical engineer,What was electronics practiced by?,Ancient Greeks,0.0
business_industry,plant breeding,described by source,Encyclopædia Britannica 11th edition,What is the described by source of plant breeding?,Conventional,0.0
business_industry,artificial intelligence,has characteristic,artificiality,What does artificial intelligence have characteristic?,Autonomy,0.0
business_industry,waste management,practiced by,garbage collector,What was waste management practiced by?,Ancient civilizations,0.0
business_industry,brewing,industry,stimulant foodstuff,What is the industry of brewing?,Beverage,0.0
business_industry,architecture,uses,architectural engineering,What does architecture use?,Mathematics,0.0
business_industry,research,described by source,Encyclopædia Britannica 11th edition,What is the described by source of research?,Primary,0.0
business_industry,coining,uses,die,What does coining use?,Metal,0.0
business_industry,biotechnology industry,has part(s),biotechnologist,What does biotechnology industry have part(s )?,"Pharmaceuticals, Agriculture, Food, Medical devices",0.0
business_industry,plumbing,location of discovery,Crete,What is the location of discovery of plumbing?,Ancient Indus Valley Civilization,0.0
business_industry,mass media,practiced by,media profession,What was mass media practiced by?,Ancient civilizations,0.0
business_industry,logistics,practiced by,logistician,What was logistics practiced by?,Ancient Greeks,0.0
business_industry,spice trade,object class of occurrence,spice,What is the object class of occurrence of spice trade?,Event,0.0
business_industry,floristry,practiced by,florist,What was floristry practiced by?,Ancient Egyptians,0.0
business_industry,energy industry,said to be the same as,energy supply,What did energy industry say to be the same as?,"""Oil and water""",0.0
business_industry,ferrous metallurgy,described by source,Encyclopædia Britannica 11th edition,What is the described by source of ferrous metallurgy?,Iron,0.0
business_industry,winemaking,follows,wine harvest,What does winemaking follow?,Agriculture,0.0
business_industry,winemaking,described by source,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of winemaking?,Homer,0.0
business_industry,electronics,has part(s),electronic circuit,What does electronics have part(s )?,Components,0.0
business_industry,stationery,described by source,Encyclopædia Britannica 11th edition,What is the described by source of stationery?,Manufacturer,0.0
business_industry,furniture industry,practiced by,furniture maker,What was furniture industry practiced by?,Ancient Egyptians,0.0
business_industry,human resource management,field of work,performance management,What is the field of work of human resource management?,Recruitment,0.0
business_industry,journalism,history of topic,history of journalism,What is the history of topic of journalism?,Ancient civilizations,0.0
business_industry,pest control,has part(s),bird control,What does pest control have part(s )?,Chemicals,0.0
business_industry,animal breeding,described by source,Encyclopædia Britannica 11th edition,What is the described by source of animal breeding?,Genetics,0.0
business_industry,architecture,studied in,architectural theory,What was architecture studied in?,Schools,0.0
business_industry,biomedical engineering,practiced by,biomedical engineer,What was biomedical engineering practiced by?,Physicians and engineers,0.0
business_industry,coal industry,described by source,The SAGE Encyclopedia of Cancer and Society,What is the described by source of coal industry?,Geological,0.0
business_industry,furniture construction,practiced by,furniture maker,What was furniture construction practiced by?,Carpenters,0.0
business_industry,passenger transport,object class of occurrence,passenger,What is the object class of occurrence of passenger transport?,Event,0.0
business_industry,environment,history of topic,environmental history,What is the history of topic of environment?,Ancient roots,0.0
business_industry,forging,practiced by,metalsmith,What was forging practiced by?,Ancient civilizations,0.0
business_industry,plumbing,practiced by,plumber,What was plumbing practiced by?,Ancient civilizations,0.0
business_industry,plumbing,discoverer or inventor,Egyptians,What is the discoverer or inventor of plumbing?,Ancient civilizations,0.0
business_industry,cartography,practiced by,cartographer,What was cartography practiced by?,Ancient civilizations,0.0
business_industry,metallurgy,practiced by,metallurgist,What was metallurgy practiced by?,Ancient civilizations,0.0
business_industry,architectural firm,practiced by,architect,What was architectural firm practiced by?,"Skidmore, Owings & Merrill",0.0
business_industry,research,has characteristic,scientific method,What does research have characteristic?,Systematic,0.0
business_industry,retail,described by source,Encyclopædia Britannica 11th edition,What is the described by source of retail?,Channel,0.0
business_industry,organic agriculture,uses,organic fertilizer,What does organic agriculture use?,Natural methods,0.0
business_industry,technology,history of topic,history of technology,What is the history of topic of technology?,Ancient,0.0
