topic,subject,relation,object,question,output_gemma_1.1_2b_it,eval_gemma_1.1_2b_it,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
human_athlete,Jeb Corliss,residence,Venice,What is the residence of Jeb Corliss?,Jeb Corliss' residence is not publicly disclosed,0.0,"['Venice', ""Jeb Corliss' residence is not publicly disclosed"", 'Los Angeles', 'New York']",Where does Jeb Corliss live?,Is Jeb Corliss' residence Venice?,Is Jeb Corliss' residence not publicly disclosed?,What is Jeb Corliss known for?,Who resides in Venice?,A. Jeb Corliss' residence is not publicly disclosed  B. Venice  C. Los Angeles  D. New York,B,What is the population of the residence of Jeb Corliss?,"Approximately 261,905",What is the primary language spoken in the residence of Jeb Corliss?,Italian,What is the most famous landmark in the city where the residence of Jeb Corliss is located?,St. Mark's Basilica,In which century was the most famous landmark in the city where the residence of Jeb Corliss is located built?,11th century,Who was the architect of the most famous landmark in the city where the residence of Jeb Corliss is located?,Domenico I Contarini
human_athlete,Wladimir Klitschko,place of birth,Semey,What is the place of birth of Wladimir Klitschko?,"Moscow, Russia",0.0,"['Semey', 'Moscow, Russia', 'Kyiv, Ukraine', 'Berlin, Germany']",Where was Wladimir Klitschko born?,Is Wladimir Klitschko's place of birth Semey?,"Is Wladimir Klitschko's place of birth Moscow, Russia?",What is Wladimir Klitschko known for in the world of sports?,Who was born in Semey?,"A. Moscow, Russia  B. Berlin, Germany  C. Kyiv, Ukraine  D. Semey",D,What is the population of the place of birth of Wladimir Klitschko?,"312,000","What is the primary language spoken in the place of birth of Wladimir Klitschko, which has a population of 312,000?",Kazakh,"What is the currency used in the place of birth of Wladimir Klitschko, where the primary language spoken is Kazakh?",Kazakhstani tenge,"What is the capital city of the country that uses the currency Kazakhstani tenge, which is also the currency of the place of birth of Wladimir Klitschko?",Astana,"What is the population of the capital city of the country that uses the currency Kazakhstani tenge, which is also the currency of the place of birth of Wladimir Klitschko?","1,136,000"
human_athlete,Tadeusz Łopuszański,sex or gender,male,What is the sex or gender of Tadeusz Łopuszański?,The provided text does not contain any information regarding Tadeusz Łopuszański's,0.0,"['male', ""The provided text does not contain any information regarding Tadeusz Łopuszański's"", 'female', 'non-binary']",What gender is Tadeusz Łopuszański?,Is the sex or gender of Tadeusz Łopuszański male?,Is the sex or gender of Tadeusz Łopuszański The provided text does not contain any information regarding Tadeusz Łopuszański's?,What is a notable achievement or profession of Tadeusz Łopuszański?,Who is male in relation to their sex or gender?,A. male  B. female  C. non-binary  D. The provided text does not contain any information regarding Tadeusz Łopuszański's,A,Who is the spouse of the male Tadeusz Łopuszański?,Maria Łopuszańska,What is the profession of the spouse of the male Tadeusz Łopuszański?,Teacher,Which school did the spouse of the male Tadeusz Łopuszański work at?,Warsaw School,In which city is the school located where the spouse of the male Tadeusz Łopuszański worked?,Warsaw,In which country is the city located where the school is situated that the spouse of the male Tadeusz Łopuszański worked at?,Poland
human_athlete,Roger Bannister,sport,athletics,What is the sport of Roger Bannister?,Chess,0.0,"['athletics', 'Chess', 'swimming', 'tennis']",Which sport is Roger Bannister associated with?,Is the sport of Roger Bannister athletics?,Is the sport of Roger Bannister Chess?,What record is Roger Bannister famous for breaking?,Who is associated with the sport of athletics?,A. Chess  B. athletics  C. tennis  D. swimming,B,What is the event in athletics that Roger Bannister is famous for?,The mile run,In which year did Roger Bannister achieve his famous mile run in athletics?,1954,In which city did Roger Bannister achieve his famous mile run in athletics in 1954?,Oxford,In which country is the city located where Roger Bannister achieved his famous mile run in athletics in 1954?,United Kingdom,"Who was the pacemaker for Roger Bannister during his famous mile run in athletics in 1954 in Oxford, United Kingdom?",Chris Chataway
human_athlete,"Neville Bulwer-Lytton, 3rd Earl of Lytton",conflict,World War I,"What is the conflict of Neville Bulwer-Lytton, 3rd Earl of Lytton?",Neville Bulwer-Lytton faced criticism and ridicule for his perceived offensive,0.0,"['World War I', 'Neville Bulwer-Lytton faced criticism and ridicule for his perceived offensive', 'World War II', 'The Crimean War']","Which conflict was Neville Bulwer-Lytton, 3rd Earl of Lytton, involved in?","Was the conflict of Neville Bulwer-Lytton, 3rd Earl of Lytton, World War I?","Was the conflict of Neville Bulwer-Lytton, 3rd Earl of Lytton, Neville Bulwer-Lytton faced criticism and ridicule for his perceived offensive?",What title did Neville Bulwer-Lytton hold?,Who was involved in World War I?,A. The Crimean War  B. Neville Bulwer-Lytton faced criticism and ridicule for his perceived offensive  C. World War II  D. World War I,D,"Which country did Neville Bulwer-Lytton, 3rd Earl of Lytton, serve during the conflict?",United Kingdom,"Who was the monarch of the country that Neville Bulwer-Lytton, 3rd Earl of Lytton, served during the conflict?",King George V,"Who was the prime minister of the country during the reign of the monarch who ruled when Neville Bulwer-Lytton, 3rd Earl of Lytton, served in the conflict?",David Lloyd George,"Which political party did the prime minister belong to during the reign of the monarch who ruled when Neville Bulwer-Lytton, 3rd Earl of Lytton, served in the conflict?",Liberal Party,"What was the major legislative act passed by the political party of the prime minister during the reign of the monarch who ruled when Neville Bulwer-Lytton, 3rd Earl of Lytton, served in the conflict?",Representation of the People Act 1918
human_athlete,Martin Ticháček,sport,association football,What is the sport of Martin Ticháček?,Ice hockey,0.0,"['association football', 'Ice hockey', 'basketball', 'tennis']",Which sport does Martin Ticháček play?,Is the sport of Martin Ticháček association football?,Is the sport of Martin Ticháček Ice hockey?,What is Martin Ticháček's nationality?,Who plays association football?,A. Ice hockey  B. association football  C. tennis  D. basketball,B,What is the position of Martin Ticháček in association football?,Goalkeeper,Which club does the goalkeeper Martin Ticháček play for?,FC Viktoria Plzeň,"In which league does the club FC Viktoria Plzeň, where the goalkeeper Martin Ticháček plays, compete?",Czech First League,In which country is the league located where the club FC Viktoria Plzeň competes and where the goalkeeper Martin Ticháček plays?,Czech Republic,What is the capital city of the country where the league is located in which the club FC Viktoria Plzeň competes and where the goalkeeper Martin Ticháček plays?,Prague
human_athlete,Dominik Hašek,sex or gender,male,What is the sex or gender of Dominik Hašek?,The provided text does not contain any information regarding Dominik Hašek's sex or,0.0,"['male', ""The provided text does not contain any information regarding Dominik Hašek's sex or"", 'female', 'non-binary']",What is Dominik Hašek's gender?,Is Dominik Hašek's sex or gender male?,Is Dominik Hašek's sex or gender The provided text does not contain any information regarding Dominik Hašek's sex or?,What sport is Dominik Hašek known for?,Who is male in the context of this information?,A. non-binary  B. The provided text does not contain any information regarding Dominik Hašek's sex or  C. female  D. male,D,Who is the spouse of the male Dominik Hašek?,Alena Hašková,What is the profession of the spouse of the male Dominik Hašek?,Entrepreneur,What is the name of the company founded by the spouse of the male Dominik Hašek?,Alpa,In which year was the company founded by the spouse of the male Dominik Hašek established?,1913,In which country was the company founded by the spouse of the male Dominik Hašek established?,Czech Republic
human_athlete,Jim Bush,place of death,Culver City,What is the place of death of Jim Bush?,Jim Bush's place of death is not publicly known,0.0,"['Culver City', ""Jim Bush's place of death is not publicly known"", 'Los Angeles', 'San Francisco']",Where did Jim Bush pass away?,Did Jim Bush die in Culver City?,Did Jim Bush die in a place that is not publicly known?,What was Jim Bush's profession?,Who died in Culver City?,A. Culver City  B. Los Angeles  C. San Francisco  D. Jim Bush's place of death is not publicly known,A,In which state is the place of death of Jim Bush located?,California,What is the capital of the state where the place of death of Jim Bush is located?,Sacramento,Which river runs through the capital of the state where the place of death of Jim Bush is located?,Sacramento River,Which mountain range is located near the river that runs through the capital of the state where the place of death of Jim Bush is located?,Sierra Nevada,Which national park is located within the mountain range near the river that runs through the capital of the state where the place of death of Jim Bush is located?,Yosemite National Park
human_athlete,Tomáš Pospíchal,place of death,Prague,What is the place of death of Tomáš Pospíchal?,No information regarding the place of death of Tomáš Pospíchal is provided in,0.0,"['Prague', 'No information regarding the place of death of Tomáš Pospíchal is provided in', 'Brno', 'Ostrava']",Where did Tomáš Pospíchal pass away?,Is Prague the place of death of Tomáš Pospíchal?,Is No information regarding the place of death of Tomáš Pospíchal is provided in the place of death of Tomáš Pospíchal?,What sport is Tomáš Pospíchal known for?,Who died in Prague?,A. No information regarding the place of death of Tomáš Pospíchal is provided in  B. Prague  C. Brno  D. Ostrava,B,In which country is the place of death of Tomáš Pospíchal located?,Czech Republic,What is the official language of the country where the place of death of Tomáš Pospíchal is located?,Czech,What is the population of the country where the place of death of Tomáš Pospíchal is located?,Approximately 10.7 million,What is the capital city of the country where the place of death of Tomáš Pospíchal is located?,Prague,What is the currency used in the country where the place of death of Tomáš Pospíchal is located?,Czech koruna
human_athlete,Calvin Bricker,sex or gender,male,What is the sex or gender of Calvin Bricker?,The provided text does not contain any information regarding Calvin Bricker's sex or,0.0,"['male', ""The provided text does not contain any information regarding Calvin Bricker's sex or"", 'female', 'non-binary']",What gender is Calvin Bricker?,Is Calvin Bricker's gender male?,Is Calvin Bricker's gender The provided text does not contain any information regarding Calvin Bricker's sex or?,What sport is Calvin Bricker known for?,Who is male in this context?,A. The provided text does not contain any information regarding Calvin Bricker's sex or  B. non-binary  C. female  D. male,D,Who is the spouse of the male Calvin Bricker?,Nellie Bricker,What is the profession of the spouse of the male Calvin Bricker?,Teacher,Which school did the spouse of the male Calvin Bricker work at?,Toronto High School,In which city is the school located where the spouse of the male Calvin Bricker worked?,Toronto,In which country is the city located where the school is situated that the spouse of the male Calvin Bricker worked?,Canada
human_athlete,Gautier Makunda,sex or gender,male,What is the sex or gender of Gautier Makunda?,The provided text does not contain any information regarding the sex or gender of Gautier Mak,0.0,"['male', 'The provided text does not contain any information regarding the sex or gender of Gautier Mak', 'female', 'non-binary']",What gender does Gautier Makunda identify as?,Is the sex or gender of Gautier Makunda male?,Is the sex or gender of Gautier Makunda The provided text does not contain any information regarding the sex or gender of Gautier Mak?,What is a notable achievement or profession of Gautier Makunda?,Who is male in this context?,A. The provided text does not contain any information regarding the sex or gender of Gautier Mak  B. male  C. non-binary  D. female,B,Who is the spouse of the male Gautier Makunda?,Marie Makunda,What is the profession of the spouse of the male Gautier Makunda?,Doctor,Which hospital does the spouse of the male Gautier Makunda work at?,Saint Mary's Hospital,In which city is the hospital located where the spouse of the male Gautier Makunda works?,London,In which country is the city located where the hospital is situated that the spouse of the male Gautier Makunda works?,United Kingdom
