topic,subject,relation,object,question,output_meta_llama_3_8b_instruct,eval_meta_llama_3_8b_instruct
geography_forest,Ottawa National Forest,significant place,Ironwood,What is the significant place of Ottawa National Forest?,Mining,0.0
geography_forest,Okanogan-Wenatchee National Forest,located in the administrative territorial entity,Washington,What is the located in the administrative territorial entity of Okanogan-Wenatchee National Forest?,Mountains,0.0
geography_forest,Sierra National Forest,IUCN protected areas category,IUCN category VI: Protected Area with sustainable use of natural resources,What is the IUCN protected areas category of Sierra National Forest?,IUCN Category II,0.0
geography_forest,Zeisigwald,country,Germany,What is the country of Zeisigwald?,Non-existent,0.0
geography_forest,Sierra National Forest,significant place,Oakhurst,What is the significant place of Sierra National Forest?,California,0.0
geography_forest,Siuslaw National Forest,operator,United States Forest Service,What is the operator of Siuslaw National Forest?,USDA,0.0
geography_forest,Lolo National Forest,located in the administrative territorial entity,Montana,What is the located in the administrative territorial entity of Lolo National Forest?,Missoula,0.0
geography_forest,Palatinate Forest,highest point,Kalmit,Who is the highest point of Palatinate Forest?,Fuchsberg,0.0
geography_forest,Nantahala National Forest,operator,United States Forest Service,What is the operator of Nantahala National Forest?,USDA,0.0
geography_forest,Tombigbee National Forest,operator,United States Forest Service,What is the operator of Tombigbee National Forest?,USDA,0.0
geography_forest,Helena National Forest,located in the administrative territorial entity,Montana,What is the located in the administrative territorial entity of Helena National Forest?,Helena,0.0
geography_forest,Homochitto National Forest,significant place,Brookhaven,What is the significant place of Homochitto National Forest?,Mississippi,0.0
geography_forest,Fremont National Forest,located in the administrative territorial entity,Oregon,What is the located in the administrative territorial entity of Fremont National Forest?,Lake,0.0
geography_forest,Fremont National Forest,operator,United States Forest Service,What is the operator of Fremont National Forest?,USDA,0.0
geography_forest,Paimpont forest,owned by,Donatien Levesque,Who was Paimpont forest owned by?,Dukes of Brittany,0.0
geography_forest,William B. Bankhead National Forest,named after,William Brockman Bankhead,Who was William B. Bankhead National Forest named after?,William B. Bankhead,0.0
geography_forest,Umpqua National Forest,located in the administrative territorial entity,Oregon,What is the located in the administrative territorial entity of Umpqua National Forest?,Rogue River,0.0
geography_forest,Ochoco National Forest,operator,United States Forest Service,What is the operator of Ochoco National Forest?,USDA,0.0
geography_forest,Mark Twain National Forest,named after,Mark Twain,Who was Mark Twain National Forest named after?,Samuel,0.0
geography_forest,Veldensteiner Forst,located in the administrative territorial entity,Bayreuth,What is the located in the administrative territorial entity of Veldensteiner Forst?,Germany,0.0
geography_forest,Schönbuch,located in the administrative territorial entity,Baden-Württemberg,What is the located in the administrative territorial entity of Schönbuch?,Tübingen,0.0
geography_forest,Delta National Forest,located in the administrative territorial entity,Mississippi,What is the located in the administrative territorial entity of Delta National Forest?,Alabama,0.0
geography_forest,Epping Forest,heritage designation,Site of Special Scientific Interest,What is the heritage designation of Epping Forest?,Ancient,0.0
geography_forest,Umpqua National Forest,significant place,Roseburg,What is the significant place of Umpqua National Forest?,Recreation,0.0
geography_forest,Białowieża Forest,location,Grodno Region,What is the location of Białowieża Forest?,Poland,0.0
geography_forest,Forest of Rambouillet,located in the administrative territorial entity,Yvelines,What is the located in the administrative territorial entity of Forest of Rambouillet?,Rambouillet,0.0
geography_forest,Chantilly Forest,maintained by,National Forests Office,What was Chantilly Forest maintained by?,French monarchy,0.0
geography_forest,Waipoua Forest,located in the administrative territorial entity,Kaipara District,What is the located in the administrative territorial entity of Waipoua Forest?,TaneMahuta,0.0
geography_forest,Chugach National Forest,significant place,Anchorage,What is the significant place of Chugach National Forest?,Alaska,0.0
