topic,subject,relation,object,question,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct,paraphrased_question,yes_question,no_question,multiple_choice_question,locality_question,reversed_relation_question,question_2hop,answer_2hop,question_3hop,answer_3hop,question_4hop,answer_4hop,question_5hop,answer_5hop,question_6hop,answer_6hop
places_country,Zambia,flag,flag of Zambia,What is the flag of Zambia?,Tri-color,0.0,Can you describe the flag of Zambia?,Is the flag of Zambia the flag of Zambia?,Is the flag of Zambia a Tri-color?,"{'question': 'What is the flag of Zambia?', 'options': {'A': 'Tri-color', 'B': 'Flag of Zambia', 'C': 'Union Jack', 'D': 'Stars and Stripes'}, 'ground_truth': 'B'}",What is the capital city of Zambia?,Which country has the flag of Zambia?,What are the colors on the flag of Zambia?,"Green, red, black, and orange",What is the symbol on the flag of Zambia?,An eagle,What does the eagle on the flag of Zambia represent?,Freedom,Which year was the current flag of Zambia adopted?,1964,Which event coincided with the adoption of the current flag of Zambia?,Zambia's independence from the United Kingdom
places_country,Germany,history of topic,history of Germany,What is the history of topic of Germany?,"Ancient, Medieval, Renaissance, Reformation, Unification, Weimar,",0.0,Can you tell me about the history of Germany?,Is the history of topic of Germany the history of Germany?,"Is the history of topic of Germany the history of Ancient, Medieval, Renaissance, Reformation, Unification, Weimar?","{'question': 'What is the history of topic of Germany?', 'options': {'A': 'Ancient, Medieval, Renaissance, Reformation, Unification, Weimar', 'B': 'History of Germany', 'C': 'History of France', 'D': 'History of Italy'}, 'ground_truth': 'B'}",What is the capital city of Germany?,What country has the history of Germany as its history of topic?,Who was the first Chancellor in the history of Germany?,Otto von Bismarck,Which empire did the first Chancellor in the history of Germany help to establish?,German Empire,"In which year was the German Empire, established by the first Chancellor in the history of Germany, founded?",1871,Which war preceded the founding of the German Empire in 1871?,Franco-Prussian War,Which treaty ended the war that preceded the founding of the German Empire in 1871?,Treaty of Frankfurt
places_country,Turkey,history of topic,history of Turkey,What is the history of topic of Turkey?,Ancient,0.0,Can you tell me about the history of Turkey?,Is the history of topic of Turkey the history of Turkey?,Is the history of topic of Turkey Ancient?,"{'question': 'What is the history of topic of Turkey?', 'options': {'A': 'Ancient', 'B': 'History of Turkey', 'C': 'Medieval', 'D': 'Modern'}, 'ground_truth': 'B'}",What is the capital city of Turkey?,What country has the history of Turkey?,Who was the first president in the history of Turkey?,Mustafa Kemal Atatürk,What was the name of the political party founded by the first president in the history of Turkey?,Republican People's Party (CHP),In which year was the political party founded by the first president in the history of Turkey established?,1923,Which significant event in Turkish history occurred in the same year the political party founded by the first president was established?,Proclamation of the Republic of Turkey,Who was the last Sultan of the Ottoman Empire before the Proclamation of the Republic of Turkey?,Mehmed VI
places_country,Tunisia,executive body,Government of Tunisia,What is the executive body of Tunisia?,The President,0.0,Which entity serves as the executive body in Tunisia?,Is the Government of Tunisia the executive body of Tunisia?,Is the President the executive body of Tunisia?,"{'question': 'What is the executive body of Tunisia?', 'options': {'A': 'The President', 'B': 'Government of Tunisia', 'C': 'Parliament of Tunisia', 'D': 'Supreme Court of Tunisia'}, 'ground_truth': 'B'}",What is the capital city of Tunisia?,Which country has the Government of Tunisia as its executive body?,Who is the head of the executive body of Tunisia?,Kais Saied,Which university did the head of the executive body of Tunisia attend?,University of Tunis,In which city is the university located that the head of the executive body of Tunisia attended?,Tunis,In which governorate is the city located where the university that the head of the executive body of Tunisia attended is situated?,Tunis Governorate,In which country is the governorate located where the city is situated that contains the university the head of the executive body of Tunisia attended?,Tunisia
places_country,Libya,follows,Great Socialist People's Libyan Arab Jamahiriya,What does Libya follow?,Islamic law,0.0,Which system does Libya adhere to?,Does Libya follow the Great Socialist People's Libyan Arab Jamahiriya?,Does Libya follow Islamic law?,"{'question': 'What does Libya follow?', 'options': {'A': 'Islamic law', 'B': ""Great Socialist People's Libyan Arab Jamahiriya"", 'C': 'Democratic Republic', 'D': 'Monarchy'}, 'ground_truth': 'B'}",What is the capital city of Libya?,Which country follows the Great Socialist People's Libyan Arab Jamahiriya?,Which religion is followed by the majority of people in Libya?,Islam,What is the holy book of the religion followed by the majority of people in Libya?,Quran,In which language is the holy book of the religion followed by the majority of people in Libya originally written?,Arabic,Which country is considered the birthplace of the language in which the holy book of the religion followed by the majority of people in Libya is written?,Saudi Arabia,What is the capital city of the country considered the birthplace of the language in which the holy book of the religion followed by the majority of people in Libya is written?,Riyadh
places_country,Iran,basic form of government,unitary state,What is the basic form of government of Iran?,Theocratic,0.0,Can you tell me the basic form of government in Iran?,Is the basic form of government of Iran a unitary state?,Is the basic form of government of Iran a theocratic state?,"{'question': 'What is the basic form of government of Iran?', 'options': {'A': 'Federal republic', 'B': 'Unitary state', 'C': 'Confederation', 'D': 'Theocratic'}, 'ground_truth': 'B'}",What is the capital city of Iran?,Which country has a unitary state as its basic form of government?,Who is the current Supreme Leader of the country with the basic form of government of Iran?,Ali Khamenei,In which year did the current Supreme Leader of the country with the basic form of government of Iran assume office?,1989,Who was the predecessor of the current Supreme Leader of the country with the basic form of government of Iran?,Ruhollah Khomeini,What was the title of the predecessor of the current Supreme Leader of the country with the basic form of government of Iran before becoming Supreme Leader?,Ayatollah,In which city did the predecessor of the current Supreme Leader of the country with the basic form of government of Iran pass away?,Tehran
places_country,Ireland,head of state,Michael D. Higgins,Who is the head of state of Ireland?,President,0.0,Who serves as the head of state in Ireland?,Is Michael D. Higgins the head of state of Ireland?,Is the President the head of state of Ireland?,"{'question': 'Who is the head of state of Ireland?', 'options': {'A': 'Michael D. Higgins', 'B': 'President', 'C': 'Leo Varadkar', 'D': 'Mary McAleese'}, 'ground_truth': 'A'}",What is the capital city of Ireland?,Of which country is Michael D. Higgins the head of state?,Who is the spouse of the head of state of Ireland?,Sabina Higgins,What is the profession of the spouse of the head of state of Ireland?,Actress and writer,Which organization did the spouse of the head of state of Ireland work with as an actress?,Abbey Theatre,"In which city is the Abbey Theatre, where the spouse of the head of state of Ireland worked, located?",Dublin,"What is the population of the city where the Abbey Theatre is located, where the spouse of the head of state of Ireland worked?",1.17 million (as of 2021)
places_country,Papua New Guinea,twinned administrative body,Toyota,What is the twinned administrative body of Papua New Guinea?,Papua New Guinea is twinned with  Solomon Islands,0.0,Which administrative body is twinned with Papua New Guinea?,Is Toyota the twinned administrative body of Papua New Guinea?,Is Papua New Guinea twinned with Solomon Islands?,"{'question': 'What is the twinned administrative body of Papua New Guinea?', 'options': {'A': 'Toyota', 'B': 'Solomon Islands', 'C': 'Fiji', 'D': 'New Zealand'}, 'ground_truth': 'A'}",What is the capital city of Papua New Guinea?,Which country is twinned with Toyota?,What is the capital city of the twinned administrative body of Papua New Guinea?,Port Moresby,Which ocean is the capital city of the twinned administrative body of Papua New Guinea located near?,Pacific Ocean,What is the name of the largest island in the ocean near the capital city of the twinned administrative body of Papua New Guinea?,New Guinea,Which country shares the island with the twinned administrative body of Papua New Guinea?,Indonesia,What is the capital city of the country that shares the island with the twinned administrative body of Papua New Guinea?,Jakarta
places_country,Thailand,head of government,Paetongtarn Shinawatra,Who is the head of government of Thailand?,Srettha Thavisin,0.0,Who serves as the head of government in Thailand?,Is Paetongtarn Shinawatra the head of government of Thailand?,Is Srettha Thavisin the head of government of Thailand?,"{'question': 'Who is the head of government of Thailand?', 'options': {'A': 'Paetongtarn Shinawatra', 'B': 'Srettha Thavisin', 'C': 'Prayut Chan-o-cha', 'D': 'Yingluck Shinawatra'}, 'ground_truth': 'A'}",What is the capital city of Thailand?,Which country has Paetongtarn Shinawatra as its head of government?,Who is the spouse of the head of government of Thailand?,Naraporn Chan-o-cha,What is the profession of the spouse of the head of government of Thailand?,Professor,At which university does the spouse of the head of government of Thailand work?,Chulalongkorn University,In which city is the university where the spouse of the head of government of Thailand works located?,Bangkok,In which country is the city located where the university is situated that employs the spouse of the head of government of Thailand?,Thailand
places_country,Sierra Leone,located in/on physical feature,West Africa,What is the located in/on physical feature of Sierra Leone?,Tongo,0.0,Where is Sierra Leone situated?,Is Sierra Leone located in West Africa?,Is Sierra Leone located in Tongo?,"{'question': 'In which region is Sierra Leone located?', 'options': {'A': 'West Africa', 'B': 'Tongo', 'C': 'East Asia', 'D': 'South America'}, 'ground_truth': 'A'}",What is the capital city of Sierra Leone?,Which country is located in West Africa?,Which river is Sierra Leone located on?,Rokel River,What is the major city located near the Rokel River in Sierra Leone?,Freetown,"Which ocean is Freetown, the major city near the Rokel River in Sierra Leone, adjacent to?",Atlantic Ocean,"Which gulf is part of the Atlantic Ocean that Freetown, the major city near the Rokel River in Sierra Leone, is adjacent to?",Gulf of Guinea,"Which continent is the Gulf of Guinea, part of the Atlantic Ocean that Freetown near the Rokel River in Sierra Leone is adjacent to, located on?",Africa
