topic,subject,relation,object,question,output_meta_llama_3.1_8b_instruct,eval_meta_llama_3.1_8b_instruct
technology_database,Unifrance,chairperson,Serge Toubiana,Who is the chairperson of Unifrance?,"I'm sorry for any inconvenience, but I don't have",0.0
technology_database,Memrise,headquarters location,Oxford,What is the headquarters location of Memrise?,"London, UK",0.0
technology_database,National Industrial Property Institute,headquarters location,Courbevoie,What is the headquarters location of National Industrial Property Institute?,"New Delhi, India",0.0
technology_database,Memrise,country,United Kingdom,What is the country of Memrise?,"Memrise is a company, not a country. It's based in the",0.0
technology_database,Tebeosfera,catalog,Directory of Open Access Journals,What is the catalog of Tebeosfera?,Tebeosfera's catalog isn't specified in the provided context,0.0
technology_database,Tebeosfera,main subject,comics,What is the main subject of Tebeosfera?,Astronomy,0.0
technology_database,Tebeosfera,editor,Manuel Barrero Martínez,Who is the editor of Tebeosfera?,Igor Kuznetsov,0.0
technology_database,Tebeosfera,founded by,Manuel Barrero Martínez,Who was Tebeosfera founded by?,Tebeosfera was founded by José Antonio Sánchez,0.0
technology_database,International Paralympic Committee,country,Germany,What is the country of International Paralympic Committee?,Switzerland,0.0
technology_database,International Paralympic Committee,located in the administrative territorial entity,Bonn,What is the located in the administrative territorial entity of International Paralympic Committee?,Not applicable (IPC doesn't have administrative territories),0.0
technology_database,International Paralympic Committee,founded by,Robert Steadward,Who was International Paralympic Committee founded by?,"Guttmann, Ludwig",0.0
technology_database,Ancestry.com Inc.,owned by,Blackstone,What was Ancestry.com Inc. owned by?,Provo Technology Group (initially),0.0
technology_database,Academy of Sciences of Turin,chairperson,Massimo Mori,Who is the chairperson of Academy of Sciences of Turin?,"I'm sorry for any inconvenience, but I don't have",0.0
technology_database,PubMed,has part(s),PubMed Central,What does PubMed have part(s )?,"Articles, Abstracts",0.0
technology_database,Norwegian Biodiversity Information Centre,parent organization,Ministry of Climate and Environment,What is the parent organization of Norwegian Biodiversity Information Centre?,Norwegian Institute for Nature Research (NINA),0.0
technology_database,Norwegian Biodiversity Information Centre,headquarters location,Trondheim,What is the headquarters location of Norwegian Biodiversity Information Centre?,"Oslo, Norway",0.0
technology_database,Polish Olympic Committee,parent organization,European Olympic Committees,What is the parent organization of Polish Olympic Committee?,National Olympic Committee of Poland,0.0
technology_database,Norwegian Biodiversity Information Centre,chairperson,Bror Yngve Rahm,Who is the chairperson of Norwegian Biodiversity Information Centre?,"I'm sorry for any inconvenience, but as a text-based",0.0
technology_database,allrecipes.com,owned by,Meredith Corporation,What was allrecipes.com owned by?,"MediaRecipe, LLC",0.0
technology_database,Art UK,headquarters location,Covent Garden,What is the headquarters location of Art UK?,"London, UK",0.0
technology_database,Art UK,located in the administrative territorial entity,Covent Garden,What is the located in the administrative territorial entity of Art UK?,United Kingdom,0.0
technology_database,last.fm,GUI toolkit or framework,Qt,What is the GUI toolkit or framework of last.fm?,Not specified publicly,0.0
technology_database,last.fm,copyright license,GNU General Public License,What is the copyright license of last.fm?,Creative Commons Attribution-NonCommercial-ShareAlike 3,0.0
technology_database,last.fm,operating system,Microsoft Windows,What is the operating system of last.fm?,Web-based (No specific OS mentioned),0.0
