topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3
art_sculpture,Apollo and Daphne,genre,group of sculptures,group of sculptures,What is the genre of Apollo and Daphne?,Baroque,0.0
art_sculpture,Royal Marines Memorial,genre,public art,public art,What is the genre of Royal Marines Memorial?,Monument,0.0
art_sculpture,Moses,genre,sculpture,sculpture,What is the genre of Moses?,Biblical figure,0.0
art_sculpture,Ludovisi Throne,fabrication method,bas-relief,bas-relief,What is the fabrication method of Ludovisi Throne?,Casting,0.0
art_sculpture,Peace Monument,genre,public art,public art,What is the genre of Peace Monument?,Drama,0.0
art_sculpture,David,movement,Baroque sculpture,Baroque sculpture,What is the movement of David?,Dance,0.0
art_sculpture,Trevi Fountain,located in/on physical feature,Palazzo Poli,Palazzo Poli,What is the located in/on physical feature of Trevi Fountain?,Rome,0.0
art_sculpture,National Submarine War Memorial,genre,public art,public art,What is the genre of National Submarine War Memorial?,Monument,0.0
art_sculpture,"Aeneas, Anchises and Ascanius",country of origin,Papal States,Papal States,"What is the country of origin of Aeneas, Anchises and Ascanius?",Troy,0.0
art_sculpture,Trevi Fountain,described by source,Brockhaus and Efron Encyclopedic Dictionary,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of Trevi Fountain?,Neptune,0.0
art_sculpture,The Bex Eagle,donated by,National Wildlife Federation,National Wildlife Federation,What was The Bex Eagle donated by?,The Bex Eagle was donated by Sir Henry Bex,0.0
art_sculpture,Carhenge,located in the administrative territorial entity,Box Butte County,Box Butte County,What is the located in the administrative territorial entity of Carhenge?,Nebraska,0.0
art_sculpture,statue of Sacred Heart of Jesus Christ,diocese,Roman Catholic Diocese of Roermond,Roman Catholic Diocese of Roermond,What is the diocese of statue of Sacred Heart of Jesus Christ?,Diocese of Sacramento (California),0.0
art_sculpture,Miscellaneous Fingers,collection,Smithsonian American Art Museum,Smithsonian American Art Museum,What is the collection of Miscellaneous Fingers?,No Collection,0.0
art_sculpture,Rape of Polyxena,location,Loggia dei Lanzi,Loggia dei Lanzi,Who is the location of Rape of Polyxena?,Troy,0.0
art_sculpture,Royal Marines Memorial,located in the administrative territorial entity,City of Westminster,City of Westminster,What is the located in the administrative territorial entity of Royal Marines Memorial?,Portsmouth,0.0
art_sculpture,James Cardinal Gibbons Memorial Statue,located in the administrative territorial entity,"Washington, D.C.","Washington, D.C.",What is the located in the administrative territorial entity of James Cardinal Gibbons Memorial Statue?,Baltimore,0.0
art_sculpture,Venus Victrix,creator,Antonio Canova,Antonio Canova,Who is the creator of Venus Victrix?,Alma-Tadema,0.0
art_sculpture,ArcelorMittal Orbit,located in the administrative territorial entity,London Borough of Newham,London Borough of Newham,What is the located in the administrative territorial entity of ArcelorMittal Orbit?,London (UK),0.0
art_sculpture,Unisphere,owned by,New York City,New York City,What was Unisphere owned by?,Flushing Meadows Corp,0.0
art_sculpture,James Cardinal Gibbons Memorial Statue,location,Shrine of the Sacred Heart,Shrine of the Sacred Heart,What is the location of James Cardinal Gibbons Memorial Statue?,"Mount Saint Mary's Seminary & University, Emmitsburg, Maryland",0.0
art_sculpture,Rape of Polyxena,made from material,marble,marble,What is the made from material of Rape of Polyxena?,Bronze,0.0
art_sculpture,Lion Monument Lucerne,located in the administrative territorial entity,Lucerne,Lucerne,What is the located in the administrative territorial entity of Lion Monument Lucerne?,Switzerland,0.0
art_sculpture,Angel of the North,location,Lamesley,Lamesley,What is the location of Angel of the North?,"Gateshead, UK",0.0
art_sculpture,The Bex Eagle,genre,outdoor sculpture,outdoor sculpture,What is the genre of The Bex Eagle?,Mystery,0.0
art_sculpture,Temperance Fountain,genre,public art,public art,What is the genre of Temperance Fountain?,Temperance Fountain is a poem,0.0
art_sculpture,Apoxyomenos,collection,Vatican Museums,Vatican Museums,What is the collection of Apoxyomenos?,Louvre Museum,0.0
art_sculpture,Dante Alighieri,location,Meridian Hill/Malcolm X Park,Meridian Hill/Malcolm X Park,What is the location of Dante Alighieri?,Italy,0.0
art_sculpture,Pasquino,genre,public art,public art,What is the genre of Pasquino?,Satire,0.0
art_sculpture,Vietnam Women's Memorial,location,Constitution Gardens,Constitution Gardens,What is the location of Vietnam Women's Memorial?,"National Mall, Washington D.C",0.0
art_sculpture,Chindit Memorial,country,United Kingdom,United Kingdom,What is the country of Chindit Memorial?,Myanmar,0.0
art_sculpture,The Lone Sailor,owned by,National Park Service,National Park Service,What was The Lone Sailor owned by?,U.S. Navy,0.0
art_sculpture,James Cardinal Gibbons Memorial Statue,significant event,dedication,dedication,What is the significant event of James Cardinal Gibbons Memorial Statue?,Unveiling ceremony,0.0
art_sculpture,Unisphere,depicts,Earth,Earth,What does Unisphere depict?,Globes,0.0
art_sculpture,Hermannsdenkmal,made from material,iron,iron,What is the made from material of Hermannsdenkmal?,Sandstone,0.0
art_sculpture,The Lone Sailor,location,United States Navy Memorial,United States Navy Memorial,What is the location of The Lone Sailor?,"USS Arizona Memorial, Pearl Harbor, HI",0.0
art_sculpture,Alexander Sarcophagus,location of discovery,Sidon,Sidon,What is the location of discovery of Alexander Sarcophagus?,Burma (Myanmar),0.0
art_sculpture,Fuente de la Samaritana,genre,public art,public art,What is the genre of Fuente de la Samaritana?,Fiction,0.0
art_sculpture,Golden Rider,country,Germany,Germany,What is the country of Golden Rider?,Equestria,0.0
art_sculpture,Madurodam,genre,public art,public art,What is the genre of Madurodam?,Tourist attraction,0.0
art_sculpture,Rape of Polyxena,collection,Loggia dei Lanzi,Loggia dei Lanzi,Who is the collection of Rape of Polyxena?,Caravaggio,0.0
art_sculpture,Goya memorial,genre,public art,public art,What is the genre of Goya memorial?,Classical Music,0.0
art_sculpture,Running Fence,inspired by,continental divide,continental divide,What was Running Fence inspired by?,Environment,0.0
art_sculpture,Dupont Circle Fountain,architect,Henry Bacon,Henry Bacon,Who does Dupont Circle Fountain architect?,Thomas T. Worrell,0.0
art_sculpture,Unisphere,main building contractor,American Bridge Company,American Bridge Company,What is the main building contractor of Unisphere?,Corning Glass Works,0.0
