topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3
human_entrepreneur,John Munro Longyear,place of birth,Lansing,Lansing,What is the place of birth of John Munro Longyear?,Norway,0.0
human_entrepreneur,Clancy Brown,father,Bud Brown,Bud Brown,Who is the father of Clancy Brown?,William Brown,0.0
human_entrepreneur,Henry Clay Frick,residence,New York City,New York City,What is the residence of Henry Clay Frick?,Frick House (Pittsburgh),0.0
human_entrepreneur,Herbert Hainer,occupation,entrepreneur,entrepreneur,What is the occupation of Herbert Hainer?,CEO (former),0.0
human_entrepreneur,Paul Mauser,sex or gender,male,male,What is the sex or gender of Paul Mauser?,Not specified,0.0
human_entrepreneur,Udo Proksch,place of birth,Rostock,Rostock,What is the place of birth of Udo Proksch?,Austria,0.0
human_entrepreneur,Otto Fahr,sex or gender,male,male,What is the sex or gender of Otto Fahr?,"Otto Fahr is a fictional character, and therefore does not have a gender",0.0
human_entrepreneur,Jenna Jameson,eye color,blue,blue,What is the eye color of Jenna Jameson?,Brown,0.0
human_entrepreneur,Nikita Mikhalkov,instrument,voice,voice,What is the instrument of Nikita Mikhalkov?,Film director,0.0
human_entrepreneur,Peter Voigtländer,sex or gender,male,male,What is the sex or gender of Peter Voigtländer?,Not specified in the provided information,0.0
human_entrepreneur,John Jacob Astor I,place of death,Manhattan,Manhattan,What is the place of death of John Jacob Astor I?,New York,0.0
human_entrepreneur,Adolf Magnus d'Hoym,place of death,Racibórz,Racibórz,What is the place of death of Adolf Magnus d'Hoym?,Dresden,0.0
human_entrepreneur,Lothar von Faber,place of death,Stein,Stein,Who is the place of death of Lothar von Faber?,Erlangen,0.0
human_entrepreneur,Waldemar Petersen,employer,Technical University of Darmstadt,Technical University of Darmstadt,What is the employer of Waldemar Petersen?,Employer (of Waldemar Petersen) is Unspecified,0.0
human_entrepreneur,Karel Schwarzenberg,place of death,Vienna,Vienna,What is the place of death of Karel Schwarzenberg?,Prague,0.0
human_entrepreneur,Christoph Franz,sex or gender,male,male,What is the sex or gender of Christoph Franz?,Not specified (or relevant),0.0
human_entrepreneur,Christian von Stetten,sex or gender,male,male,What is the sex or gender of Christian von Stetten?,Not specified in the provided information,0.0
human_entrepreneur,Karlheinz Steinmüller,place of birth,Klingenthal,Klingenthal,What is the place of birth of Karlheinz Steinmüller?,Germany,0.0
human_entrepreneur,Konrad Gobel,sex or gender,male,male,What is the sex or gender of Konrad Gobel?,"Not specified (Konrad Gobel is a person, not a character",0.0
human_entrepreneur,Georg Winter,place of birth,Hamburg,Hamburg,What is the place of birth of Georg Winter?,Germany,0.0
human_entrepreneur,Brewster Kahle,sex or gender,male,male,What is the sex or gender of Brewster Kahle?,Not specified (or known publicly),0.0
human_entrepreneur,Friedrich Bayer,place of birth,Barmen,Barmen,What is the place of birth of Friedrich Bayer?,Bavaria,0.0
human_entrepreneur,Wilhelm Keppler,work location,Berlin,Berlin,What is the work location of Wilhelm Keppler?,Vienna,0.0
human_entrepreneur,Anton Magnis,country of citizenship,German Reich,German Reich,What is the country of citizenship of Anton Magnis?,Czech Republic,0.0
human_entrepreneur,Henry Kissinger,subject has role,centenarian,centenarian,What is the subject has role of Henry Kissinger?,Diplomat,0.0
human_entrepreneur,"Hans Heinrich XI, 2nd Prince of Pless, Count of Hochberg",father,"Hans Heinrich X von Hochberg, 1st Prince of Pless","Hans Heinrich X von Hochberg, 1st Prince of Pless","Who is the father of Hans Heinrich XI, 2nd Prince of Pless, Count of Hochberg?","Hans Heinrich's father is Hans Heinrich X, 1st Prince of P",0.0
human_entrepreneur,Walter Cramer,work location,Leipzig,Leipzig,What is the work location of Walter Cramer?,Office,0.0
human_entrepreneur,Tom Enders,place of birth,Bruchertseifen,Bruchertseifen,What is the place of birth of Tom Enders?,Germany,0.0
human_entrepreneur,John Rabe,place of birth,Hamburg,Hamburg,What is the place of birth of John Rabe?,Germany,0.0
human_entrepreneur,Corny Littmann,sport,association football,association football,What is the sport of Corny Littmann?,No data found,0.0
human_entrepreneur,Bernd Pischetsrieder,affiliation,Volkswagen,Volkswagen,What is the affiliation of Bernd Pischetsrieder?,BMW,0.0
human_entrepreneur,Adolph von Hansemann,place of burial,Alter St.-Matthäus-Kirchhof Berlin,Alter St.-Matthäus-Kirchhof Berlin,What is the place of burial of Adolph von Hansemann?,"Montmartre Cemetery, Paris",0.0
human_entrepreneur,Michael Jackson,manner of death,homicide,homicide,What is the manner of death of Michael Jackson?,Cardiac arrest,0.0
human_entrepreneur,Max Otte,academic degree,doctorate,doctorate,What is the academic degree of Max Otte?,Master's Degree,0.0
