topic,subject,relation,object,label,question,output_mistral_7b_instruct_v0.3,eval_mistral_7b_instruct_v0.3
health_symptom,tunnel vision,afflicts,peripheral vision,peripheral vision,What does tunnel vision afflict?,Tunnel vision afflicts vision,0.0
health_symptom,fatigue,described by source,Encyclopædia Britannica 11th edition,Encyclopædia Britannica 11th edition,What is the described by source of fatigue?,Chronic fatigue syndrome,0.0
health_symptom,bleeding gums,health specialty,oral and maxillofacial surgery,oral and maxillofacial surgery,What is the health specialty of bleeding gums?,Periodontics,0.0
health_symptom,gummatous syphilis,health specialty,infectious diseases,infectious diseases,What is the health specialty of gummatous syphilis?,Dermatology,0.0
health_symptom,red eye,afflicts,conjunctiva,conjunctiva,What does red eye afflict?,Photographs,0.0
health_symptom,bone fracture,described by source,Brockhaus and Efron Encyclopedic Dictionary,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of bone fracture?,Patient,0.0
health_symptom,bone fracture,health specialty,osteology,osteology,What is the health specialty of bone fracture?,Orthopedics,0.0
health_symptom,distraction,does not have characteristic,intention,intention,What does distraction do not have characteristic?,Consistency,0.0
health_symptom,Webbed neck,health specialty,medical genetics,medical genetics,What is the health specialty of Webbed neck?,Cervical Dysplasia (or Congenital Cervical Ver,0.0
health_symptom,heat exhaustion,has cause,hot,hot,What does heat exhaustion have cause?,"Prolonged exposure, dehydration, physical exertion",0.0
health_symptom,metal poisoning,health specialty,neurology,neurology,What is the health specialty of metal poisoning?,Toxicology,0.0
health_symptom,metal poisoning,has cause,metal element,metal element,What does metal poisoning have cause?,Exposure,0.0
health_symptom,urination disorder,anatomical location,urinary system,urinary system,What is the anatomical location of urination disorder?,Bladder/Urethra,0.0
health_symptom,dysphoria,said to be the same as,sadness,sadness,What did dysphoria say to be the same as?,Identity,0.0
health_symptom,aura,health specialty,neurology,neurology,What is the health specialty of aura?,Aura is not a health specialty. It's a term used in,0.0
health_symptom,tension headache,medical examination,physical examination,physical examination,What is the medical examination of tension headache?,Diagnosis,0.0
health_symptom,rash,described by source,Brockhaus and Efron Encyclopedic Dictionary,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of rash?,Person (or individual),0.0
health_symptom,asthenia,described by source,Brockhaus and Efron Encyclopedic Dictionary,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of asthenia?,Patient,0.0
health_symptom,asthenia,drug or therapy used for treatment,mesocarb,mesocarb,What is the drug or therapy used for treatment of asthenia?,"Fluoxetine, Prozac, is sometimes used off-label",0.0
health_symptom,spasm,described by source,Brockhaus and Efron Encyclopedic Dictionary,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of spasm?,Muscle,0.0
health_symptom,torticollis,health specialty,rheumatology,rheumatology,What is the health specialty of torticollis?,Pediatrics (or Neonatology),0.0
health_symptom,torticollis,described by source,Encyclopædia Britannica 11th edition,Encyclopædia Britannica 11th edition,What is the described by source of torticollis?,"Congenital or Acquired (Trauma, Infection, etc.)",0.0
health_symptom,chemical burn,health specialty,emergency medicine,emergency medicine,What is the health specialty of chemical burn?,Dermatology,0.0
health_symptom,stereotypy,health specialty,psychiatry,psychiatry,What is the health specialty of stereotypy?,Neurology,0.0
health_symptom,erythema,described by source,Brockhaus and Efron Encyclopedic Dictionary,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of erythema?,Skin,0.0
health_symptom,laryngospasm,health specialty,pulmonology,pulmonology,What is the health specialty of laryngospasm?,"ENT (Ear, Nose, Throat)",0.0
health_symptom,suicidal ideation,has cause,mental disorder,mental disorder,What does suicidal ideation have cause?,"Multifactorial (mental health, life events, biology, environment",0.0
health_symptom,suicidal ideation,possible treatment,psychotherapy,psychotherapy,What is the possible treatment of suicidal ideation?,"Therapy, Medication, Crisis Intervention",0.0
health_symptom,runny nose,health specialty,pulmonology,pulmonology,What is the health specialty of runny nose?,"ENT (Ear, Nose, Throat)",0.0
health_symptom,odynophagia,health specialty,gastroenterology,gastroenterology,What is the health specialty of odynophagia?,"Ear, Nose, & Throat (ENT)",0.0
health_symptom,hearing disorder,health specialty,neurology,neurology,What is the health specialty of hearing disorder?,Audiology,0.0
health_symptom,palmar erythema,health specialty,dermatology,dermatology,What is the health specialty of palmar erythema?,Liver disease,0.0
health_symptom,hot flash,health specialty,gynaecology,gynaecology,What is the health specialty of hot flash?,Gynecology/Endocrinology,0.0
health_symptom,tympanites,described by source,Brockhaus and Efron Encyclopedic Dictionary,Brockhaus and Efron Encyclopedic Dictionary,Who is the described by source of tympanites?,Patient,0.0
