topic,subject,relation,object,question,output_gpt_j_6b,eval_gpt_j_6b,multiple_choices,paraphrased_question,yes_question,no_question,locality_question,reversed_relation_question,multiple_choice_with_letters,multiple_choice_labels
human_writer,William S. Miller,work location,"Washington, D.C.",What is the work location of William S. Miller?,The work location of William S. Miller is the United States.  Question,0.0,"['Washington, D.C.', 'The work location of William S. Miller is the United States.  Question', 'New York City', 'Los Angeles']",Where does William S. Miller work?,"Is the work location of William S. Miller Washington, D.C.?",Is the work location of William S. Miller the United States?,"What is a famous landmark in Washington, D.C.?","Who works in Washington, D.C.?","A. The work location of William S. Miller is the United States.  Question  B. Los Angeles  C. Washington, D.C.  D. New York City",C
human_writer,Robert C. Nicholas,father,George Nicholas,Who is the father of Robert C. Nicholas?,Robert C. Nicholas,0.0,"['George Nicholas', 'Robert C. Nicholas', 'John Nicholas', 'William Nicholas']",Who is Robert C. Nicholas's father?,Is George Nicholas the father of Robert C. Nicholas?,Is Robert C. Nicholas the father of Robert C. Nicholas?,What is a notable achievement of Robert C. Nicholas?,Who is the son of George Nicholas?,A. Robert C. Nicholas  B. George Nicholas  C. William Nicholas  D. John Nicholas,B
human_writer,John Ashcroft,place of birth,Chicago,What is the place of birth of John Ashcroft?,The United States,0.0,"['Chicago', 'The United States', 'New York', 'Los Angeles']",Where was John Ashcroft born?,Is John Ashcroft's place of birth Chicago?,Is John Ashcroft's place of birth The United States?,What position did John Ashcroft hold in the U.S. government?,Who was born in Chicago?,A. Chicago  B. New York  C. Los Angeles  D. The United States,A
human_writer,Glenn Beck,sex or gender,male,What is the sex or gender of Glenn Beck?,Glenn Beck is a man,0.0,"['male', 'Glenn Beck is a man', 'female', 'non-binary']",What gender does Glenn Beck identify as?,Is the sex or gender of Glenn Beck male?,Is the sex or gender of Glenn Beck 'Glenn Beck is a man'?,What is Glenn Beck known for in his career?,Who is a male in relation to their sex or gender?,A. female  B. non-binary  C. Glenn Beck is a man  D. male,D
human_writer,Tatyana Yumasheva,mother,Naina Yeltsina,Who is the mother of Tatyana Yumasheva?,Tatyana Yumasheva,0.0,"['Naina Yeltsina', 'Tatyana Yumasheva', 'Lyudmila Putina', 'Raisa Gorbacheva']",Who is Tatyana Yumasheva's mother?,Is Naina Yeltsina the mother of Tatyana Yumasheva?,Is Tatyana Yumasheva the mother of Tatyana Yumasheva?,What is a notable fact about Tatyana Yumasheva?,Who is the daughter of Naina Yeltsina?,A. Lyudmila Putina  B. Raisa Gorbacheva  C. Naina Yeltsina  D. Tatyana Yumasheva,C
human_writer,Deval Patrick,religion or worldview,Presbyterianism,What is the religion or worldview of Deval Patrick?,I am a Christian,0.0,"['Presbyterianism', 'I am a Christian', 'Buddhism', 'Hinduism']",What faith or belief system does Deval Patrick follow?,Is Deval Patrick's religion or worldview Presbyterianism?,Is Deval Patrick's religion or worldview 'I am a Christian'?,What political office did Deval Patrick hold?,Who follows the religion or worldview of Presbyterianism?,A. Presbyterianism  B. Hinduism  C. Buddhism  D. I am a Christian,A
human_writer,James Buchanan,military branch,Pennsylvania National Guard,What is the military branch of James Buchanan?,The military branch of James Buchanan is the United States Army,0.0,"['Pennsylvania National Guard', 'The military branch of James Buchanan is the United States Army', 'United States Navy', 'United States Air Force']",Which military branch did James Buchanan serve in?,Is the military branch of James Buchanan the Pennsylvania National Guard?,Is the military branch of James Buchanan the United States Army?,Which state is James Buchanan associated with?,Who served in the Pennsylvania National Guard?,A. United States Navy  B. United States Air Force  C. The military branch of James Buchanan is the United States Army  D. Pennsylvania National Guard,D
human_writer,John F. Kennedy,ethnic group,Irish Americans,What is the ethnic group of John F. Kennedy?,American,0.0,"['Irish Americans', 'American', 'Italian Americans', 'German Americans']",To which ethnic group does John F. Kennedy belong?,Is the ethnic group of John F. Kennedy Irish Americans?,Is the ethnic group of John F. Kennedy American?,What was John F. Kennedy's role in the U.S. government?,Which prominent figure belongs to the ethnic group of Irish Americans?,A. American  B. German Americans  C. Italian Americans  D. Irish Americans,D
human_writer,Meg Whitman,religion or worldview,Presbyterianism,What is the religion or worldview of Meg Whitman?,I am an atheist,0.0,"['Presbyterianism', 'I am an atheist', 'Catholicism', 'Buddhism']",What faith or belief system does Meg Whitman follow?,Is Meg Whitman's religion or worldview Presbyterianism?,Is Meg Whitman's religion or worldview 'I am an atheist'?,What is Meg Whitman known for in her professional career?,Who follows the religion or worldview of Presbyterianism?,A. Presbyterianism  B. Buddhism  C. Catholicism  D. I am an atheist,A
human_writer,Frédéric Lichtenberg,spouse,Zsa Zsa Gabor,Who is the spouse of Frédéric Lichtenberg?,"His wife is the author of the book ""The Art of the Deal.""",0.0,"['Zsa Zsa Gabor', 'His wife is the author of the book ""The Art of the Deal.""', 'Marilyn Monroe', 'Elizabeth Taylor']",Who is married to Frédéric Lichtenberg?,Is Zsa Zsa Gabor the spouse of Frédéric Lichtenberg?,Is the spouse of Frédéric Lichtenberg the author of the book 'The Art of the Deal.'?,What is Frédéric Lichtenberg known for?,Who is the spouse of Zsa Zsa Gabor?,"A. His wife is the author of the book ""The Art of the Deal.""  B. Marilyn Monroe  C. Zsa Zsa Gabor  D. Elizabeth Taylor",C
